cluster_id,stream,item_type,item_text,sentence_id,extractor_source,confidence
cluster_h0001,hard_plus_knowledge,knowledge,supply chain,in-189e4607c218da31_0035,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,supply chain,in-7c6b469bd3c32c83_0014,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Financial Services,in-31a68bf771762bbc_0009,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,financial services,in-f156d49da1140e9c_0020,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,fintech,in-3a25de1e948c9510_0010,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,fintech,in-871bae54762204ea_0015,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,logistics,in-b717309a36d86a55_0030,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,logistics,in-ffcc36a373d8599a_0025,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,AWS,in-0203fddefc4a7b12_0015,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,AWS,in-2b0d7561fe568605_0017,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,AWS,in-366ed5fb266e1ee3_0026,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,cloud infrastructure,in-284b7cf30eb81914_0013,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,cloud infrastructure,in-a0fcbae76d831775_0020,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Azure,in-2b0d7561fe568605_0018,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Azure,in-366ed5fb266e1ee3_0027,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Azure,in-45b09437e6f9d734_0010,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Azure,in-75f30913de1b7459_0006,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Azure DevOps,in-3556957cea163733_0014,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Azure DevOps,in-75f30913de1b7459_0005,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,cloud,in-4680a02c6d0fe13f_0017,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,Cloud,in-bc0aa6df2d805b7b_0020,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,cloud services,in-788288259e19ed8a_0012,LLM,0.750
cluster_h0002,hard_plus_knowledge,knowledge,cloud services,in-b486754d4fef47b1_0005,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,Engineering,in-1021728769a1b1b3_0014,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,engineering,in-ffcc36a373d8599a_0024,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,mechanical engineering,in-193d18c2574de4de_0006,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,mechanical engineering,in-97191426cd97dd84_0025,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,Data Engineering,in-21f3b05871873683_0015,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,Data Engineering,in-da1eee9312990cd0_0010,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,civil engineering,in-25943c33b8b06d57_0011,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,Civil Engineering,in-476230db996030ac_0003,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,Electrical Engineering,in-2dbe2c923e947b35_0004,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,Electrical Engineering,in-989af9a20b8f9ee7_0007,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,software engineering,in-3a40f4b75ecb8f1e_0027,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,software engineering,in-6953506b6f0d8ecb_0011,LLM,0.750
cluster_h0003,hard_plus_knowledge,knowledge,software engineering,in-8b3ede5765e5e1c9_0026,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,platform,in-018a8a6c4578b687_0007,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,platform,in-0250e3c3a534c646_0039,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,platform,in-30af647e83a32e8c_0008,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,cybersecurity,in-04248886f0c9f962_0019,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Cybersecurity,in-5a117bdee62644fa_0004,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,cybersecurity,in-ffcc36a373d8599a_0030,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,observability,in-0250e3c3a534c646_0038,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,observability,in-219553aa7e342a4a_0011,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,observability,in-a2a8769491dd2881_0019,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Linux,in-14734ee7aab2dff0_0005,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Linux,in-443f3ba3c65aa81b_0022,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Linux,in-4680a02c6d0fe13f_0010,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Linux,in-9378455c1bb091a1_0008,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Spark,in-12e4e1edda8ca7ae_0028,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Spark,in-366ed5fb266e1ee3_0021,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Redis,in-12e4e1edda8ca7ae_0035,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Redis,in-443f3ba3c65aa81b_0021,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Kafka,in-12e4e1edda8ca7ae_0040,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Kafka,in-73b5ece9f9ecc3a9_0049,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Kafka,in-e1f6fb04d77bbcd3_0012,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-12e4e1edda8ca7ae_0041,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-366ed5fb266e1ee3_0017,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-3a40f4b75ecb8f1e_0015,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-73b5ece9f9ecc3a9_0053,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-8b3ede5765e5e1c9_0020,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-b580b7c014d5ef12_0016,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Java,in-f4e53c2111bd6d2b_0006,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Defence,in-16914020afc5dd69_0023,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,defence,in-6c187121691e9a94_0002,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,fusion,in-16914020afc5dd69_0028,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Fusion,in-73b5ece9f9ecc3a9_0063,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,iOS,in-23d80004b8615742_0019,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,iOS,in-acd852647e0ad998_0006,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,iOS,in-b96ed15875997926_0042,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,iOS,in-fb45f01ebbc2a223_0034,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-23d80004b8615742_0020,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-2b0d7561fe568605_0013,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-3556957cea163733_0021,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-366ed5fb266e1ee3_0019,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-3a40f4b75ecb8f1e_0016,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-431768e5d2264d2d_0027,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-8c46863a1ce899a0_0008,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Python,in-b580b7c014d5ef12_0018,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,ServiceNow,in-30cac704112e9e05_0008,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,ServiceNow,in-8b3ede5765e5e1c9_0025,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Jira,in-35e03ae1caff1780_0010,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,JIRA,in-73b5ece9f9ecc3a9_0026,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,React,in-443f3ba3c65aa81b_0017,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,React,in-b2a73f3ed5db96fc_0009,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,React,in-b96ed15875997926_0036,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Ubuntu,in-4680a02c6d0fe13f_0019,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Ubuntu,in-9378455c1bb091a1_0009,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,API,in-4aab702ede0af613_0032,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,API,in-f8b6585374a18460_0003,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,REST,in-73b5ece9f9ecc3a9_0029,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,REST,in-b96ed15875997926_0029,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,AI platforms,in-b486754d4fef47b1_0007,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,AI platforms,in-e1f6fb04d77bbcd3_0020,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Android,in-b96ed15875997926_0043,LLM,0.750
cluster_h0004,hard_plus_knowledge,knowledge,Android,in-fb45f01ebbc2a223_0035,LLM,0.750
cluster_h0005,hard_plus_knowledge,skill_'Hard,solve technical problems,in-07094449f509827e_0000,LLM,0.704
cluster_h0005,hard_plus_knowledge,skill_'Hard,solve technical problems,in-193d18c2574de4de_0001,LLM,0.704
cluster_h0005,hard_plus_knowledge,skill_'Hard,gather requirements,in-2343dce8f94f0a1c_0004,LLM,0.601
cluster_h0005,hard_plus_knowledge,skill_'Hard,gather requirements,in-4bd1ca2b1bfdfa6d_0012,LLM,0.601
cluster_h0005,hard_plus_knowledge,skill_'Hard,analyze systems,in-23d80004b8615742_0004,LLM,0.703
cluster_h0005,hard_plus_knowledge,skill_'Hard,analyze systems,in-fbb699e18d37f468_0001,LLM,0.703
cluster_h0005,hard_plus_knowledge,skill_'Hard,develop tools,in-23d80004b8615742_0017,LLM,0.699
cluster_h0005,hard_plus_knowledge,skill_'Hard,develop tools,in-4e3bc9e1167b473b_0003,LLM,0.699
cluster_h0005,hard_plus_knowledge,skill_'Hard,create documentation,in-4249d42ce8b49e38_0005,LLM,0.684
cluster_h0005,hard_plus_knowledge,skill_'Hard,create documentation,in-5a117bdee62644fa_0002,LLM,0.714
cluster_h0005,hard_plus_knowledge,skill_'Soft,manage projects,in-487df2b1087d73fa_0005,LLM,0.637
cluster_h0005,hard_plus_knowledge,skill_'Hard,manage projects,in-4aae1652e7ec2129_0007,LLM,0.674
cluster_h0005,hard_plus_knowledge,skill_'Hard,maintain documentation,in-4bd1ca2b1bfdfa6d_0002,LLM,0.716
cluster_h0005,hard_plus_knowledge,skill_'Hard,maintain documentation,in-73b5ece9f9ecc3a9_0024,LLM,0.716
cluster_h0005,hard_plus_knowledge,skill_'Soft,understand requirements,in-73b5ece9f9ecc3a9_0007,LLM,0.621
cluster_h0005,hard_plus_knowledge,skill_'Hard,understand requirements,in-8b20d58614610842_0001,LLM,0.605
cluster_h0005,hard_plus_knowledge,knowledge,PaaS,in-018a8a6c4578b687_0008,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,PaaS,in-9da8b8c6e52feb61_0032,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,SQL,in-0250e3c3a534c646_0029,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,SQL,in-17826d4303fc4d24_0009,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,SQL,in-443f3ba3c65aa81b_0018,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,SQL,in-8c46863a1ce899a0_0009,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,infrastructure,in-0250e3c3a534c646_0033,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,infrastructure,in-219553aa7e342a4a_0010,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,infrastructure,in-6953506b6f0d8ecb_0012,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,infrastructure,in-b717309a36d86a55_0027,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,infrastructure,in-c537f69349c9b14d_0015,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,business analysis,in-10c22ca2ab379104_0005,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Business Analysis,in-31a68bf771762bbc_0005,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Business Analysis,in-a77e7fdadad1bd31_0020,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Accounting,in-1021728769a1b1b3_0016,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Accounting,in-a77e7fdadad1bd31_0017,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,accounting,in-b580b7c014d5ef12_0023,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Power BI,in-17826d4303fc4d24_0014,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Power BI,in-92e57e0960d0c733_0059,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Power BI,in-b717309a36d86a55_0022,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Power BI,in-da1eee9312990cd0_0011,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,analytics,in-16914020afc5dd69_0029,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,analytics,in-6c717e860c5e6516_0014,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,analytics,in-fbb699e18d37f468_0014,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,utilities,in-25943c33b8b06d57_0014,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Utilities,in-31a68bf771762bbc_0006,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,CI/CD,in-2b0d7561fe568605_0015,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,CI/CD,in-431768e5d2264d2d_0031,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,CI/CD,in-b96ed15875997926_0031,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,CI/CD,in-f4e53c2111bd6d2b_0007,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Public Sector,in-31a68bf771762bbc_0010,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,public sector,in-e78abd8a232a690b_0003,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Confluence,in-35e03ae1caff1780_0011,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,Confluence,in-73b5ece9f9ecc3a9_0027,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,optimization,in-4fac46ba90c4b16c_0010,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,optimization,in-4ede713a5581ba77_0005,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,design system,in-5869692bb5b2b17a_0015,LLM,0.750
cluster_h0005,hard_plus_knowledge,knowledge,design system,in-6a0c6e81b38e7258_0008,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,data analysis,in-090a862bf2348484_0007,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,data analysis,in-361c0675a3147072_0015,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-105cf9739214f450_0010,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Machine Learning,in-0fcfe59aff7d7b19_0014,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-21f3b05871873683_0012,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-427c59728dce7b1c_0011,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-4fac46ba90c4b16c_0012,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-788288259e19ed8a_0016,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-7c927f240a50a9cc_0009,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,machine learning,in-d058a60328482955_0016,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Computer Vision,in-18c592689d7d0491_0003,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,computer vision,in-9e8b8167a52cb05c_0022,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Artificial Intelligence (AI),in-16914020afc5dd69_0010,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Artificial Intelligence (AI),in-3a40f4b75ecb8f1e_0025,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,AI/ML,in-16914020afc5dd69_0024,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,AI/ML,in-8c46863a1ce899a0_0007,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,generative AI,in-2b0d7561fe568605_0023,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,generative AI,in-8b3ede5765e5e1c9_0023,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,generative AI,in-d058a60328482955_0017,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,generative AI,in-e4187db23d86d9a0_0011,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Artificial Intelligence,in-487df2b1087d73fa_0009,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,artificial intelligence,in-4fac46ba90c4b16c_0014,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,artificial intelligence,in-7c9ea1b5273ae869_0011,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Robotics,in-9378455c1bb091a1_0015,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,robotics,in-9e8b8167a52cb05c_0021,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,deep learning,in-9e8b8167a52cb05c_0023,LLM,0.750
cluster_h0006,hard_plus_knowledge,knowledge,Deep Learning,in-c5d75e0c5b4f0888_0026,LLM,0.750
cluster_h0007,hard_plus_knowledge,skill_'Hard,build large-scale systems,in-12e4e1edda8ca7ae_0001,LLM,0.706
cluster_h0007,hard_plus_knowledge,skill_'Hard,build large-scale systems,in-219553aa7e342a4a_0000,LLM,0.706
cluster_h0007,hard_plus_knowledge,skill_'Hard,automate workflows,in-21f3b05871873683_0005,LLM,0.680
cluster_h0007,hard_plus_knowledge,skill_'Hard,automate workflows,in-8d9ae454713adb22_0001,LLM,0.710
cluster_h0007,hard_plus_knowledge,skill_'Hard,operate distributed systems,in-366ed5fb266e1ee3_0008,LLM,0.625
cluster_h0007,hard_plus_knowledge,skill_'Hard,operate distributed systems,in-788288259e19ed8a_0005,LLM,0.625
cluster_h0007,hard_plus_knowledge,skill_'Hard,focus on automation,in-a0fcbae76d831775_0015,LLM,0.589
cluster_h0007,hard_plus_knowledge,skill_'Hard,focus on automation,in-ac0e866a9f95bd35_0002,LLM,0.564
cluster_h0007,hard_plus_knowledge,knowledge,AI-enabled workflows,in-1291ef0e4f87819c_0018,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,AI-enabled workflows,in-871bae54762204ea_0009,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,automation,in-219553aa7e342a4a_0012,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,automation,in-431768e5d2264d2d_0043,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,automation,in-871bae54762204ea_0008,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,automation,in-b580b7c014d5ef12_0027,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,automation,in-fb45f01ebbc2a223_0061,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,architecture,in-30af647e83a32e8c_0014,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,Architecture,in-368b730dfbfb2c56_0013,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,architecture,in-6953506b6f0d8ecb_0015,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,architecture,in-acd852647e0ad998_0012,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,distributed systems,in-366ed5fb266e1ee3_0020,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,distributed systems,in-788288259e19ed8a_0013,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,Automotive,in-4680a02c6d0fe13f_0023,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,Automotive,in-9378455c1bb091a1_0016,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,Automotive,in-c5d75e0c5b4f0888_0024,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,information architecture,in-4bd1ca2b1bfdfa6d_0028,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,Information architecture,in-d058a60328482955_0015,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,event-driven architecture,in-788288259e19ed8a_0017,LLM,0.750
cluster_h0007,hard_plus_knowledge,knowledge,event-driven architecture,in-73b5ece9f9ecc3a9_0047,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,Node.js,in-443f3ba3c65aa81b_0007,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,Node.js,in-431768e5d2264d2d_0025,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,Node.js,in-b96ed15875997926_0035,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,JavaScript,in-443f3ba3c65aa81b_0011,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,JavaScript,in-431768e5d2264d2d_0023,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,JavaScript,in-8b3ede5765e5e1c9_0021,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,React Native,in-431768e5d2264d2d_0020,LLM,0.750
cluster_h0008,hard_plus_knowledge,knowledge,React Native,in-b96ed15875997926_0032,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Terraform,in-0250e3c3a534c646_0030,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Terraform,in-3556957cea163733_0025,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Terraform,in-9da8b8c6e52feb61_0038,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,GCP,in-2b0d7561fe568605_0019,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,GCP,in-443f3ba3c65aa81b_0010,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Docker,in-2b0d7561fe568605_0020,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Docker,in-f4e53c2111bd6d2b_0011,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,DevOps,in-35e79000a6810bd1_0004,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,DevOps,in-3a40f4b75ecb8f1e_0026,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,DevOps,in-45b09437e6f9d734_0011,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,DevOps,in-6953506b6f0d8ecb_0013,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,DevOps,in-bc0aa6df2d805b7b_0019,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,DevOps,in-f4e53c2111bd6d2b_0008,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Git,in-3556957cea163733_0022,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Git,in-443f3ba3c65aa81b_0023,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Git,in-73b5ece9f9ecc3a9_0041,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Kubernetes,in-443f3ba3c65aa81b_0025,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Kubernetes,in-4680a02c6d0fe13f_0021,LLM,0.750
cluster_h0009,hard_plus_knowledge,knowledge,Kubernetes,in-f4e53c2111bd6d2b_0012,LLM,0.750
cluster_h0010,hard_plus_knowledge,skill_'Hard,build dashboards,in-4cf5479496e4301e_0000,LLM,0.676
cluster_h0010,hard_plus_knowledge,skill_'Hard,build dashboards,in-da1eee9312990cd0_0001,LLM,0.705
cluster_h0010,hard_plus_knowledge,skill_'Soft,participate in code reviews,in-73b5ece9f9ecc3a9_0011,LLM,0.606
cluster_h0010,hard_plus_knowledge,skill_'Hard,participate in code reviews,in-c537f69349c9b14d_0005,LLM,0.616
