job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,job_date,job_year,job_month
in-e60f7f8e30553e08,,write configuration scripts,Hard,Create,0.687,Medium,GPT,0.85,0.9,2025-04-04,2025,2025-04
in-f8982109357c56e0,,analyze data,Hard,Analyze,0.647,Medium,GPT,0.77,0.9,2025-08-15,2025,2025-08
in-f8982109357c56e0,,implement machine learning models,Hard,Apply,0.421,Low,GPT,0.83,0.9,2025-08-15,2025,2025-08
in-f8982109357c56e0,,collaborate with team,Soft,,0.622,Medium,GPT,0.79,0.9,2025-08-15,2025,2025-08
in-f8982109357c56e0,,solve problems,Soft,,0.597,Medium Low,GPT,0.8,0.9,2025-08-15,2025,2025-08
in-ea2cd0b0c6f52f4f,,build foundation models,Hard,Create,0.653,Medium,GPT,0.81,0.9,2025-11-04,2025,2025-11
in-ea2cd0b0c6f52f4f,,simulate microscopic motion of atoms,Hard,Apply,0.65,Medium,GPT,0.79,0.9,2025-11-04,2025,2025-11
in-ea2cd0b0c6f52f4f,,simulate macroscopic flow of liquids,Hard,Apply,0.65,Medium,GPT,0.79,0.9,2025-11-04,2025,2025-11
in-26af18a0c573f667,,work with cross-disciplined teams,Soft,,1.0,Very High,BERT+GPT,0.81,1.23,2025-09-25,2025,2025-09
in-26af18a0c573f667,,"ensure alignment between creative vision, technical execution, and production targets",Soft,,0.607,Medium,GPT,0.83,0.95,2025-09-25,2025,2025-09
in-26af18a0c573f667,,ensure alignment between creative vision,Hard,Analyze,0.64,Medium,BERT (standalone),0.82,0.85,2025-09-25,2025,2025-09
in-26af18a0c573f667,,technical execution,Hard,Apply,0.492,Low,BERT (standalone),0.87,0.85,2025-09-25,2025,2025-09
in-26af18a0c573f667,,production targets.,Hard,Apply,0.492,Low,BERT (standalone),0.87,0.85,2025-09-25,2025,2025-09
in-6e0bef22111034dc,,design mechanical systems,Hard,Create,0.656,Medium,GPT,0.83,0.9,2025-11-26,2025,2025-11
in-6e0bef22111034dc,,manage water projects,Soft,Apply,0.571,Medium Low,GPT,0.79,0.9,2025-11-26,2025,2025-11
in-6e0bef22111034dc,,collaborate with teams,Soft,,0.624,Medium,GPT,0.8,0.9,2025-11-26,2025,2025-11
in-aff3b59d34df3979,,architect code,Hard,Create,0.679,Medium,GPT,0.8,0.9,2025-07-25,2025,2025-07
in-aff3b59d34df3979,,implement code,Hard,Apply,0.679,Medium,GPT,0.8,0.9,2025-07-25,2025,2025-07
in-aff3b59d34df3979,,deliver code,Hard,Apply,0.675,Medium,GPT,0.77,0.9,2025-07-25,2025,2025-07
in-aff3b59d34df3979,,write code,Hard,Apply,0.431,Low,GPT,0.74,0.9,2025-07-25,2025,2025-07
in-aff3b59d34df3979,,make decisions,Soft,,0.571,Medium Low,GPT,0.8,0.9,2025-07-25,2025,2025-07
in-083ac975933f3cb9,,drive customer experience strategy,Soft,,0.602,Medium,GPT,0.83,0.9,2025-10-21,2025,2025-10
in-083ac975933f3cb9,,innovate consistently,Soft,,0.559,Medium Low,BERT+GPT,0.9,0.9,2025-10-21,2025,2025-10
in-083ac975933f3cb9,,solve problems,Soft,,0.597,Medium Low,GPT,0.8,0.9,2025-10-21,2025,2025-10
in-083ac975933f3cb9,,problem -solving.,Hard,Apply,0.464,Low,BERT (standalone),0.84,0.81,2025-10-21,2025,2025-10
in-9f46d4765e1e5db4,,build reputation,Soft,,0.601,Medium,GPT,0.83,0.9,2025-12-01,2025,2025-12
in-879b2fe47e1fbc66,,optimize clinical workflows,Hard,Evaluate,1.0,Very High,BERT+GPT,0.85,1.23,2025-11-25,2025,2025-11
in-879b2fe47e1fbc66,,supervise analytics staff,Soft,,0.635,Medium,GPT,0.83,0.95,2025-11-25,2025,2025-11
in-879b2fe47e1fbc66,,mentor analytics staff,Soft,,0.631,Medium,GPT,0.8,0.95,2025-11-25,2025,2025-11
in-879b2fe47e1fbc66,,evaluate analytics staff,Soft,,0.634,Medium,GPT,0.82,0.95,2025-11-25,2025,2025-11
in-879b2fe47e1fbc66,,ensure high performance,Hard,Analyze,0.64,Medium,BERT (standalone),0.81,0.85,2025-11-25,2025,2025-11
in-879b2fe47e1fbc66,,professional growth.,Hard,Apply,0.494,Low,BERT (standalone),0.89,0.85,2025-11-25,2025,2025-11
in-b743930ff16064e7,,provide superior work,Soft,,0.571,Medium Low,GPT,0.79,0.9,2025-12-01,2025,2025-12
in-66b97dc6ae697ac9,,ensure secure access management,Hard,Apply,0.577,Medium Low,GPT,0.81,0.96,2025-11-07,2025,2025-11
in-66b97dc6ae697ac9,,ensure compliant access management,Hard,Apply,0.58,Medium Low,GPT,0.83,0.96,2025-11-07,2025,2025-11
in-66b97dc6ae697ac9,,ensure auditable access management,Hard,Analyze,0.957,Very High,BERT+GPT,0.84,1.24,2025-11-07,2025,2025-11
in-66b97dc6ae697ac9,,ensuring secure,Hard,Apply,0.493,Low,BERT (standalone),0.81,0.87,2025-11-07,2025,2025-11
in-66b97dc6ae697ac9,,compliant,Hard,Apply,0.5,Low,BERT (standalone),0.87,0.87,2025-11-07,2025,2025-11
in-5986e2e416ec3ef2,,drive architectural standards,Hard,Create,1.0,Very High,BERT+GPT,0.88,1.22,2025-12-01,2025,2025-12
in-5986e2e416ec3ef2,,drive processes,Hard,Create,0.447,Low,GPT,0.81,0.96,2025-12-01,2025,2025-12
in-5986e2e416ec3ef2,,drive activities,Hard,Create,0.449,Low,GPT,0.83,0.96,2025-12-01,2025,2025-12
in-5986e2e416ec3ef2,,processes,Hard,Apply,0.498,Low,BERT (standalone),0.87,0.86,2025-12-01,2025,2025-12
in-5986e2e416ec3ef2,,activities.,Hard,Apply,0.501,Medium Low,BERT (standalone),0.9,0.86,2025-12-01,2025,2025-12
in-76bdc299da84b00b,,understand customers,Soft,,0.608,Medium,GPT,0.89,0.9,2025-11-20,2025,2025-11
in-dcd8dd1044f2926f,,manage stormwater systems,Hard,Apply,0.971,Very High,BERT+GPT,0.84,1.21,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,collaborate with internal departments,Soft,,0.627,Medium,GPT,0.86,0.93,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,collaborate with external agencies,Soft,,0.624,Medium,GPT,0.83,0.93,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,collaborate with the public,Soft,,0.617,Medium,GPT,0.78,0.93,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,implement best practices in stormwater management,Hard,Apply,0.649,Medium,GPT,0.82,0.93,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,plan watersheds,Hard,Create,0.677,Medium,GPT,0.81,0.93,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,proactive,Soft,,0.658,Medium,BERT (standalone),0.87,0.84,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,integrated,Hard,Create,0.524,Medium Low,BERT (standalone),0.9,0.84,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,implement best practices in,Hard,Apply,0.624,Medium,BERT (standalone),0.78,0.84,2025-11-21,2025,2025-11
in-04d821a61bf4f3f8,,design cloud environments,Hard,Create,0.656,Medium,GPT,0.83,0.9,2025-05-05,2025,2025-05
in-04d821a61bf4f3f8,,build cloud environments,Hard,Create,0.654,Medium,GPT,0.82,0.9,2025-05-05,2025,2025-05
in-04d821a61bf4f3f8,,operate cloud environments,Hard,Apply,0.482,Low,GPT,0.84,0.9,2025-05-05,2025,2025-05
in-04d821a61bf4f3f8,,secure cloud environments,Hard,Apply,0.632,Medium,GPT,0.83,0.9,2025-05-05,2025,2025-05
in-6434f75ccfa896cd,,collaborate with stakeholders,Soft,,0.741,Medium High,BERT+GPT,0.84,1.2,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,work with IT teams,Soft,,0.643,Medium,GPT,0.71,0.94,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,coordinate with third-party service providers,Soft,,0.633,Medium,GPT,0.85,0.94,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,support business operations,Soft,,0.634,Medium,GPT,0.85,0.94,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,stream leads,Hard,Apply,0.479,Low,BERT (standalone),0.77,0.85,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,ensure our ERP,Hard,Analyze,0.624,Medium,BERT (standalone),0.72,0.85,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,integrated applications effectively support business operations,Hard,Create,0.53,Medium Low,BERT (standalone),0.89,0.85,2025-11-25,2025,2025-11
in-59f89f855608fde0,,build rapid prototypes,Hard,Create,1.0,Very High,BERT+GPT,0.82,1.3,2025-11-26,2025,2025-11
in-59f89f855608fde0,,iterate on proofs-of-concept,Hard,Apply,0.921,Very High,BERT+GPT,0.81,1.29,2025-11-26,2025,2025-11
in-59f89f855608fde0,,articulate complex technical ideas,Soft,,0.879,High,BERT+GPT,0.83,1.3,2025-11-26,2025,2025-11
in-59f89f855608fde0,,foster open and productive design discussions,Soft,,0.634,Medium,GPT,0.8,1.0,2025-11-26,2025,2025-11
in-59f89f855608fde0,,create new capabilities,Hard,Create,0.756,Medium High,GPT,0.81,1.0,2025-11-26,2025,2025-11
in-59f89f855608fde0,,evolve platform,Hard,Apply,0.728,Medium High,GPT,0.81,1.0,2025-11-26,2025,2025-11
in-59f89f855608fde0,,proposals,Hard,Apply,0.518,Medium Low,BERT (standalone),0.87,0.9,2025-11-26,2025,2025-11
in-59f89f855608fde0,,fostering open,Hard,Apply,0.51,Medium Low,BERT (standalone),0.8,0.9,2025-11-26,2025,2025-11
in-59f89f855608fde0,,productive design discussions.,Hard,Create,0.682,Medium,BERT (standalone),0.88,0.9,2025-11-26,2025,2025-11
in-7f1b7715acb11a2e,,manage cloud environments,Hard,Apply,0.684,Medium,GPT,0.83,0.9,2025-11-21,2025,2025-11
in-7f1b7715acb11a2e,,create recurring revenues,Hard,Create,0.684,Medium,GPT,0.83,0.9,2025-11-21,2025,2025-11
in-7f1b7715acb11a2e,,grow cloud-based revenues,Hard,Create,0.439,Low,GPT,0.83,0.9,2025-11-21,2025,2025-11
in-2ea46d88545e7e84,,double check costs and formulas,Hard,Evaluate,0.683,Medium,GPT,0.76,0.95,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,liaise with digital teams,Soft,,0.655,Medium,GPT,0.77,0.95,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,document approvals and changes,Hard,Apply,0.689,Medium,GPT,0.8,0.95,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,maintain records,Hard,Analyze,0.915,Very High,BERT+GPT,0.83,1.2,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,prepare periodic reports,Hard,Create,0.846,High,BERT+GPT,0.82,1.22,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,prepare spotlists,Hard,Create,0.948,Very High,BERT+GPT,0.84,1.24,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,input media contracts and confirmations,Hard,Apply,0.742,Medium High,BERT+GPT,0.8,0.95,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,ensure billings are inputted and checked,Hard,Evaluate,0.666,Medium,GPT,0.78,0.95,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,checking of costs,Hard,Evaluate,0.518,Medium Low,BERT (standalone),0.75,0.86,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,formulas on schedules,Hard,Apply,0.523,Medium Low,BERT (standalone),0.79,0.86,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,ensure all details are captured accurately,Hard,Evaluate,0.522,Medium Low,BERT (standalone),0.79,0.86,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,send to clients with comments,Hard,Understand,0.518,Medium Low,BERT (standalone),0.75,0.86,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,confirmations,Hard,Apply,0.496,Low,BERT (standalone),0.9,0.86,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,written appearance instructions,Hard,Apply,0.495,Low,BERT (standalone),0.89,0.86,2025-11-24,2025,2025-11
in-2ea46d88545e7e84,,Ensure that all billings,Hard,Analyze,0.634,Medium,BERT (standalone),0.76,0.86,2025-11-24,2025,2025-11
in-3f1f20262049095a,,shape AI solutions,Hard,Create,0.849,High,BERT+GPT,0.77,1.28,2025-11-25,2025,2025-11
in-3f1f20262049095a,,meet client needs,Soft,,0.766,Medium High,BERT+GPT,0.76,1.28,2025-11-25,2025,2025-11
in-3f1f20262049095a,,deliver measurable business value,Soft,,0.635,Medium,GPT,0.83,0.99,2025-11-25,2025,2025-11
in-3f1f20262049095a,,deliver technically feasible solutions,Hard,Create,0.489,Low,GPT,0.86,0.99,2025-11-25,2025,2025-11
in-bf0e9f6211607d23,,lead with creativity,Soft,,0.864,High,BERT+GPT,0.78,1.39,2025-11-28,2025,2025-11
in-bf0e9f6211607d23,,leverage design systems,Hard,Create,0.988,Very High,BERT+GPT,0.81,1.39,2025-11-28,2025,2025-11
in-bf0e9f6211607d23,,explore emerging technologies,Hard,Analyze,1.0,Very High,BERT+GPT,0.87,1.39,2025-11-28,2025,2025-11
in-bf0e9f6211607d23,,drive innovation,Soft,,0.872,High,BERT+GPT,0.83,1.39,2025-11-28,2025,2025-11
in-bf0e9f6211607d23,,craft user experiences,Hard,Create,0.959,Very High,BERT+GPT,0.8,1.39,2025-11-28,2025,2025-11
in-bf0e9f6211607d23,,systems thinking,Hard,Apply,0.548,Medium Low,BERT (standalone),0.83,0.96,2025-11-28,2025,2025-11
in-ff31808feab0524e,,understand client business model,Hard,Create,0.881,High,BERT+GPT,0.76,1.24,2025-10-05,2025,2025-10
in-ff31808feab0524e,,understand requirements,Hard,Understand,0.595,Medium Low,GPT,0.9,0.98,2025-10-05,2025,2025-10
in-ff31808feab0524e,,understand pain points,Hard,Understand,0.583,Medium Low,GPT,0.8,0.98,2025-10-05,2025,2025-10
in-ff31808feab0524e,,understand big picture vision of the transformation program,Hard,Create,0.903,Very High,BERT+GPT,0.8,1.27,2025-10-05,2025,2025-10
in-ff31808feab0524e,,prepare a plan to drive day-to-day execution of the project,Hard,Create,0.742,Medium High,BERT+GPT,0.71,0.98,2025-10-05,2025,2025-10
in-ff31808feab0524e,,prepare a plan,Hard,Create,0.668,Medium,BERT (standalone),0.72,0.88,2025-10-05,2025,2025-10
in-50790458f1cb7392,,challenge briefs,Soft,,1.0,Very High,BERT+GPT,0.84,1.22,2025-11-17,2025,2025-11
in-50790458f1cb7392,,generate ideas,Soft,,0.643,Medium,GPT,0.8,0.97,2025-11-17,2025,2025-11
in-50790458f1cb7392,,exceed client expectations,Soft,,0.743,Medium High,BERT+GPT,0.8,1.22,2025-11-17,2025,2025-11
in-50790458f1cb7392,,creative instinct,Hard,Apply,0.499,Low,BERT (standalone),0.84,0.87,2025-11-17,2025,2025-11
in-50790458f1cb7392,,are,Hard,Apply,0.484,Low,BERT (standalone),0.69,0.87,2025-11-17,2025,2025-11
in-50790458f1cb7392,,full of ideas,Hard,Apply,0.486,Low,BERT (standalone),0.71,0.87,2025-11-17,2025,2025-11
in-f0b8e867898d9fc7,,support clients,Soft,,0.881,High,BERT+GPT,0.81,1.26,2025-12-01,2025,2025-12
in-f0b8e867898d9fc7,,manage change,Soft,,0.639,Medium,GPT,0.78,0.97,2025-12-01,2025,2025-12
in-f0b8e867898d9fc7,,optimize business processes,Hard,Analyze,0.584,Medium Low,GPT,0.85,0.97,2025-12-01,2025,2025-12
in-2adf3d78f57c1387,,communicate with families,Soft,,0.601,Medium,GPT,0.83,0.9,2025-11-27,2025,2025-11
in-2adf3d78f57c1387,,manage time effectively,Soft,,0.599,Medium Low,GPT,0.81,0.9,2025-11-27,2025,2025-11
in-6a11f6623b90c10e,,communicate ideas,Soft,,0.627,Medium,GPT,0.84,0.94,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,solve problems,Soft,,0.621,Medium,GPT,0.8,0.94,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,analyze information,Soft,,0.63,Medium,GPT,0.87,0.94,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,work independently,Soft,,0.769,Medium High,BERT+GPT,0.86,1.22,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,collaborate with team,Soft,,0.647,Medium,GPT,0.79,0.94,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,manage multiple priorities,Soft,,1.0,Very High,BERT+GPT,0.84,1.2,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,communication skills.,Soft,,0.708,Medium High,BERT (standalone),0.9,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,problem,Hard,Apply,0.479,Low,BERT (standalone),0.81,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,-solving,Hard,Apply,0.482,Low,BERT (standalone),0.84,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,analytical abilities.,Hard,Apply,0.488,Low,BERT (standalone),0.9,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,as part of a team.,Soft,,0.656,Medium,BERT (standalone),0.68,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,Detail,Hard,Understand,0.626,Medium,BERT (standalone),0.78,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,-oriented,Hard,Apply,0.485,Low,BERT (standalone),0.87,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,commitment to accuracy.,Hard,Apply,0.479,Low,BERT (standalone),0.81,0.84,2025-11-28,2025,2025-11
in-6a11f6623b90c10e,,work effectively in a fast -paced environment,Hard,Apply,0.475,Low,BERT (standalone),0.77,0.84,2025-11-28,2025,2025-11
in-819016745fbf8e52,,work with Product Owner,Soft,,0.612,Medium,GPT,0.75,0.93,2025-11-20,2025,2025-11
in-819016745fbf8e52,,collaborate with cross-functional engineering teams,Soft,,0.656,Medium,GPT,0.88,0.93,2025-11-20,2025,2025-11
in-819016745fbf8e52,,design new features,Hard,Create,0.67,Medium,GPT,0.77,0.93,2025-11-20,2025,2025-11
in-819016745fbf8e52,,integrate system components,Hard,Apply,0.437,Low,GPT,0.85,0.93,2025-11-20,2025,2025-11
in-819016745fbf8e52,,validate system components,Hard,Evaluate,0.68,Medium,GPT,0.84,0.93,2025-11-20,2025,2025-11
in-819016745fbf8e52,,deliver new features,Hard,Apply,0.94,Very High,BERT+GPT,0.77,1.19,2025-11-20,2025,2025-11
in-819016745fbf8e52,,ensure successful design,Hard,Create,0.628,Medium,BERT (standalone),0.82,0.84,2025-11-20,2025,2025-11
in-819016745fbf8e52,,integration,Hard,Apply,0.486,Low,BERT (standalone),0.9,0.84,2025-11-20,2025,2025-11
in-819016745fbf8e52,,validation,Hard,Apply,0.486,Low,BERT (standalone),0.9,0.84,2025-11-20,2025,2025-11
in-819016745fbf8e52,,system components.,Hard,Apply,0.481,Low,BERT (standalone),0.86,0.84,2025-11-20,2025,2025-11
in-b0e3d6930bef9118,,foster strong internal relationships,Soft,,0.63,Medium,GPT,0.85,0.9,2025-11-26,2025,2025-11
in-b0e3d6930bef9118,,promote effective collaboration,Soft,,0.609,Medium,GPT,0.89,0.9,2025-11-26,2025,2025-11
in-68c8bc8b4022b6bd,,develop backend applications,Hard,Create,0.688,Medium,GPT,0.86,0.9,2025-10-19,2025,2025-10
in-68c8bc8b4022b6bd,,learn new technologies,Soft,,0.572,Medium Low,GPT,0.8,0.9,2025-10-19,2025,2025-10
in-68c8bc8b4022b6bd,,design microservices architecture,Hard,Create,0.708,Medium High,GPT,1.0,0.9,2025-10-19,2025,2025-10
in-68c8bc8b4022b6bd,,implement CI/CD pipelines,Hard,Apply,0.684,Medium,GPT,0.83,0.9,2025-10-19,2025,2025-10
in-68c8bc8b4022b6bd,,containerize applications,Hard,Apply,0.446,Low,GPT,0.9,0.9,2025-10-19,2025,2025-10
in-68c8bc8b4022b6bd,,collaborate with team,Soft,,0.622,Medium,GPT,0.79,0.9,2025-10-19,2025,2025-10
in-b99d92a34ea0a07c,,build trust,Soft,,0.592,Medium Low,GPT,0.75,0.9,2025-09-12,2025,2025-09
in-b99d92a34ea0a07c,,demonstrate accountability,Soft,,0.61,Medium,GPT,0.9,0.9,2025-09-12,2025,2025-09
in-9068e588b7dc4f2d,,design AI infrastructure,Hard,Create,0.654,Medium,GPT,0.82,0.9,2025-11-25,2025,2025-11
in-9068e588b7dc4f2d,,navigate complex global markets,Soft,,0.599,Medium Low,GPT,0.81,0.9,2025-11-25,2025,2025-11
in-a8f3619ace5efe56,,grow leadership skills,Soft,,0.598,Medium Low,GPT,0.8,0.9,2025-11-27,2025,2025-11
in-a8f3619ace5efe56,,leadership,Hard,Apply,0.47,Low,BERT (standalone),0.9,0.81,2025-11-27,2025,2025-11
in-277cf9b06c74153d,,anticipate guest needs,Soft,,0.662,Medium,GPT,0.8,1.0,2025-11-26,2025,2025-11
in-277cf9b06c74153d,,act on guest needs,Soft,,0.795,Medium High,BERT+GPT,0.71,1.3,2025-11-26,2025,2025-11
in-277cf9b06c74153d,,prioritize guest requests,Soft,,0.896,High,BERT+GPT,0.83,1.3,2025-11-26,2025,2025-11
in-277cf9b06c74153d,,prioritize job responsibilities,Soft,,0.583,Medium Low,BERT+GPT,0.89,1.0,2025-11-26,2025,2025-11
in-277cf9b06c74153d,,multi-task in a fast-paced environment,Soft,,0.772,Medium High,BERT+GPT,0.78,1.26,2025-11-26,2025,2025-11
in-277cf9b06c74153d,,anticipate,Hard,Apply,0.52,Medium Low,BERT (standalone),0.9,0.9,2025-11-26,2025,2025-11
in-277cf9b06c74153d,,multi,Hard,Apply,0.504,Medium Low,BERT (standalone),0.75,0.9,2025-11-26,2025,2025-11
in-f60c7c41c622d9ed,,lead product engineering teams,Soft,,1.0,Very High,BERT+GPT,0.81,1.27,2025-09-03,2025,2025-09
in-f60c7c41c622d9ed,,set clear roadmaps,Soft,,0.834,High,BERT+GPT,0.76,1.3,2025-09-03,2025,2025-09
in-f60c7c41c622d9ed,,ensure milestones and updates are consistent,Soft,,0.661,Medium,GPT,0.8,1.0,2025-09-03,2025,2025-09
in-f60c7c41c622d9ed,,make sure milestones,Hard,Apply,0.507,Medium Low,BERT (standalone),0.78,0.9,2025-09-03,2025,2025-09
in-f60c7c41c622d9ed,,updates are consistent,Hard,Apply,0.509,Medium Low,BERT (standalone),0.8,0.9,2025-09-03,2025,2025-09
in-6d6cab98b74e874f,,help customers realise dreams and ambitions,Soft,,0.597,Medium Low,GPT,0.79,0.9,2025-11-19,2025,2025-11
in-ea5fe0c67dbb09a7,,design REST based micro services,Hard,Create,0.931,Very High,GPT,0.77,1.24,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,implement REST based micro services,Hard,Apply,1.0,Very High,BERT+GPT,0.8,1.25,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,develop event-driven applications,Hard,Create,1.0,Very High,BERT+GPT,0.88,1.26,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,develop containerized applications,Hard,Create,0.75,Medium High,GPT,0.9,0.97,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,communicate effectively,Soft,,0.631,Medium,GPT,0.9,0.97,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,collaborate in a team,Soft,,0.665,Medium,GPT,0.74,0.97,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,pay attention to detail,Soft,,0.611,Medium,GPT,0.75,0.97,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,manage scrum-based software development,Hard,Apply,0.439,Low,GPT,0.87,0.97,2025-11-06,2025,2025-11
in-ea5fe0c67dbb09a7,,designing,Hard,Create,0.543,Medium Low,BERT (standalone),0.87,0.88,2025-11-06,2025,2025-11
in-5bd95884fcfdbfe2,,implement cloud platforms,Hard,Apply,0.656,Medium,GPT,0.83,0.9,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,manage cloud platforms,Hard,Apply,0.623,Medium,GPT,0.8,0.9,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,support cloud platforms,Hard,Apply,0.479,Low,GPT,0.81,0.9,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,understand networking,Hard,Understand,0.549,Medium Low,GPT,0.9,0.9,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,understand distributed systems,Hard,Understand,0.547,Medium Low,GPT,0.88,0.9,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,understand database concepts,Hard,Understand,0.56,Medium Low,GPT,1.0,0.9,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,implementing,Hard,Apply,0.506,Medium Low,BERT (standalone),0.9,0.81,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,managing,Hard,Apply,0.464,Low,BERT (standalone),0.84,0.81,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,supporting cloud (Azure),Hard,Evaluate,0.497,Low,BERT (standalone),0.82,0.81,2025-10-01,2025,2025-10
in-5bd95884fcfdbfe2,,hybrid database platforms,Hard,Apply,0.479,Low,BERT (standalone),1.0,0.81,2025-10-01,2025,2025-10
