knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,future_weight
"data or software engineering,",1,0.532,FD2,Data & Analytics,Strong_Growth,0.9,0.6068715,0.5461843371391296
AI training,1,0.831,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5456222,0.5456222295761108
cloud software development,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6418955,0.5456111520528794
cloud computing platforms,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6417754,0.5455091148614883
"-cloud environments,",1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6409554,0.5448120802640914
AI-enhanced technology,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5727048,0.5440695524215698
Cloud Engineering,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6395883,0.5436500519514084
Cloud engineering,2,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6395883,0.5436500519514084
machine learning lifecycle,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.54351836,0.5435183644294739
AI development tools,1,0.83,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5709413,0.5423942625522613
enterprise infrastructure (cloud),1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.63774735,0.5420852452516556
Agent and AI Development:,1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.57024175,0.541729661822319
AI Agents,2,0.7885,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.56965196,0.5411693632602691
AI agents,9,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.56965184,0.5411692500114441
AI technologies.,1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5695108,0.5410352766513824
AI automations,1,0.828,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.56925327,0.5407906025648117
AI,320,0.752490625,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5689554,0.5405076503753662
cloud platform services,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6352115,0.53992979824543
Data & Analytics,1,0.75,FD2,Data & Analytics,Strong_Growth,0.9,0.59934866,0.5394137978553772
AI Powered Engineering,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5676041,0.5392239183187485
AI solution delivery.,1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.56734395,0.5389767527580261
Cloud services -,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6336581,0.5386093944311142
AI products,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.56679684,0.5384569972753525
Cloud Infrastructure,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.63337576,0.5383693993091583
cloud infrastructure,24,0.7761666666666667,FD3,Cloud & DevOps,Strong_Growth,0.85,0.63337576,0.5383693993091583
AI infrastructure,4,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5381462,0.5381461977958679
AI/ML revolution,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5367555,0.5367555022239685
AI programming,1,0.831,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.564609,0.5363785415887833
AI-augmented engineering practices,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5635712,0.5353926539421081
cloud platform deployment and management,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6278098,0.5336383491754532
Cloud platforms,3,0.777,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6267111,0.532704409956932
Cloud Platforms,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6267111,0.532704409956932
cloud platforms,26,0.7416153846153846,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6267109,0.5327042579650879
Cloud and Software Development technologies,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6266949,0.532690680027008
cloud enterprise,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6261646,0.5322399228811264
cloud applications,2,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6259434,0.5320519089698791
AI-driven practices,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.559657,0.5316741287708282
AI Tools,3,0.8303333333333333,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.55909175,0.5311371594667434
AI tools,27,0.7686296296296297,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5590916,0.5311370462179184
machine learning concepts,1,0.83,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5308636,0.5308635830879211
AI developments,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5577572,0.5298693388700485
AI technologies,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5575407,0.5296636790037155
Data & AI practice,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.52847403,0.5284740328788757
AI-driven environment,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.55588657,0.5280922383069991
AI agent,1,0.831,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.55520177,0.527441680431366
cloud deployment,1,0.819,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6201047,0.5270889699459076
data & AI technologies and ecosystem,1,0.829,FD1,AI & Machine Learning,Strong_Growth,1.0,0.52696794,0.5269679427146912
cloud services,19,0.759421052631579,FD3,Cloud & DevOps,Strong_Growth,0.85,0.61965084,0.5267032146453857
Cloud Services,3,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6196507,0.5267031133174896
cybersecurity operations,1,0.75,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5844352,0.525991702079773
Data Engineering /,1,0.532,FD2,Data & Analytics,Strong_Growth,0.9,0.5839547,0.5255592226982116
Data Engineers,1,0.75,FD2,Data & Analytics,Strong_Growth,0.9,0.58386534,0.5254788100719452
prompt engineering,7,0.7722857142857142,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.55281794,0.5251770436763763
AI agent tools,1,0.83,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.55251867,0.52489273250103
ML engineering,2,0.7905,FD1,AI & Machine Learning,Strong_Growth,1.0,0.52448356,0.5244835615158081
AI-enabled systems,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5516684,0.5240849852561951
cybersecurity threats,1,0.75,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.582295,0.524065500497818
cloud computing environments,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6150124,0.522760546207428
"-cloud setups,",1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6149548,0.5227116048336029
cloud solutions,12,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6149388,0.522697976231575
cloud deployment pipelines,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.61473626,0.5225258201360702
Azure DevOps,17,0.759,FD3,Cloud & DevOps,Strong_Growth,0.85,0.61430347,0.5221579492092132
Azure Devops,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.61430347,0.5221579492092132
AI technology,5,0.7646,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5492819,0.5218178004026413
"AI technologies, governance,",1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5208828,0.520882785320282
AI integrations,2,0.7895,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5482725,0.5208588659763336
cloud-based development,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6127267,0.5208176851272582
AI-ready,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.54771113,0.5203255772590637
industry-specific cloud solutions,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6119244,0.520135748386383
AI infrastructure and server technologies.,1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5200929,0.5200929045677185
AI Architecture,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.54743415,0.520062443614006
cloud operations,3,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6106724,0.519071552157402
Cloud Operations,1,0.827,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6106724,0.519071552157402
ML platforms,1,0.828,FD1,AI & Machine Learning,Strong_Growth,1.0,0.51857126,0.5185712575912476
ML algorithms,1,0.828,FD1,AI & Machine Learning,Strong_Growth,1.0,0.51845026,0.5184502601623535
AI-driven innovation,2,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5451974,0.5179375559091568
Machine Learning (ML),1,0.831,FD1,AI & Machine Learning,Strong_Growth,1.0,0.51771593,0.5177159309387207
cloud platform management,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6083855,0.5171276777982712
explainable AI,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5442286,0.5170171827077865
Cloud Platform,5,0.7535999999999999,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6074501,0.51633260846138
cloud platform,4,0.77025,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6074501,0.51633260846138
AWS cloud services.,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.60663867,0.5156428694725036
Machine learning tools,1,0.83,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5153523,0.5153523087501526
machine learning algorithms,1,0.827,FD1,AI & Machine Learning,Strong_Growth,1.0,0.51492006,0.5149200558662415
AI integration,2,0.829,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.541384,0.5143147826194763
AI companion,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5411058,0.5140505164861678
continuous deployment of cloud services.,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6047533,0.5140403181314468
Google AI,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5136861,0.5136861205101013
AWS cloud infrastructure,1,0.826,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6039443,0.5133526563644409
AI capabilities,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5399041,0.5129089117050171
AI-driven tools,2,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.53979605,0.5128062516450882
AI /,3,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5397259,0.5127396047115326
public cloud environments,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.60308,0.5126179784536361
AI-native engineering platform,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5394067,0.512436380982399
cloud integration solutions,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.60180277,0.5115323513746262
cloud computing,13,0.7289230769230769,FD3,Cloud & DevOps,Strong_Growth,0.85,0.60050416,0.5104285359382629
Cloud Computing,1,0.825,FD3,Cloud & DevOps,Strong_Growth,0.85,0.60050404,0.5104284346103668
infrastructure cloud pipelines,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6003835,0.5103259921073914
cybersecurity programs,2,0.7905,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.56671864,0.5100467741489411
"AI -related),",1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5365686,0.5097401529550553
cloud infrastructure management,1,0.825,FD3,Cloud & DevOps,Strong_Growth,0.85,0.59736896,0.5077636122703552
cybersecurity,45,0.7727111111111111,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5637157,0.507344126701355
CyberSecurity,2,0.831,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5637157,0.507344126701355
Cybersecurity,15,0.776,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5637157,0.507344126701355
DevOps methodologies,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.59660256,0.5071121752262115
AWS DevOps,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5965974,0.5071077674627303
ML systems.,1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5069223,0.5069223046302795
cloud computing platform,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5956709,0.5063202470541001
Azure cloud services.,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.59547,0.506149509549141
AI-driven breakthroughs,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.53239703,0.5057771801948547
cybersecurity technologies,1,0.826,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.56196976,0.5057727813720704
AI PCs,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5321809,0.5055718600749969
AI platforms,6,0.763,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5052425,0.5052425265312195
Artificial Intelligence (AI),4,0.8095,FD1,AI & Machine Learning,Strong_Growth,1.0,0.50463146,0.5046314597129822
Azure cloud technologies,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5936582,0.504609477519989
data management and analytics.,1,0.532,FD2,Data & Analytics,Strong_Growth,0.9,0.55957973,0.5036217570304871
AI-driven solutions,4,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5300615,0.5035584092140197
cloud software,2,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5918943,0.5031101793050766
Cybersecurity Risk Management,1,0.75,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5580544,0.5022489488124847
cloud compute,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.58987516,0.5013938874006271
AI literacy,1,0.828,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.52761227,0.5012316554784775
Azure DevOps (CI CD pipeline).,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.58944535,0.501028549671173
AI ethics,2,0.828,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.52733207,0.5009654641151428
Enterprise Data & Analytics,1,0.75,FD2,Data & Analytics,Strong_Growth,0.9,0.5561898,0.5005707979202271
AI SDK,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5265748,0.500246050953865
"data engineering,",1,0.532,FD2,Data & Analytics,Strong_Growth,0.9,0.5555067,0.4999560356140137
"Data Engineering,",1,0.532,FD2,Data & Analytics,Strong_Growth,0.9,0.5555067,0.4999560356140137
AI/ML risk management,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.49991697,0.4999169707298279
cloud deployment practices,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5873662,0.4992612898349762
AI tool,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.524877,0.49863316118717194
cloud business,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5852065,0.4974255323410034
machine learning libraries,1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.496957,0.496957004070282
cloud integration,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5845811,0.49689391553401946
Service Cloud,1,0.831,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5840391,0.49643322825431824
AI Council,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.522543,0.4964158624410629
DevOps Frameworks,1,0.83,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5837913,0.4962226182222366
AI powered products,1,0.831,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.52165127,0.4955687046051025
Azure DevOps Engineer,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5827605,0.49534643590450284
data science,41,0.7960731707317072,FD2,Data & Analytics,Strong_Growth,0.9,0.550263,0.4952366888523102
Data science,1,0.825,FD2,Data & Analytics,Strong_Growth,0.9,0.55026287,0.4952365815639496
Data Science,21,0.7767619047619048,FD2,Data & Analytics,Strong_Growth,0.9,0.55026287,0.4952365815639496
AI research,4,0.77025,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5212592,0.4951962292194366
AI Research,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5212592,0.4951962292194366
Machine Learning concepts.,1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.49516723,0.49516722559928894
Business AI,2,0.7889999999999999,FD1,AI & Machine Learning,Strong_Growth,1.0,0.49447128,0.4944712817668915
machine learning integration,1,0.83,FD1,AI & Machine Learning,Strong_Growth,1.0,0.4943444,0.49434441328048706
Machine Learning Engineering,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.4936732,0.4936732053756714
machine learning engineering,1,0.83,FD1,AI & Machine Learning,Strong_Growth,1.0,0.4936731,0.49367308616638184
AI space.,1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5195906,0.49361108541488646
cloud systems,2,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.57968163,0.49272938966751095
"Go, the proactive AI assistant",1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5183904,0.49247089624404905
AI dashboards,1,0.831,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5180601,0.4921570837497711
multi-cloud environments,2,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.578226,0.4914920747280121
AI-driven software,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5171081,0.4912526786327362
Cloud core platform services and automation development,1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5779352,0.49124493598937985
cybersecurity principles,1,0.821,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5456117,0.49105051159858704
"cyber security,",1,0.532,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.54554534,0.4909908056259155
AI Solutions,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51678205,0.4909429430961609
AI solutions,5,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.516782,0.49094288647174833
agentic AI tools,1,0.83,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5165483,0.4907208621501922
cyber security,19,0.7784736842105263,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5447618,0.49028559923172
Cyber Security,9,0.7672222222222222,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5447617,0.4902855455875397
Cyber security,1,0.831,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5447617,0.4902855455875397
enterprise-ready AI,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.515702,0.4899169087409973
AI behavior,1,0.828,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5156797,0.4898957312107086
cyber security frameworks or standards,1,0.831,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5440358,0.48963221311569216
AI Core,1,0.828,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51446474,0.4887414991855621
AI concepts,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51403636,0.4883345395326614
AI-powered applications,4,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51365125,0.4879686892032623
Cloud technologies,3,0.8039999999999999,FD3,Cloud & DevOps,Strong_Growth,0.85,0.57378674,0.48771872520446774
cloud technologies,15,0.7964,FD3,Cloud & DevOps,Strong_Growth,0.85,0.57378674,0.48771872520446774
AI-powered features,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5131856,0.4875263392925262
cloud-hosted environments,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5735061,0.4874801993370056
AI-assisted production,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5125969,0.486967059969902
security & privacy,1,0.827,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.54072726,0.486654531955719
data analytics tools,2,0.8294999999999999,FD2,Data & Analytics,Strong_Growth,0.9,0.5406425,0.48657824993133547
Enterprise Cloud Services,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.57233983,0.4864888578653335
"-cloud capabilities,",1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.5722037,0.4863731414079666
data scientists,2,0.75,FD2,Data & Analytics,Strong_Growth,0.9,0.54034454,0.4863100826740265
AI Security,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51150477,0.4859295308589935
ML automation,1,0.829,FD1,AI & Machine Learning,Strong_Growth,1.0,0.48534408,0.4853440821170807
cybersecurity frameworks,1,0.831,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.53922623,0.4853036105632782
responsible AI solutions,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51074344,0.48520626723766325
cybersecurity engineering,1,0.75,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.53905535,0.48514981269836427
agentic AI,7,0.8072857142857143,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51061267,0.4850820332765579
Agentic AI,7,0.7958571428571428,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.51061267,0.4850820332765579
AI-powered technology,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5104828,0.4849586486816406
Security Fundamentals,1,0.75,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5388222,0.4849399566650391
Security fundamentals,1,0.75,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.5388221,0.48493990302085876
ML technology,1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.484829,0.48482900857925415
enterprise AI solutions,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5102194,0.48470842540264125
Azure cloud services,2,0.7905,FD3,Cloud & DevOps,Strong_Growth,0.85,0.57016647,0.4846414983272552
cloud-based infrastructures,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.56987745,0.48439582884311677
AI adoption,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5094738,0.48400011062622067
