knowledge,freq,mean_confidence,best_future_domain,trend_label,trend_score,similarity,future_weight
Databricks,2,0.7905,Data & Analytics,Strong_Growth,0.9,0.34958744,0.3146286964416504
modern software design principles,1,0.825,Software Engineering Foundations,Moderate_Growth,0.6,0.52317846,0.3139070749282837
AWS tools,1,0.829,Cloud & DevOps,Strong_Growth,0.85,0.36823905,0.3130031883716583
algorithmic trading,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.312023,0.3120230138301849
data analysis and visualization best practices,1,0.829,Data & Analytics,Strong_Growth,0.9,0.34469306,0.3102237582206726
data,5,0.75,Data & Analytics,Strong_Growth,0.9,0.34315097,0.3088358759880066
Data,2,0.8274999999999999,Data & Analytics,Strong_Growth,0.9,0.34315097,0.3088358759880066
ML lifecycle,1,0.827,AI & Machine Learning,Strong_Growth,1.0,0.30860263,0.3086026310920715
automation,2,0.75,Automation & RPA,Moderate_Growth,0.5,0.61629385,0.3081469237804413
Service Oriented Architectures,1,0.83,Cloud & DevOps,Strong_Growth,0.85,0.3620795,0.3077675759792327
software systems,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.50958455,0.3057507276535034
cryptography,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.33967334,0.3057060062885284
Docker,4,0.77025,Cloud & DevOps,Strong_Growth,0.85,0.35760042,0.303960357606411
modern automation tooling,1,0.828,Automation & RPA,Moderate_Growth,0.5,0.6071822,0.3035911023616791
algorithmic trading strategies,1,0.83,AI & Machine Learning,Strong_Growth,1.0,0.30203626,0.3020362555980682
GenAI Studio,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.31527656,0.2995127350091934
software development lifecycle,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.4947849,0.2968709349632263
multi-tenant technology,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.3462889,0.2943455561995506
infrastructure maintenance,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.34591052,0.2940239414572715
data management principles,1,0.829,Data & Analytics,Strong_Growth,0.9,0.3259719,0.2933747112751007
Top Secret Security Clearance,1,0.831,Cybersecurity & Privacy,Strong_Growth,0.9,0.32571104,0.2931399375200271
servers,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.34382635,0.2922524005174636
GitHub,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.34236696,0.2910119190812111
Azure Service Bus,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.34160402,0.2903634205460548
application engineering,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.48207465,0.2892447888851165
Frontend Software Engineering,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.4802583,0.2881549715995788
systems engineering,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.48001873,0.2880112409591674
Bitbucket Pipelines,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.33817974,0.2874527767300606
CI/CD pipeline,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.33763698,0.2869914308190345
"Pipelines,",1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.33697066,0.2864250585436821
IT/Networking,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.3364896,0.2860161498188972
smart automation,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.5700283,0.2850141525268554
networking,2,0.786,AI & Machine Learning,Strong_Growth,1.0,0.28480256,0.2848025560379028
Networking,1,0.532,AI & Machine Learning,Strong_Growth,1.0,0.28480256,0.2848025560379028
SQL Server,1,0.75,Data & Analytics,Strong_Growth,0.9,0.31379527,0.2824157416820526
SQL server,1,0.831,Data & Analytics,Strong_Growth,0.9,0.3137952,0.2824156880378723
user experiences,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.40327594,0.2822931557893753
data visualization,1,0.75,Data & Analytics,Strong_Growth,0.9,0.312925,0.2816325098276138
STEM careers,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.2813446,0.2813445925712585
Salesforce,4,0.8095,Cloud & DevOps,Strong_Growth,0.85,0.33045426,0.2808861210942268
computer,1,0.831,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.2949634,0.2802152201533317
sustainable energy sources,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.5086215,0.279741832613945
competitive intelligence,1,0.83,AI & Machine Learning,Strong_Growth,1.0,0.27880692,0.2788069248199463
financial datasets,1,0.75,Data & Analytics,Strong_Growth,0.9,0.30937758,0.2784398227930069
Backend Software Engineering,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.46311748,0.2778704881668091
production studios,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.3966075,0.2776252418756484
data protection,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.30835453,0.2775190740823746
LLM,1,0.827,AI & Machine Learning,Strong_Growth,1.0,0.27711716,0.2771171629428863
Sustainability,1,0.825,Green & Sustainable Tech,Moderate_Growth,0.55,0.50264114,0.2764526277780533
enterprise data models,1,0.75,Data & Analytics,Strong_Growth,0.9,0.3064835,0.2758351564407348
industrial sector,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.27540708,0.275407075881958
media systems,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.39231452,0.2746201664209365
design patterns,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.45634586,0.2738075137138366
MLOps,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.32074124,0.272630050778389
mechanical engineering,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.27192187,0.2719218730926513
DMS,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.27064973,0.2706497311592102
-end languages,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.2846981,0.2704631939530372
"ML,",2,0.532,AI & Machine Learning,Strong_Growth,1.0,0.26901782,0.2690178155899048
database infrastructure,1,0.75,Data & Analytics,Strong_Growth,0.9,0.29775944,0.2679834991693496
critical information infrastructures,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.3145521,0.2673692837357521
Amazon Web Services,1,0.827,Cloud & DevOps,Strong_Growth,0.85,0.3142585,0.267119713127613
3D visual design,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.38081813,0.2665726900100708
water systems,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.30941272,0.2630008101463317
JMS,1,0.828,AI & Machine Learning,Strong_Growth,1.0,0.26292408,0.2629240751266479
"Automatic Identification, Communication,",1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.27645963,0.2626366525888443
workflow-powered technology,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.52524006,0.2626200318336487
precision engagement systems,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.275106,0.2613507121801376
C++,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.26117966,0.261179655790329
Git,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.3065395,0.2605585798621178
aviation industry,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.25958845,0.2595884501934051
object oriented programming,1,0.823,Software Engineering Foundations,Moderate_Growth,0.6,0.43189445,0.2591366708278655
"-based,",1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.2701727,0.2566640511155128
Data Protection Act 2018,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.28420657,0.2557859122753143
narrative development,1,0.828,XR & Interactive Media,Moderate_Growth,0.7,0.36407134,0.2548499375581741
design systems,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.42427567,0.2545653998851776
Dynamics 365,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.3629467,0.254062682390213
proprietary dataspaces,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.29776236,0.2530980095267295
iGaming,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.36037117,0.2522598206996918
SQL,2,0.828,Data & Analytics,Strong_Growth,0.9,0.27991256,0.2519213050603867
Agile software development,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.41918504,0.2515110254287719
Studio,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.3554387,0.2488070964813232
science,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.24791567,0.2479156702756881
digital authentication,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.2736182,0.2462563723325729
politiques de confidentialité,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.27226385,0.2450374692678451
animation,1,0.82,XR & Interactive Media,Moderate_Growth,0.7,0.34887475,0.2442123234272003
LEGO games franchise,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.34592044,0.2421443104743957
solar energy industry,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.43978864,0.2418837517499923
SCADA protection,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.26746324,0.2407169133424758
FinTech,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.2376874,0.2376873940229416
foundation models,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.39580265,0.2374815881252288
video generation technologies,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.33819717,0.2367380201816558
hardware,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.33723193,0.236062353849411
Technology Platforms,1,0.827,Green & Sustainable Tech,Moderate_Growth,0.55,0.42760533,0.2351829320192337
"-streaming setups,",1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.33533713,0.2347359925508499
portfolio management,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.23407555,0.2340755462646484
framework,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.38969,0.2338140070438384
engineering analysis,1,0.827,Software Engineering Foundations,Moderate_Growth,0.6,0.3885628,0.2331376791000366
protocol sniffers,1,0.827,Cybersecurity & Privacy,Strong_Growth,0.9,0.25887728,0.2329895496368408
-production workflows.,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.46454453,0.2322722673416137
data structures,1,0.819,Software Engineering Foundations,Moderate_Growth,0.6,0.38662443,0.2319746553897857
sourcing,1,0.827,Cloud & DevOps,Strong_Growth,0.85,0.2720737,0.2312626332044601
live-streaming setups,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.32945612,0.2306192845106124
IPM,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.23029767,0.2302976697683334
material development,1,0.828,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.24153134,0.2294547751545906
EHR,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.327651,0.2293556958436965
DevSecOps,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.26940048,0.2289904057979583
modeling,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.23980844,0.2278180181980132
SaaS,1,0.831,Cloud & DevOps,Strong_Growth,0.85,0.26699474,0.2269455328583717
partner ecosystem,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.26672766,0.226718507707119
mathematical foundations,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.37739378,0.2264362692832946
defence,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.251267,0.2261402875185013
resources,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.32259426,0.2258159786462783
engineering,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.37497973,0.2249878406524658
CI/CD best practices,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.26424465,0.2246079489588737
NASA missions,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.26380947,0.2242380514740944
legal databases,1,0.75,Data & Analytics,Strong_Growth,0.9,0.24832238,0.2234901443123817
motion design,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.3189405,0.2232583433389663
audio,1,0.825,XR & Interactive Media,Moderate_Growth,0.7,0.31877765,0.2231443554162979
SAP ECC,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.26131502,0.2221177652478218
distributed systems,1,0.828,Cloud & DevOps,Strong_Growth,0.85,0.26129213,0.2220983102917671
AMM protocols,1,0.828,AI & Machine Learning,Strong_Growth,1.0,0.22203837,0.2220383733510971
NLP -related,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.23310125,0.2214461863040924
private communications,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.24460927,0.2201483398675918
renewables,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.40023017,0.2201265931129455
"Computer Engineering,",1,0.532,Green & Sustainable Tech,Moderate_Growth,0.55,0.4001565,0.2200860738754272
emerging technologies,2,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.39972538,0.219848957657814
finance,2,0.641,AI & Machine Learning,Strong_Growth,1.0,0.21984655,0.2198465466499328
IPS,1,0.827,Cybersecurity & Privacy,Strong_Growth,0.9,0.24180163,0.2176214709877968
aerospace,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.3074648,0.2152253657579421
version control,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.3585314,0.2151188313961029
Jenkins,2,0.7889999999999999,Cloud & DevOps,Strong_Growth,0.85,0.25249156,0.2146178290247917
engineering and design practices,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.35491282,0.2129476904869079
Azure AD,1,0.823,Cloud & DevOps,Strong_Growth,0.85,0.2500408,0.2125346794724464
Allen,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.22281912,0.2116781637072563
data annotation,1,0.83,Data & Analytics,Strong_Growth,0.9,0.23505536,0.2115498214960098
technology platform,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.42299578,0.211497887969017
construction engineering,1,0.828,Software Engineering Foundations,Moderate_Growth,0.6,0.3508015,0.2104808986186981
workflows,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.4195826,0.2097913026809692
EHS solutions,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.24592672,0.2090377144515514
sustainability standards,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.37945357,0.2086994633078575
technology,5,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.37872428,0.2082983523607254
Technology,1,0.532,Green & Sustainable Tech,Moderate_Growth,0.55,0.37872425,0.2082983359694481
Bitbucket,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.2437664,0.207201437652111
integrated applications,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.4143875,0.2071937471628189
EKS,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.2437087,0.2071523949503898
Power Automate,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.41377735,0.2068886756896972
operation systems,1,0.828,Software Engineering Foundations,Moderate_Growth,0.6,0.34390077,0.2063404619693756
content,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.29364422,0.2055509537458419
Java technologies,1,0.827,Software Engineering Foundations,Moderate_Growth,0.6,0.34126857,0.20476114153862
Enterprise CRM Solutions,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.408872,0.2044360041618347
Purview,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.29154676,0.2040827333927154
aerospace systems,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.29132026,0.2039241850376129
Anypoint Studio,1,0.829,XR & Interactive Media,Moderate_Growth,0.7,0.29052928,0.2033704966306686
data ingestion,1,0.831,Data & Analytics,Strong_Growth,0.9,0.22522494,0.202702447772026
physical foundations,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.33777148,0.2026628851890564
engineering technology,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.33676776,0.2020606577396392
digital models,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.28628555,0.2003998845815658
risk management,4,0.78875,Cybersecurity & Privacy,Strong_Growth,0.9,0.22139332,0.1992539852857589
voice or,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.20957476,0.1990960210561752
mobile application development,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.33137462,0.1988247692584991
"Anypoint Platform,",1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.2837397,0.1986177802085876
production,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.28358585,0.1985100924968719
Domain Driven Design,1,0.829,Software Engineering Foundations,Moderate_Growth,0.6,0.3289094,0.1973456382751464
MS365,1,0.831,AI & Machine Learning,Strong_Growth,1.0,0.19730572,0.1973057240247726
deal sourcing,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.23019445,0.1956652820110321
CI Poly,1,0.83,XR & Interactive Media,Moderate_Growth,0.7,0.27949473,0.1956463128328323
-chip,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.20573497,0.1954482197761535
SAP technologies,1,0.831,Green & Sustainable Tech,Moderate_Growth,0.55,0.35535917,0.1954475417733192
private equity investments,1,0.831,Cloud & DevOps,Strong_Growth,0.85,0.2298309,0.1953562699258327
Systems Design,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.32525742,0.1951544523239135
AD,1,0.825,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.20524049,0.1949784636497497
