skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight,trend_tier,tier_weight,future_weight_tier
maintain cybersecurity compliances,1,0.716,WEF03,Cybersecurity,Strong_Growth,0.9,0.5068792,0.5068792,0.30322787,0.2831744,0.20365134,DEC03,ONET02,WEF_FutureOfJobs_2025,0.45619128942489623,Strong_Growth,1.0,0.5068792104721069
innovate AI-enabled workflows,1,0.682,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.47983068,0.47983068,0.43605757,0.41493392,0.043773115,WEF01,MCK01,WEF_FutureOfJobs_2025,0.45583914816379545,Strong_Growth,1.0,0.47983068227767944
maintain cybersecurity standards,1,0.716,WEF03,Cybersecurity,Strong_Growth,0.9,0.506276,0.506276,0.26591164,0.23771048,0.24036437,DEC03,ONET06,WEF_FutureOfJobs_2025,0.45564841032028197,Strong_Growth,1.0,0.50627601146698
translate complex operational challenges into production-ready AI systems,1,0.679,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4777406,0.4777406,0.38477075,0.32994676,0.092969835,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4538535565137863,Strong_Growth,1.0,0.4777405858039856
drive delivery of AI/ML models,1,0.613,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4523961,0.4523961,0.3619222,0.22114825,0.09047389,WEF07,MCK01,WEF_FutureOfJobs_2025,0.45239609479904175,Strong_Growth,1.0,0.45239609479904175
build advanced artificial intelligence solutions,1,0.681,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.47119287,0.47119287,0.45328093,0.36071932,0.01791194,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4476332232356071,Strong_Growth,1.0,0.471192866563797
contribute to automation initiatives,1,0.573,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4699829,0.4699829,0.46353438,0.36274755,0.0064485073,MCK01,MCK02,WEF_FutureOfJobs_2025,0.4464837476611137,Strong_Growth,1.0,0.46998289227485657
integrate AI across ecosystems,1,0.702,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.46561742,0.46561742,0.43603536,0.3344642,0.029582053,WEF01,WEF04,WEF_FutureOfJobs_2025,0.44233654737472533,Strong_Growth,1.0,0.46561741828918457
embed AI capabilities,1,0.591,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.44052315,0.44052315,0.42092043,0.18649764,0.019602716,WEF07,ONET04,WEF_FutureOfJobs_2025,0.4405231475830078,Strong_Growth,1.0,0.4405231475830078
operate AI-enabled workflows,1,0.601,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.46060216,0.46060216,0.43343368,0.4319356,0.027168483,WEF01,MCK01,WEF_FutureOfJobs_2025,0.43757205605506894,Strong_Growth,1.0,0.46060216426849365
apply AI to tackle challenges,1,0.665,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4488926,0.4488926,0.39702034,0.25858754,0.051872253,WEF01,ESCO02,WEF_FutureOfJobs_2025,0.4264479637145996,Strong_Growth,1.0,0.44889259338378906
implement generative AI technologies,1,0.625,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.42275098,0.42275098,0.3806752,0.2401294,0.042075783,WEF07,MCK01,WEF_FutureOfJobs_2025,0.42275097966194153,Strong_Growth,1.0,0.42275097966194153
deliver AI-powered products,1,0.598,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.44370466,0.44370466,0.39709717,0.293391,0.046607494,WEF01,MCK01,WEF_FutureOfJobs_2025,0.42151943147182463,Strong_Growth,1.0,0.44370466470718384
shape the foundation of search and AI ecosystem,1,0.665,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.44065702,0.44065702,0.41989577,0.26794606,0.020761251,WEF01,WEF04,WEF_FutureOfJobs_2025,0.41862416863441465,Strong_Growth,1.0,0.44065701961517334
build large-scale SaaS and cloud services,1,0.699,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.49207145,0.49207145,0.2852369,0.2616731,0.20683455,ONET02,ONET06,WEF_FutureOfJobs_2025,0.41826073229312893,Strong_Growth,1.0,0.4920714497566223
operate advanced artificial intelligence solutions,1,0.603,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4390157,0.4390157,0.41498816,0.35929418,0.024027526,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4170649021863937,Strong_Growth,1.0,0.4390156865119934
operate large-scale SaaS and cloud services,1,0.618,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.48443002,0.48443002,0.31871426,0.28145465,0.16571575,ONET02,ONET06,WEF_FutureOfJobs_2025,0.41176551282405854,Strong_Growth,1.0,0.4844300150871277
work closely with data scientists,2,0.6185,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.45401824,0.45401824,0.3492512,0.34568447,0.104767025,DEC01,ONET02,WEF_FutureOfJobs_2025,0.4086164116859436,Strong_Growth,1.0,0.454018235206604
lead enterprise automation initiatives,1,0.616,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.42715517,0.42715517,0.40762514,0.395201,0.019530028,MCK01,MCK02,WEF_FutureOfJobs_2025,0.40579740852117535,Strong_Growth,1.0,0.42715516686439514
partner with data scientists,1,0.634,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.45052445,0.45052445,0.35252127,0.3054574,0.09800318,ONET02,MCK02,WEF_FutureOfJobs_2025,0.40547200441360476,Strong_Growth,1.0,0.4505244493484497
provision infrastructure,1,0.606,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.47125697,0.47125697,0.33956677,0.28388673,0.1316902,ONET06,WEF05,WEF_FutureOfJobs_2025,0.400568425655365,Strong_Growth,1.0,0.47125697135925293
solve problems creatively,1,0.612,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.490713,0.490713,0.30292588,0.23061958,0.18778712,DEC03,WEF07,McKinsey_FutureOfWork_2025,0.39257040023803713,Strong_Growth,1.0,0.4907130002975464
leverage Azure data platforms,1,0.567,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46068245,0.46068245,0.338265,0.2834409,0.12241745,WEF05,WEF02,WEF_FutureOfJobs_2025,0.39158008396625515,Strong_Growth,1.0,0.4606824517250061
lead evolution of cloud-based platforms,1,0.593,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.45959514,0.45959514,0.2876625,0.27688795,0.17193264,ONET02,WEF05,WEF_FutureOfJobs_2025,0.3906558722257614,Strong_Growth,1.0,0.4595951437950134
maintain hybrid cloud environment,1,0.705,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4537943,0.4537943,0.18075758,0.17870367,0.27303672,MCK05,DEC02,WEF_FutureOfJobs_2025,0.38572515547275543,Strong_Growth,1.0,0.45379430055618286
validate AI/ML solutions,1,0.675,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.38544413,0.38544413,0.3460652,0.19592743,0.03937894,WEF07,MCK01,WEF_FutureOfJobs_2025,0.38544413447380066,Strong_Growth,1.0,0.38544413447380066
use ML frameworks,1,0.665,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.38472658,0.38472658,0.26559982,0.2632054,0.11912677,ESCO02,DEC02,WEF_FutureOfJobs_2025,0.3847265839576721,Strong_Growth,1.0,0.3847265839576721
support enterprise analytics platforms,1,0.681,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.42730004,0.42730004,0.39604068,0.3564806,0.031259358,ONET02,WEF05,WEF_FutureOfJobs_2025,0.38457003235816956,Strong_Growth,1.0,0.42730003595352173
focus on security,1,0.586,WEF03,Cybersecurity,Strong_Growth,0.9,0.42654002,0.42654002,0.2598909,0.24295326,0.1666491,ONET02,MCK04,WEF_FutureOfJobs_2025,0.3838860154151917,Strong_Growth,1.0,0.4265400171279907
promote mental health and resiliency,1,0.607,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.51053625,0.51053625,0.21011588,0.1970347,0.30042037,MCK03,DEC03,WEF_FutureOfJobs_2025,0.38290219008922577,Moderate_Growth,0.7,0.3573753774166107
integrate DevOps methodologies into development and deployment workflows,1,0.719,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4413371,0.4413371,0.37515765,0.359926,0.066179454,ONET01,MCK02,WEF_FutureOfJobs_2025,0.37513654232025145,Strong_Growth,1.0,0.44133710861206055
perform data analysis,1,0.671,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.41523883,0.41523883,0.38374257,0.37296242,0.031496257,ESCO02,DEC01,WEF_FutureOfJobs_2025,0.3737149447202683,Strong_Growth,1.0,0.4152388274669647
design large-scale SaaS and cloud services,1,0.699,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4396492,0.4396492,0.27074727,0.2682088,0.16890192,ONET02,ONET06,WEF_FutureOfJobs_2025,0.37370181530714036,Strong_Growth,1.0,0.43964919447898865
lead data scientists,1,0.606,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.41173768,0.41173768,0.37334156,0.2708456,0.03839612,ONET02,DEC01,WEF_FutureOfJobs_2025,0.3705639123916626,Strong_Growth,1.0,0.41173768043518066
solve problems,6,0.6215,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.4631887,0.4631887,0.26382923,0.2123551,0.19935948,DEC03,ESCO01,McKinsey_FutureOfWork_2025,0.3705509662628174,Strong_Growth,1.0,0.46318870782852173
drive design of AI/ML models,1,0.693,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.37003028,0.37003028,0.25578663,0.18839756,0.11424366,WEF07,ESCO02,WEF_FutureOfJobs_2025,0.3700302839279175,Strong_Growth,1.0,0.3700302839279175
collaborate with interns,1,0.611,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.38752395,0.38752395,0.29313093,0.22290674,0.094393015,MCK02,WEF01,WEF_FutureOfJobs_2025,0.3681477516889572,Strong_Growth,1.0,0.38752394914627075
apply AI to asset-intensive environments,1,0.675,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.38654348,0.38654348,0.35019705,0.2834634,0.036346436,WEF01,ONET04,WEF_FutureOfJobs_2025,0.367216308414936,Strong_Growth,1.0,0.38654348254203796
operate Kubernetes,1,0.6,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43085638,0.43085638,0.18943503,0.18508828,0.24142134,MCK02,ONET02,WEF_FutureOfJobs_2025,0.3662279203534126,Strong_Growth,1.0,0.4308563768863678
design advanced artificial intelligence solutions,1,0.682,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.38530004,0.38530004,0.36240202,0.30938256,0.022898018,WEF01,MCK02,WEF_FutureOfJobs_2025,0.3660350382328033,Strong_Growth,1.0,0.38530004024505615
manage infrastructure,1,0.579,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4301057,0.4301057,0.34327233,0.28109953,0.08683336,ONET02,ONET06,WEF_FutureOfJobs_2025,0.3655898332595825,Strong_Growth,1.0,0.43010568618774414
develop data solutions,1,0.702,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.40548325,0.40548325,0.3816298,0.3502837,0.023853451,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.36493492126464844,Strong_Growth,1.0,0.4054832458496094
"bridge data science, engineering, and product domains",1,0.636,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.40155894,0.40155894,0.40131813,0.35989505,0.00024080276,ESCO02,ONET02,WEF_FutureOfJobs_2025,0.3614030420780182,Strong_Growth,1.0,0.40155893564224243
think critically in a wider business context,1,0.604,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.44728658,0.44728658,0.26532614,0.2056787,0.18196043,MCK02,ESCO02,McKinsey_FutureOfWork_2025,0.3578292608261109,Strong_Growth,1.0,0.44728657603263855
shape hybrid cloud environment,1,0.593,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.42062008,0.42062008,0.14838038,0.11608073,0.27223969,WEF02,ONET06,WEF_FutureOfJobs_2025,0.35752707123756405,Strong_Growth,1.0,0.4206200838088989
develop infrastructure solutions,1,0.716,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4185137,0.4185137,0.3403539,0.27039817,0.07815978,MCK02,ESCO01,WEF_FutureOfJobs_2025,0.35573663264513017,Strong_Growth,1.0,0.418513685464859
learn new technologies,1,0.636,WEF08,Technological Literacy & Digital Fluency,Strong_Growth,0.85,0.41840136,0.41840136,0.34379983,0.33899626,0.07460153,MCK02,DEC02,WEF_FutureOfJobs_2025,0.3556411564350128,Strong_Growth,1.0,0.4184013605117798
serve as a liaison with the information security team,1,0.657,WEF03,Cybersecurity,Strong_Growth,0.9,0.3945855,0.3945855,0.35625786,0.25778818,0.038327634,MCK02,MCK03,WEF_FutureOfJobs_2025,0.35512694120407107,Strong_Growth,1.0,0.3945854902267456
collaborate with others,1,0.637,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.37176207,0.37176207,0.36477053,0.20146132,0.0069915354,MCK02,MCK03,WEF_FutureOfJobs_2025,0.35317396372556686,Strong_Growth,1.0,0.37176206707954407
solve problems proactively,1,0.641,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.4400125,0.4400125,0.31518096,0.24146709,0.12483156,DEC03,WEF07,McKinsey_FutureOfWork_2025,0.35201001167297363,Strong_Growth,1.0,0.44001251459121704
thrive in an agile environment,1,0.603,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.4689954,0.4689954,0.39631838,0.36888427,0.072677016,ESCO01,MCK02,WEF_FutureOfJobs_2025,0.3517465442419052,Moderate_Growth,0.7,0.32829677462577816
scale AI-enabled workflows,1,0.572,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.369464,0.369464,0.36673635,0.33278257,0.0027276576,WEF01,MCK01,WEF_FutureOfJobs_2025,0.35099080950021744,Strong_Growth,1.0,0.3694640100002289
push capability into modern AI techniques,1,0.59,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.36891556,0.36891556,0.3243655,0.20228565,0.04455006,WEF01,MCK01,WEF_FutureOfJobs_2025,0.35046977996826173,Strong_Growth,1.0,0.3689155578613281
lead design of cloud-based platforms,1,0.7,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.41184473,0.41184473,0.2936591,0.26249093,0.11818564,WEF05,ONET02,WEF_FutureOfJobs_2025,0.35006802082061766,Strong_Growth,1.0,0.41184473037719727
deliver high-quality analytics,1,0.577,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.38634372,0.38634372,0.3090526,0.24414012,0.07729113,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.3477093458175659,Strong_Growth,1.0,0.38634371757507324
leveraging AI to generate insights,1,0.67,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3468302,0.3468302,0.3138344,0.16528067,0.03299579,WEF07,WEF02,WEF_FutureOfJobs_2025,0.34683018922805786,Strong_Growth,1.0,0.34683018922805786
help shape future infrastructure,1,0.61,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.40766054,0.40766054,0.29724032,0.28586158,0.11042023,WEF06,MCK02,WEF_FutureOfJobs_2025,0.34651146233081814,Strong_Growth,1.0,0.4076605439186096
automate infrastructure,1,0.686,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4068816,0.4068816,0.33799955,0.28567976,0.06888205,MCK01,WEF07,WEF_FutureOfJobs_2025,0.34584936052560805,Strong_Growth,1.0,0.4068816006183624
build intelligent systems,1,0.706,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.3596823,0.3596823,0.34115458,0.24417982,0.018527716,WEF01,ONET06,WEF_FutureOfJobs_2025,0.34169817715883255,Strong_Growth,1.0,0.3596822917461395
lead implementation of cloud-based platforms,1,0.624,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.40007862,0.40007862,0.28455058,0.2671426,0.11552805,ONET02,WEF05,WEF_FutureOfJobs_2025,0.3400668308138847,Strong_Growth,1.0,0.4000786244869232
approach problems creatively and collaboratively,1,0.616,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.42093444,0.42093444,0.36811525,0.3188489,0.052819192,MCK02,WEF07,McKinsey_FutureOfWork_2025,0.3367475509643555,Strong_Growth,1.0,0.42093443870544434
thrive in a fast-paced environment,1,0.606,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.44576526,0.44576526,0.2035855,0.1618897,0.24217975,DEC03,MCK03,WEF_FutureOfJobs_2025,0.3343239426612854,Moderate_Growth,0.7,0.3120356798171997
work autonomously,1,0.613,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.35084146,0.35084146,0.33163258,0.23939428,0.019208878,MCK01,WEF01,WEF_FutureOfJobs_2025,0.3332993894815445,Strong_Growth,1.0,0.3508414626121521
unlock the power of data driven decision making,1,0.602,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.3683408,0.3683408,0.2806524,0.2466668,0.08768839,WEF01,ONET02,WEF_FutureOfJobs_2025,0.33150671124458314,Strong_Growth,1.0,0.36834079027175903
deploy network infrastructure,1,0.628,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.38932922,0.38932922,0.2142376,0.19584948,0.17509162,ONET02,DEC02,WEF_FutureOfJobs_2025,0.3309298411011696,Strong_Growth,1.0,0.3893292248249054
develop and operate Autonomous Underwater Vehicles (AUVs) and Autonomous Surface Vehicles (USVs),1,0.681,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.34742522,0.34742522,0.2833031,0.2547398,0.06412211,WEF04,MCK02,WEF_FutureOfJobs_2025,0.33005396127700803,Strong_Growth,1.0,0.3474252223968506
tackle problems,1,0.61,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.4106353,0.4106353,0.25732076,0.25645757,0.15331453,ESCO02,DEC03,McKinsey_FutureOfWork_2025,0.3285082340240479,Strong_Growth,1.0,0.4106352925300598
analyze solution options,1,0.704,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.40895826,0.40895826,0.31228453,0.24805945,0.09667373,ESCO02,ESCO01,McKinsey_FutureOfWork_2025,0.3271666049957276,Strong_Growth,1.0,0.4089582562446594
analyze business and technical requirements,1,0.707,ESCO02,Business Analysis & Requirements Engineering,Moderate_Growth,0.5,0.65361106,0.65361106,0.3271463,0.3101874,0.32646477,ONET03,ONET02,ESCO_v1.2_2024,0.3268055319786072,Moderate_Growth,0.7,0.45752774477005004
turn data into insight,1,0.561,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.35919118,0.35919118,0.23894647,0.21928021,0.12024471,ONET02,DEC01,WEF_FutureOfJobs_2025,0.32327206134796144,Strong_Growth,1.0,0.3591911792755127
develop a data transformation platform,1,0.702,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.3582483,0.3582483,0.30559862,0.30367792,0.052649677,ONET02,DEC01,WEF_FutureOfJobs_2025,0.32242346405982975,Strong_Growth,1.0,0.3582482933998108
rightsize infrastructure,1,0.632,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3790642,0.3790642,0.21573348,0.21525912,0.16333072,WEF06,ONET06,WEF_FutureOfJobs_2025,0.3222045719623566,Strong_Growth,1.0,0.3790642023086548
champion a DevOps culture and practices,1,0.604,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3777178,0.3777178,0.36055315,0.3243205,0.017164648,MCK02,DEC03,WEF_FutureOfJobs_2025,0.32106012403964995,Strong_Growth,1.0,0.3777177929878235
think critically,3,0.6203333333333333,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.40086403,0.40086403,0.1342633,0.1243469,0.26660073,WEF07,MCK05,McKinsey_FutureOfWork_2025,0.32069122791290283,Strong_Growth,1.0,0.40086403489112854
build data pipelines,1,0.699,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.35573325,0.35573325,0.27653563,0.26042128,0.079197615,DEC01,WEF04,WEF_FutureOfJobs_2025,0.32015992105007174,Strong_Growth,1.0,0.3557332456111908
solve challenging problems,1,0.613,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.3995216,0.3995216,0.21428104,0.19819738,0.18524055,DEC03,ESCO02,McKinsey_FutureOfWork_2025,0.31961727142333984,Strong_Growth,1.0,0.3995215892791748
learn how to deploy and secure systems,1,0.6,WEF03,Cybersecurity,Strong_Growth,0.9,0.35504872,0.35504872,0.3063858,0.29592723,0.04866293,DEC03,WEF04,WEF_FutureOfJobs_2025,0.3195438444614411,Strong_Growth,1.0,0.3550487160682678
thrive in fast-paced environments,1,0.639,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.42575565,0.42575565,0.2043606,0.16594139,0.22139505,DEC03,MCK02,WEF_FutureOfJobs_2025,0.3193167373538017,Moderate_Growth,0.7,0.29802895486354825
interpret technical vulnerability data,1,0.711,WEF03,Cybersecurity,Strong_Growth,0.9,0.35413712,0.35413712,0.30759567,0.24479976,0.046541452,DEC03,MCK02,WEF_FutureOfJobs_2025,0.3187234103679657,Strong_Growth,1.0,0.354137122631073
solve complex challenges,3,0.611,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.39782798,0.39782798,0.28109533,0.26479083,0.11673266,ESCO01,WEF07,McKinsey_FutureOfWork_2025,0.31826238632202153,Strong_Growth,1.0,0.39782798290252686
apply Security Technical Implementation Guides (STIGs),1,0.708,WEF03,Cybersecurity,Strong_Growth,0.9,0.35101017,0.35101017,0.26538622,0.2639433,0.08562395,ESCO02,ONET03,WEF_FutureOfJobs_2025,0.31590915620327,Strong_Growth,1.0,0.35101017355918884
define technology strategies,1,0.627,WEF08,Technological Literacy & Digital Fluency,Strong_Growth,0.85,0.3712183,0.3712183,0.37104523,0.34730452,0.00017306209,MCK02,WEF06,WEF_FutureOfJobs_2025,0.31553554981946946,Strong_Growth,1.0,0.3712182939052582
craft tools for compute developers,1,0.616,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3709774,0.3709774,0.32035017,0.31324744,0.05062723,WEF02,DEC03,WEF_FutureOfJobs_2025,0.31533079147338866,Strong_Growth,1.0,0.37097740173339844
accomplish critical missions and objectives,1,0.596,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.39332741,0.39332741,0.30933577,0.29210442,0.08399165,MCK03,MCK02,McKinsey_FutureOfWork_2025,0.31466193199157716,Strong_Growth,1.0,0.39332741498947144
"contribute to real-time control, safety, autonomy and mission execution",1,0.593,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.3305197,0.3305197,0.29098064,0.28554034,0.03953907,MCK02,MCK03,WEF_FutureOfJobs_2025,0.31399372071027754,Strong_Growth,1.0,0.3305197060108185
"program in C, C++ and scripting languages",1,0.694,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.31298703,0.31298703,0.21883316,0.2001839,0.094153866,MCK01,ONET04,WEF_FutureOfJobs_2025,0.3129870295524597,Strong_Growth,1.0,0.3129870295524597
solve complex problems,1,0.702,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.38853228,0.38853228,0.18720545,0.18365155,0.20132683,ONET06,ESCO01,McKinsey_FutureOfWork_2025,0.31082582473754883,Strong_Growth,1.0,0.38853228092193604
