knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight,trend_tier,tier_weight,future_weight_tier
Data Engineering,2,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.44971025,0.44971025,0.38315862,0.3591755,0.066551626,ESCO02,ONET02,WEF_FutureOfJobs_2025,0.4047392249107361,Strong_Growth,1.0,0.44971024990081787
analytics,3,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.44902873,0.44902873,0.37747115,0.27558327,0.07155758,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.40412585735321044,Strong_Growth,1.0,0.44902873039245605
Machine Learning (ML),1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.40311235,0.40311235,0.19351295,0.17245597,0.2095994,WEF07,WEF02,WEF_FutureOfJobs_2025,0.40311235189437866,Strong_Growth,1.0,0.40311235189437866
cloud-based platforms,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.47274268,0.47274268,0.32216924,0.29914743,0.15057343,WEF05,ONET02,WEF_FutureOfJobs_2025,0.40183127522468565,Strong_Growth,1.0,0.4727426767349243
hybrid cloud computing,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4721764,0.4721764,0.23792925,0.2095468,0.23424715,ONET06,WEF02,WEF_FutureOfJobs_2025,0.40134994238615035,Strong_Growth,1.0,0.4721764028072357
enterprise analytics,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.44414577,0.44414577,0.38618767,0.34653854,0.057958096,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.3997311919927597,Strong_Growth,1.0,0.4441457688808441
Azure data platforms,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46738517,0.46738517,0.3493309,0.31957567,0.11805427,WEF05,WEF02,WEF_FutureOfJobs_2025,0.39727739691734315,Strong_Growth,1.0,0.4673851728439331
Infrastructure as Code (IaC),1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4662574,0.4662574,0.32488087,0.30462372,0.14137653,MCK01,WEF07,WEF_FutureOfJobs_2025,0.3963187843561172,Strong_Growth,1.0,0.46625739336013794
advanced machine learning techniques,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.39294535,0.39294535,0.26377884,0.22676602,0.12916651,MCK01,WEF07,WEF_FutureOfJobs_2025,0.3929453492164612,Strong_Growth,1.0,0.3929453492164612
security baselines,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.43333048,0.43333048,0.24543142,0.23990096,0.18789905,DEC03,ONET02,WEF_FutureOfJobs_2025,0.3899974286556244,Strong_Growth,1.0,0.4333304762840271
machine learning,8,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3884734,0.3884734,0.21083066,0.17420441,0.17764273,WEF07,ONET06,WEF_FutureOfJobs_2025,0.38847339153289795,Strong_Growth,1.0,0.38847339153289795
analytics and visualization software applications,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43100286,0.43100286,0.390671,0.323915,0.04033184,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.387902569770813,Strong_Growth,1.0,0.4310028553009033
data catalog,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4303608,0.4303608,0.39282894,0.38892108,0.037531853,DEC01,ONET02,WEF_FutureOfJobs_2025,0.38732471466064455,Strong_Growth,1.0,0.4303607940673828
DevOps,6,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.45030546,0.45030546,0.36995566,0.34479755,0.0803498,DEC03,ONET01,WEF_FutureOfJobs_2025,0.3827596426010132,Strong_Growth,1.0,0.4503054618835449
infrastructure,5,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.44983685,0.44983685,0.3215168,0.31872952,0.12832004,ONET06,ONET02,WEF_FutureOfJobs_2025,0.3823613226413727,Strong_Growth,1.0,0.4498368501663208
ClinicalKey AI,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4021152,0.4021152,0.3135469,0.2778543,0.0885683,WEF01,MCK01,WEF_FutureOfJobs_2025,0.3820094361901283,Strong_Growth,1.0,0.40211519598960876
strategic thinking,1,0.75,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.4755077,0.4755077,0.29151094,0.25802916,0.18399677,MCK02,MCK05,McKinsey_FutureOfWork_2025,0.38040616512298586,Strong_Growth,1.0,0.4755077064037323
Cloud Cost Management,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4458124,0.4458124,0.24508515,0.23369154,0.20072725,WEF05,ONET02,WEF_FutureOfJobs_2025,0.3789405435323715,Strong_Growth,1.0,0.4458124041557312
cloud-based technologies,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.44548777,0.44548777,0.28125566,0.25306433,0.1642321,ONET06,ONET02,WEF_FutureOfJobs_2025,0.37866460233926774,Strong_Growth,1.0,0.44548776745796204
Azure Pipelines,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4438514,0.4438514,0.241398,0.23621511,0.2024534,WEF02,MCK01,WEF_FutureOfJobs_2025,0.3772736996412277,Strong_Growth,1.0,0.44385141134262085
Microsoft Azure AI document intelligence,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.37637973,0.37637973,0.36285564,0.22293983,0.013524085,WEF07,WEF04,WEF_FutureOfJobs_2025,0.37637972831726074,Strong_Growth,1.0,0.37637972831726074
enterprise data warehouse,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.41772592,0.41772592,0.34945643,0.2893716,0.06826949,ONET02,DEC01,WEF_FutureOfJobs_2025,0.37595332860946656,Strong_Growth,1.0,0.41772592067718506
cloud-native integration platforms,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4415192,0.4415192,0.26746207,0.25885338,0.17405713,ONET02,WEF05,WEF_FutureOfJobs_2025,0.37529132068157195,Strong_Growth,1.0,0.44151920080184937
digital platforms,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.53593624,0.53593624,0.3772552,0.34130046,0.15868104,ONET06,WEF08,WEF_FutureOfJobs_2025,0.3751553654670715,Moderate_Growth,0.7,0.3751553654670715
Computer Science,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.41659367,0.41659367,0.4158701,0.4100458,0.0007235706,ONET02,WEF01,WEF_FutureOfJobs_2025,0.37493430376052855,Strong_Growth,1.0,0.41659367084503174
enterprise infrastructure,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43939537,0.43939537,0.35797492,0.34892052,0.08142045,ONET02,ONET06,WEF_FutureOfJobs_2025,0.3734860628843307,Strong_Growth,1.0,0.43939536809921265
e-commerce platform,2,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.5331634,0.5331634,0.33398625,0.24470691,0.19917718,ONET06,DEC02,WEF_FutureOfJobs_2025,0.3732143998146057,Moderate_Growth,0.7,0.3732143998146057
data pipelines,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4142419,0.4142419,0.35622427,0.32201445,0.05801764,DEC01,ONET02,WEF_FutureOfJobs_2025,0.37281771898269656,Strong_Growth,1.0,0.4142419099807739
neural networks,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3724457,0.3724457,0.20565245,0.14191054,0.16679326,WEF07,ONET06,WEF_FutureOfJobs_2025,0.3724457025527954,Strong_Growth,1.0,0.3724457025527954
cloud-native architecture,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4378959,0.4378959,0.21635972,0.20863722,0.22153617,ONET02,DEC02,WEF_FutureOfJobs_2025,0.3722115099430084,Strong_Growth,1.0,0.43789589405059814
Kubernetes,3,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43737376,0.43737376,0.19643867,0.17159604,0.24093509,ONET02,MCK05,WEF_FutureOfJobs_2025,0.37176769375801083,Strong_Growth,1.0,0.4373737573623657
Azure DevOps Engineer Expert,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43651035,0.43651035,0.34371662,0.32515195,0.09279373,ONET01,MCK02,WEF_FutureOfJobs_2025,0.371033801138401,Strong_Growth,1.0,0.4365103542804718
cloud-native development,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43297154,0.43297154,0.29777724,0.2414885,0.1351943,DEC02,DEC03,WEF_FutureOfJobs_2025,0.36802580654621125,Strong_Growth,1.0,0.4329715371131897
Terraform,3,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43096578,0.43096578,0.18608007,0.18201837,0.24488571,ONET02,MCK02,WEF_FutureOfJobs_2025,0.36632091403007505,Strong_Growth,1.0,0.430965781211853
data centers,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.42694646,0.42694646,0.40665394,0.3809011,0.02029252,ONET02,WEF02,WEF_FutureOfJobs_2025,0.362904492020607,Strong_Growth,1.0,0.4269464612007141
cloud storage providers,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.42461395,0.42461395,0.28833756,0.24692237,0.1362764,ONET02,ONET06,WEF_FutureOfJobs_2025,0.36092185974121094,Strong_Growth,1.0,0.42461395263671875
security configurations,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.40021738,0.40021738,0.2810954,0.23411648,0.119122,ONET02,DEC03,WEF_FutureOfJobs_2025,0.3601956456899643,Strong_Growth,1.0,0.4002173840999603
business intelligence,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.39845708,0.39845708,0.3834355,0.34140587,0.015021592,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.35861137211322786,Strong_Growth,1.0,0.3984570801258087
Information Security,2,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.39721116,0.39721116,0.23921098,0.2186376,0.15800019,ONET02,ONET06,WEF_FutureOfJobs_2025,0.35749004781246185,Strong_Growth,1.0,0.3972111642360687
Intelligence Community,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.372407,0.372407,0.2693107,0.25950834,0.10309628,WEF01,MCK02,WEF_FutureOfJobs_2025,0.3537866398692131,Strong_Growth,1.0,0.3724069893360138
Agile methodologies,2,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.6416301,0.6416301,0.47201836,0.45883864,0.16961175,MCK02,ONET01,ESCO_v1.2_2024,0.3528965622186661,Moderate_Growth,0.7,0.44914107918739316
software development,1,0.75,ONET01,Software Development & Engineering,Moderate_Growth,0.65,0.5427001,0.5427001,0.48481965,0.4044354,0.05788046,DEC03,MCK02,ONET_BrightOutlook_2024,0.35275507271289824,Moderate_Growth,0.7,0.3798900783061981
digital business,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.49937826,0.49937826,0.3982934,0.35452694,0.10108486,ONET06,WEF08,WEF_FutureOfJobs_2025,0.3495647847652435,Moderate_Growth,0.7,0.3495647847652435
payment platforms,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.49815,0.49815,0.39150745,0.2731037,0.106642544,ONET06,WEF04,WEF_FutureOfJobs_2025,0.348704993724823,Moderate_Growth,0.7,0.348704993724823
software engineering,3,0.75,ONET01,Software Development & Engineering,Moderate_Growth,0.65,0.5324081,0.5324081,0.4577934,0.4241057,0.0746147,ESCO02,DEC03,ONET_BrightOutlook_2024,0.3460652768611908,Moderate_Growth,0.7,0.37268568277359004
Azure Boards,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.40388373,0.40388373,0.24711967,0.22410658,0.15676406,ONET04,WEF05,WEF_FutureOfJobs_2025,0.3433011665940285,Strong_Growth,1.0,0.4038837254047394
ecommerce platform,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.49016756,0.49016756,0.33139294,0.29641283,0.15877461,ONET06,DEC02,WEF_FutureOfJobs_2025,0.3431172907352447,Moderate_Growth,0.7,0.3431172907352447
generative AI,4,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.34305623,0.34305623,0.30731508,0.13542575,0.03574115,WEF07,MCK01,WEF_FutureOfJobs_2025,0.34305623173713684,Strong_Growth,1.0,0.34305623173713684
national security,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.38089722,0.38089722,0.19469792,0.17817768,0.1861993,WEF07,ONET06,WEF_FutureOfJobs_2025,0.34280750155448914,Strong_Growth,1.0,0.3808972239494324
research intelligence,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.35973954,0.35973954,0.32053614,0.3074789,0.039203405,WEF01,WEF02,WEF_FutureOfJobs_2025,0.34175256490707395,Strong_Growth,1.0,0.3597395420074463
deep learning,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.34153074,0.34153074,0.16857374,0.10966581,0.172957,WEF07,DEC03,WEF_FutureOfJobs_2025,0.3415307402610779,Strong_Growth,1.0,0.3415307402610779
Azure,4,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3994213,0.3994213,0.24594513,0.19132212,0.15347618,WEF05,ONET04,WEF_FutureOfJobs_2025,0.3395081087946892,Strong_Growth,1.0,0.3994213044643402
platform services,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.39861032,0.39861032,0.3981022,0.37403467,0.0005081296,WEF05,ONET02,WEF_FutureOfJobs_2025,0.3388187751173973,Strong_Growth,1.0,0.39861032366752625
Human Computer Interaction,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.35603175,0.35603175,0.35501695,0.27724552,0.0010147989,ONET03,WEF01,WEF_FutureOfJobs_2025,0.33823015838861464,Strong_Growth,1.0,0.35603174567222595
resilient infrastructure,1,0.75,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.44424385,0.44424385,0.34229755,0.28524554,0.101946294,WEF04,ONET02,WEF_FutureOfJobs_2025,0.3331828862428665,Moderate_Growth,0.7,0.3109706938266754
highly available infrastructure,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.38602722,0.38602722,0.24633922,0.2458846,0.139688,ONET02,MCK02,WEF_FutureOfJobs_2025,0.32812313437461854,Strong_Growth,1.0,0.3860272169113159
AI-powered Matter Management,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.32773536,0.32773536,0.3019963,0.21216708,0.025739074,WEF07,MCK01,WEF_FutureOfJobs_2025,0.32773536443710327,Strong_Growth,1.0,0.32773536443710327
UX Design,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.5935145,0.5935145,0.3149463,0.25922698,0.2785682,DEC02,MCK02,ONET_BrightOutlook_2024,0.3264329761266709,Moderate_Growth,0.7,0.41546015143394466
algorithms,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.32502323,0.32502323,0.28422976,0.2795521,0.04079348,ONET02,ONET06,WEF_FutureOfJobs_2025,0.32502323389053345,Strong_Growth,1.0,0.32502323389053345
Data Fusion and Analytics,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.36100534,0.36100534,0.24199653,0.21897924,0.11900881,ONET02,WEF01,WEF_FutureOfJobs_2025,0.324904802441597,Strong_Growth,1.0,0.36100533604621887
security solutions,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.36086482,0.36086482,0.2576489,0.2475347,0.10321593,ONET02,DEC03,WEF_FutureOfJobs_2025,0.3247783362865448,Strong_Growth,1.0,0.3608648180961609
Azure administration,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3817283,0.3817283,0.27497587,0.23456463,0.106752425,ONET02,ESCO01,WEF_FutureOfJobs_2025,0.3244690477848053,Strong_Growth,1.0,0.38172829151153564
Air Force cybersecurity policy (AFMAN 17-130),1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.36051506,0.36051506,0.22985578,0.18259478,0.13065928,WEF07,MCK01,WEF_FutureOfJobs_2025,0.32446355223655704,Strong_Growth,1.0,0.3605150580406189
AWS,3,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3800286,0.3800286,0.27654314,0.22086897,0.103485465,ONET02,WEF02,WEF_FutureOfJobs_2025,0.3230243146419525,Strong_Growth,1.0,0.3800286054611206
Azure Automation,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.37983918,0.37983918,0.3681625,0.25999516,0.011676669,MCK01,WEF07,WEF_FutureOfJobs_2025,0.3228633046150207,Strong_Growth,1.0,0.3798391819000244
Microsoft Azure,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.37980518,0.37980518,0.24528626,0.16805965,0.13451892,WEF05,WEF01,WEF_FutureOfJobs_2025,0.322834400832653,Strong_Growth,1.0,0.37980517745018005
ICT,1,0.75,WEF08,Technological Literacy & Digital Fluency,Strong_Growth,0.85,0.37760016,0.37760016,0.35186714,0.2849265,0.025733024,MCK02,WEF05,WEF_FutureOfJobs_2025,0.3209601387381554,Strong_Growth,1.0,0.37760016322135925
