"Sektor","Indonesian Title","English Translation","Indonesian Description","English Description","Source Type"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Ilmuwan Data Madya","Associate Data Scientist","Skema sertifikasi Ilmuwan Data Madya (Associate Data Scientist) adalah skema sertifikasi okupasi yang dikembangkan oleh Komite Skema LSP P1 Universitas Syiah Kuala untuk memenuhi kebutuhan sertifikasi kompetensi kerja di LSP P1 Universitas Syiah Kuala. Standar yang digunakan mengacu kepada SKKNI yang ditetapkan berdasarkan Keputusan Menteri Ketenagakerjaan RI Nomor 299 Tahun 2020 tentang Penetapan SKKNI Kategori Informasi dan Komunikasi Golongan Pokok Aktivitas Pemrograman, Konsultasi Komputer dan Kegiatan Yang berhubungan dengan Itu (YBDI) Bidang Keahlian Artificial Intelligence Sub Bidang Data Science. Kemasan skema sertifikasi okupasi ini mengacu pada Keputusan Kepala Pusat Pengembangan Profesi dan Sertifikasi Nomor 602 tahun 2021 tentang Penetapan Perubahan Deskripsi dan Unit Kompetensi Peta Okupasi Bidang TIK tahun 2021.","The Associate Data Scientist (Ilmuwan Data Madya) occupational certification scheme was developed by the Scheme Committee of LSP P1 Universitas Syiah Kuala to fulfill work competency certification needs. It references SKKNI Kepmenaker No. 299 of 2020 (ICT Category – AI / Data Science Sub-field) and the Head of Professional Development and Certification Center Decree No. 602 of 2021 on the ICT Occupation Map 2021 Unit Competency Update.","Verbatim (lsp.usk.ac.id)"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Insinyur Data Madya","Associate Data Engineer","Skema sertifikasi okupasi Insinyur Data Madya dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 299 Tahun 2020 Bidang Artificial Intelligence Sub-Bidang Data Engineering. Mencakup kompetensi perancangan pipeline data, proses ETL, pengelolaan data warehouse, dan jaminan kualitas data.","The Associate Data Engineer occupational certification scheme references SKKNI Kepmenaker No. 299 of 2020 (AI / Data Engineering Sub-field). It covers data pipeline design, ETL processes, data warehouse management, and data quality assurance competencies.","Template-based / Kepmenaker 299/2020"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Data Engineer","Data Engineer","Skema sertifikasi okupasi Data Engineer dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 299 Tahun 2020 Bidang Artificial Intelligence Sub-Bidang Data Engineering. Mencakup kompetensi pembangunan infrastruktur data berskala besar, orkestrasi alur kerja data, dan optimisasi sistem penyimpanan data.","The Data Engineer occupational certification scheme references SKKNI Kepmenaker No. 299 of 2020 (AI / Data Engineering Sub-field). It covers large-scale data infrastructure building, data workflow orchestration, and data storage system optimization competencies.","Template-based / Kepmenaker 299/2020"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pemasaran Digital","Digital Marketing","Skema sertifikasi okupasi Pemasaran Digital dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang Pemasaran Digital dan Peta Okupasi Nasional TIK. Mencakup kompetensi strategi pemasaran digital, optimisasi mesin pencari (SEO/SEM), pengelolaan media sosial, pemasaran konten, dan analitik digital.","The Digital Marketing occupational certification scheme references the SKKNI Digital Marketing Field and the National ICT Occupation Map. It covers digital marketing strategy, search engine optimization (SEO/SEM), social media management, content marketing, and digital analytics competencies.","Template-based / Peta Okupasi TIK"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Desainer Grafis Muda","Junior Graphic Designer","Skema sertifikasi okupasi Desainer Grafis Muda dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang Desain Komunikasi Visual dan Multimedia. Mencakup kompetensi prinsip tipografi, tata letak (layout), ilustrasi digital, dan identitas merek dasar.","The Junior Graphic Designer occupational certification scheme references the SKKNI Visual Communication Design and Multimedia Field. It covers typography principles, layout, digital illustration, and basic brand identity competencies.","Template-based / SKKNI DKV"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Multimedia","Multimedia","Skema sertifikasi okupasi Multimedia dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 321 Tahun 2016 Bidang Jasa Multimedia. Mencakup kompetensi produksi konten audio-visual, animasi 2D/3D, pengeditan video, dan pasca produksi.","The Multimedia occupational certification scheme references SKKNI Kepmenaker No. 321 of 2016 (Multimedia Services Field). It covers audio-visual content production, 2D/3D animation, video editing, and post-production competencies.","Template-based / Kepmenaker 321/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Manajemen Proyek","Project Management","Skema sertifikasi okupasi Manajemen Proyek TIK dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang Manajemen Proyek TIK dan Peta Okupasi Nasional TIK. Mencakup kompetensi inisiasi, perencanaan, pelaksanaan, pemantauan, dan penutupan proyek TIK.","The ICT Project Management occupational certification scheme references the SKKNI ICT Project Management Field and National ICT Occupation Map. It covers project initiation, planning, execution, monitoring, and closure competencies for ICT projects.","Template-based / Peta Okupasi TIK"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Audit Teknologi Informasi","IT Audit","Kemasan kompetensi mengacu pada Kepmenaker Nomor 48 Tahun 2015 tentang Penetapan SKKNI Kategori Jasa Profesional, Ilmiah, dan Teknis Golongan Pokok Kegiatan Kantor Pusat dan Konsultasi Manajemen Bidang Auditor Teknologi Informasi, serta Peta Okupasi Nasional Bidang TIK Tahun 2017 berdasarkan Keputusan Kepala Badan Litbang SDM Kementerian Komunikasi dan Informatika No 172/KOMINFO/BLSDM/KS.01.07/7/2017 tentang Daftar Unit Kompetensi Okupasi Dalam Kerangka Kualifikasi Nasional Indonesia Bidang TIK.","The competency package refers to Kepmenaker No. 48 of 2015 (IT Auditor Field, Professional, Scientific and Technical Services Category) and the National ICT Occupation Map 2017 established by Head of BPSDM Kominfo Decree No. 172/KOMINFO/BLSDM/KS.01.07/7/2017 on the List of ICT Occupational Competency Units within the KKNI Framework.","Verbatim (lsp.unusa.ac.id)"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Auditor Madya Teknologi Informasi","Middle IT Auditor","Kemasan kompetensi mengacu pada Kepmenaker Nomor 48 Tahun 2015 tentang Penetapan SKKNI Bidang Auditor Teknologi Informasi, serta Peta Okupasi Nasional Bidang TIK. Skema ini ditujukan bagi Auditor TI pada jenjang menengah (madya) dengan lingkup kompetensi yang lebih luas mencakup perencanaan audit TI, pengujian kontrol, analisis risiko, dan pelaporan hasil audit.","The competency package refers to Kepmenaker No. 48 of 2015 (IT Auditor Field) and the National ICT Occupation Map. This scheme targets IT Auditors at the middle level, covering audit planning, control testing, risk analysis, and IT audit reporting competencies.","Verbatim-based (lsp.unusa.ac.id)"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Rekayasa Jaringan Komputer","Computer Network Engineering","Skema sertifikasi okupasi Rekayasa Jaringan Komputer dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 321 Tahun 2016 Bidang Jaringan Komputer. Mencakup kompetensi perancangan, implementasi, dan pengelolaan infrastruktur jaringan komputer termasuk keamanan dan pemecahan masalah jaringan.","The Computer Network Engineering occupational certification scheme references SKKNI Kepmenaker No. 321 of 2016 (Computer Network Field). It covers the design, implementation, and management of computer network infrastructure, including network security and troubleshooting competencies.","Template-based / Kepmenaker 321/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pengelolaan Layanan Teknologi Informasi","IT Service Management","Skema sertifikasi okupasi Pengelolaan Layanan Teknologi Informasi dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang Pengelolaan Layanan TI dan Peta Okupasi TIK. Mencakup kompetensi manajemen layanan TI berbasis ITIL, pengelolaan insiden, masalah, dan perubahan layanan TI.","The IT Service Management occupational certification scheme references the SKKNI IT Service Management Field and ICT Occupation Map. It covers ITIL-based IT service management, incident management, problem management, and IT service change management competencies.","Template-based / Peta Okupasi TIK"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Sains Data","Data Science","Skema sertifikasi okupasi Sains Data dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 299 Tahun 2020 Bidang Artificial Intelligence Sub-Bidang Data Science. Mencakup kompetensi eksplorasi data, pemodelan statistik, pembelajaran mesin, dan komunikasi temuan data kepada pemangku kepentingan.","The Data Science occupational certification scheme references SKKNI Kepmenaker No. 299 of 2020 (AI / Data Science Sub-field). It covers data exploration, statistical modeling, machine learning, and data findings communication to stakeholders competencies.","Template-based / Kepmenaker 299/2020"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Cyber Security Specialist","Cyber Security Specialist","Skema sertifikasi okupasi Cyber Security Specialist dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang Keamanan Informasi dan Siber serta Peta Okupasi TIK 2025. Mencakup kompetensi penilaian kerentanan sistem, pengujian penetrasi, respons insiden siber, dan pengelolaan keamanan informasi.","The Cyber Security Specialist occupational certification scheme references the SKKNI Information and Cyber Security Field and ICT Occupation Map 2025. It covers system vulnerability assessment, penetration testing, cyber incident response, and information security management competencies.","Template-based / Peta Okupasi TIK 2025"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Teknisi Komputer","Computer Technician","Skema sertifikasi okupasi Teknisi Komputer dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang Teknisi Perangkat Keras Komputer. Mencakup kompetensi perakitan, pemeliharaan, perbaikan perangkat keras komputer, dan instalasi sistem operasi.","The Computer Technician occupational certification scheme references the SKKNI Computer Hardware Technician Field. It covers computer hardware assembly, maintenance, repair, and operating system installation competencies.","Template-based / SKKNI TIK"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Aplikasi Perkantoran","Office Applications","Skema sertifikasi okupasi Aplikasi Perkantoran dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang TIK Sub-bidang Aplikasi Perkantoran. Mencakup kompetensi penggunaan perangkat lunak pengolah kata, lembar kerja, presentasi, dan surat elektronik untuk keperluan perkantoran.","The Office Applications occupational certification scheme references the SKKNI ICT Field – Office Applications Sub-field. It covers the use of word processing, spreadsheet, presentation, and electronic mail software for office purposes competencies.","Template-based / SKKNI TIK"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Data Entry Clerk / Operator","Data Entry Clerk / Operator","Skema sertifikasi okupasi Data Entry Clerk/Operator dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang TIK Sub-bidang Operasional Data. Mencakup kompetensi entri data dengan akurasi tinggi, verifikasi data, pengelolaan basis data dasar, dan pengoperasian perangkat input data.","The Data Entry Clerk/Operator occupational certification scheme references the SKKNI ICT Field – Data Operations Sub-field. It covers high-accuracy data entry, data verification, basic database management, and data input device operation competencies.","Template-based / SKKNI TIK"
"Manajemen Sumber Daya Manusia","Skema Okupasi Staf Sumber Daya Manusia","HR Administrative Staff","Skema sertifikasi okupasi Staf Sumber Daya Manusia dikembangkan oleh Komite Skema LSP MSDM Indonesia untuk memenuhi kebutuhan sertifikasi kompetensi kerja. Kemasan yang digunakan mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 tentang Penetapan SKKNI Bidang Manajemen Sumber Daya Manusia dan Kepmenaker RI No. 297 Tahun 2020 tentang Penetapan Jenjang Kualifikasi Nasional Indonesia Bidang MSDM.","The HR Administrative Staff occupational certification scheme was developed by LSP MSDM Indonesia, referencing SKKNI Kepmenaker No. 149 of 2020 (HRM Field) and Kepmenaker No. 297 of 2020 (KKNI for HRM). It ensures staff-level competency in HR administrative functions.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Supervisor Sumber Daya Manusia","HR Supervisor","Skema sertifikasi okupasi Supervisor Sumber Daya Manusia dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020 Bidang Manajemen Sumber Daya Manusia. Mencakup kompetensi supervisi operasional HR, koordinasi rekrutmen, dan pemantauan kinerja karyawan.","The HR Supervisor occupational certification scheme was developed by LSP MSDM Indonesia, referencing SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers HR operational supervision, recruitment coordination, and employee performance monitoring competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Manajer Sumber Daya Manusia","HR Manager","Skema sertifikasi Okupasi Manajer Sumber Daya Manusia adalah skema sertifikasi yang dikembangkan oleh Komite Skema LSP Manajemen Sumber Daya Manusia Indonesia (MSDM Indonesia) untuk memenuhi kebutuhan sertifikasi kompetensi kerja di LSP MSDM Indonesia. Kemasan yang digunakan mengacu pada SKKNI berdasarkan Kepmenaker RI Nomor 149 Tahun 2020 tentang Penetapan SKKNI Kategori Jasa Profesional, Ilmiah Dan Teknis Golongan Pokok Kegiatan Kantor Pusat Dan Konsultasi Manajemen Bidang Manajemen Sumber Daya Manusia dan Kepmenaker RI Nomor 297 Tahun 2020 tentang Penetapan Jenjang Kualifikasi Nasional Indonesia Bidang Manajemen Sumber Daya Manusia.","The HR Manager occupational certification scheme was developed by the Scheme Committee of LSP MSDM Indonesia to fulfill work competency certification needs. It references SKKNI Kepmenaker No. 149 of 2020 (HRM Field, Professional and Scientific Services Category) and Kepmenaker No. 297 of 2020 (KKNI for HRM Field).","Verbatim (elsp.id/lspmsdmi)"
"Manajemen Sumber Daya Manusia","Skema Okupasi Manajer Hubungan Industrial","Industrial Relations Manager","Skema sertifikasi okupasi Manajer Hubungan Industrial dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020 Bidang MSDM. Mencakup kompetensi pengelolaan hubungan industrial, mediasi perselisihan, pembinaan serikat pekerja, dan kepatuhan peraturan ketenagakerjaan.","The Industrial Relations Manager occupational certification scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers industrial relations management, dispute mediation, trade union development, and labor regulation compliance competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Kepala Bagian Rekrutmen dan Seleksi","Head of Recruitment & Selection","Skema sertifikasi okupasi Kepala Bagian Rekrutmen dan Seleksi dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi strategi rekrutmen, perancangan proses seleksi, wawancara kompetensi, dan manajemen talenta.","The Head of Recruitment & Selection occupational certification scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers recruitment strategy, selection process design, competency-based interviewing, and talent management competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Kepala Bagian Pelatihan dan Pengembangan","Head of Training & Development","Skema sertifikasi okupasi Kepala Bagian Pelatihan dan Pengembangan dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi analisis kebutuhan pelatihan, perancangan program pembelajaran, pengelolaan anggaran pelatihan, dan evaluasi efektivitas pelatihan.","The Head of Training & Development occupational certification scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers training needs analysis, learning program design, training budget management, and training effectiveness evaluation competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Kepala Bagian Remunerasi","Head of Remuneration","Skema sertifikasi okupasi Kepala Bagian Remunerasi dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi perancangan sistem penggajian, evaluasi jabatan, survei gaji, dan kepatuhan peraturan pengupahan.","The Head of Remuneration occupational certification scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers compensation system design, job evaluation, salary surveys, and wage regulation compliance competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Analis Remunerasi","Remuneration Analyst","Skema sertifikasi okupasi Analis Remunerasi dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi analisis data kompensasi, benchmarking gaji, dan pelaporan remunerasi.","The Remuneration Analyst occupational certification scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers compensation data analysis, salary benchmarking, and remuneration reporting competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Analis Perjanjian Kerja dan Kelembagaan Hubungan Industrial","Labor Contract & Industrial Relations Institutional Analyst","Skema sertifikasi okupasi Analis Perjanjian Kerja dan Kelembagaan Hubungan Industrial dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi analisis dan penyusunan perjanjian kerja, PKB, dan peraturan perusahaan.","The Labor Contract & Industrial Relations Institutional Analyst scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers analysis and drafting of employment agreements, Collective Labor Agreements (PKB), and company regulations competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Analis Pencegahan dan Penyelesaian Perselisihan Hubungan Industrial","Industrial Dispute Prevention & Resolution Analyst","Skema sertifikasi okupasi Analis Pencegahan dan Penyelesaian Perselisihan Hubungan Industrial dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi identifikasi potensi perselisihan, mediasi, konsiliasi, dan penyelesaian perselisihan ketenagakerjaan.","The Industrial Dispute Prevention & Resolution Analyst scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers dispute potential identification, mediation, conciliation, and labor dispute resolution competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Supervisor Rekrutmen dan Seleksi SDM","HR Recruitment & Selection Supervisor","Skema sertifikasi okupasi Supervisor Rekrutmen dan Seleksi SDM dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi supervisi proses rekrutmen, koordinasi seleksi kandidat, dan pelaporan efektivitas rekrutmen.","The HR Recruitment & Selection Supervisor scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers supervision of recruitment processes, candidate selection coordination, and recruitment effectiveness reporting competencies.","Template-based / Kepmenaker 149/2020"
"Manajemen Sumber Daya Manusia","Skema Okupasi Penata Pembuatan Perjanjian Kerja","Labor Contract Drafter (Qualification IV)","Skema sertifikasi okupasi Penata Pembuatan Perjanjian Kerja (Kualifikasi IV) dikembangkan oleh Komite Skema LSP MSDM Indonesia mengacu pada SKKNI berdasarkan Kepmenaker RI No. 149 Tahun 2020 dan Kepmenaker RI No. 297 Tahun 2020. Mencakup kompetensi penyusunan Perjanjian Kerja Waktu Tertentu (PKWT) dan Perjanjian Kerja Waktu Tidak Tertentu (PKWTT) sesuai ketentuan hukum ketenagakerjaan.","The Labor Contract Drafter (Qualification IV) scheme references SKKNI Kepmenaker No. 149 of 2020 and No. 297 of 2020 (HRM Field). It covers the drafting of fixed-term (PKWT) and indefinite-term (PKWTT) employment agreements in compliance with labor law requirements.","Template-based / Kepmenaker 149/2020"
