Sektor,Indonesian Title,English Translation
Pariwisata dan Perhotelan,Skema Okupasi Pemandu Arung Jeram,Rafting Guide
Pariwisata dan Perhotelan,Skema Okupasi Konsultan Perencanaan Pemasaran Pariwisata,Tourism Marketing Planning Consultant
Pariwisata dan Perhotelan,Skema Okupasi Spa Therapist Junior,Junior Spa Therapist
Pariwisata dan Perhotelan,Skema Okupasi Usaha Perjalanan Wisata,Travel Agency Operations
Pariwisata dan Perhotelan,Skema Okupasi Wisata Bahari dan Ekowisata,Marine Tourism & Ecotourism
Konstruksi,Skema Okupasi Ahli Muda Perawatan Bangunan Gedung,Junior Building Maintenance Expert
Konstruksi,Skema Okupasi Ahli Madya Perawatan Bangunan Gedung,Middle Building Maintenance Expert
Konstruksi,Skema Okupasi Ahli Utama Perawatan Bangunan Gedung,Senior Building Maintenance Expert
Konstruksi,Skema Okupasi Ahli Muda Perencana Beton,Junior Concrete Planning Expert
Konstruksi,Skema Okupasi Ahli Madya Perencana Beton,Middle Concrete Planning Expert
Konstruksi,Skema Okupasi Ahli Utama Perencana Beton,Senior Concrete Planning Expert
Konstruksi,Skema Okupasi Ahli Muda Manajemen Proyek Konstruksi,Junior Construction Project Management Expert
Konstruksi,Skema Okupasi Ahli Madya Manajemen Proyek Konstruksi,Middle Construction Project Management Expert
Konstruksi,Skema Okupasi Ahli Utama Manajemen Proyek Konstruksi,Senior Construction Project Management Expert
Konstruksi,Skema Okupasi Ahli Muda K3 Konstruksi,Junior Construction Safety Expert
Konstruksi,Skema Okupasi Ahli Madya Keselamatan Konstruksi,Middle Construction Safety Expert
Konstruksi,Skema Okupasi Ahli Utama Keselamatan Konstruksi,Senior Construction Safety Expert
Konstruksi,Skema Okupasi Manajer Lapangan Pekerjaan Gedung,Building Works Field Manager
Konstruksi,Skema Okupasi Manajer Teknik Pelaksana Bangunan Gedung,Building Technical Implementation Manager
Konstruksi,Skema Okupasi Pengawas Lapangan Pekerjaan Jalan,Road Works Field Supervisor
Konstruksi,Skema Okupasi Pengawas Lapangan Pekerjaan Jembatan,Bridge Works Field Supervisor
Konstruksi,Skema Okupasi Ahli Muda Geoteknik,Junior Geotechnical Expert
Konstruksi,Skema Okupasi Ahli Madya Geoteknik,Middle Geotechnical Expert
Konstruksi,Skema Okupasi Ahli Muda Hidrologi,Junior Hydrology Expert
Konstruksi,Skema Okupasi Ahli Madya Hidrologi,Middle Hydrology Expert
Konstruksi,Skema Okupasi Ahli Muda Bendungan Besar,Junior Large Dam Expert
Konstruksi,Skema Okupasi Ahli Madya Bendungan Besar,Middle Large Dam Expert
Konstruksi,Skema Okupasi Ahli Muda Sistem Manajemen Mutu Konstruksi,Junior Construction Quality Management System Expert
Konstruksi,Skema Okupasi Ahli Madya Sistem Manajemen Mutu Konstruksi,Middle Construction Quality Management System Expert
Konstruksi,Skema Okupasi Ahli Muda Penilai Kelaikan Bangunan Gedung,Junior Building Fitness Assessor
Konstruksi,Skema Okupasi Ahli Madya Penilai Kelaikan Bangunan Gedung,Middle Building Fitness Assessor
Konstruksi,Skema Okupasi Ahli Muda Building Information Modeling (BIM),Junior BIM Expert
Konstruksi,Skema Okupasi Ahli Madya Building Information Modeling (BIM),Middle BIM Expert
Konstruksi,Skema Okupasi Tukang Pasang Bata,Bricklayer
Konstruksi,Skema Okupasi Tukang Plester,Plasterer
Konstruksi,Skema Okupasi Tukang Cor Beton,Concrete Caster
Konstruksi,Skema Okupasi Tukang Besi Beton,Steel Bar Setter
Konstruksi,Skema Okupasi Pelaksana Pemeliharaan Jaringan Irigasi,Irrigation Network Maintenance Implementer
Konstruksi,Skema Okupasi Penilai Kegagalan Bangunan Sumber Daya Air,Water Resources Building Failure Assessor
Pertanian Perkebunan dan Peternakan,Skema Okupasi Fasilitator Pertanian Organik Tanaman,Plant Organic Agriculture Facilitator
Pertanian Perkebunan dan Peternakan,Skema Okupasi Inspektor Organik Tanaman,Plant Organic Inspector
Pertanian Perkebunan dan Peternakan,Skema Okupasi Pekerja Hortikultura,Horticulture Worker
Pertanian Perkebunan dan Peternakan,Skema Okupasi Pembibitan Tanaman Kelapa Sawit,Oil Palm Seedling / Nursery
Pertanian Perkebunan dan Peternakan,Skema Okupasi Asisten Kebun Kelapa Sawit,Oil Palm Plantation Assistant
Pertanian Perkebunan dan Peternakan,Skema Okupasi Pembudidayaan Jamur,Mushroom Cultivation
Pertanian Perkebunan dan Peternakan,Skema Okupasi Asisten Pengendali Organisme Pengganggu Tumbuhan (OPT),Assistant Plant Pest Controller
Pertanian Perkebunan dan Peternakan,Skema Okupasi Supervisor Agribisnis – Bidang Pemasaran,Agribusiness Supervisor – Marketing
Pertanian Perkebunan dan Peternakan,Skema Okupasi Manajer Produksi Agribisnis,Agribusiness Production Manager
Pertanian Perkebunan dan Peternakan,Skema Okupasi Manajer Sumberdaya Manusia Agribisnis,Agribusiness HR Manager
Pertanian Perkebunan dan Peternakan,Skema Okupasi Supervisor Pengawas Mutu Pakan,Feed Quality Control Supervisor
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Agribisnis Tanaman Pangan dan Hortikultura,KKNI L4 Food Crop & Horticulture Agribusiness
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Agribisnis Tanaman Perkebunan,KKNI L4 Plantation Crop Agribusiness
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Agribisnis Ternak Unggas,KKNI L4 Poultry Livestock Agribusiness
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Agribisnis Ternak Ruminansia,KKNI L4 Ruminant Livestock Agribusiness
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Agribisnis Pengolahan Hasil Pertanian,KKNI L4 Agricultural Product Processing Agribusiness
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Kesehatan Hewan,KKNI L4 Animal Health
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Pemuliaan dan Perbenihan Tanaman,KKNI L4 Plant Breeding & Seedling
Pertanian Perkebunan dan Peternakan,Skema KKNI Level IV Mekanisasi Pertanian,KKNI L4 Agricultural Mechanization
Kelautan dan Perikanan,Skema Okupasi Nakhoda Kapal Penangkap Ikan,Fishing Vessel Captain
Kelautan dan Perikanan,Skema Okupasi Anak Buah Kapal (ABK) Perikanan Tangkap,Fishing Vessel Crew
Kelautan dan Perikanan,Skema Okupasi Teknisi Mesin Kapal Perikanan,Fishing Vessel Engine Technician
Kelautan dan Perikanan,Skema Okupasi Ahli Pengolahan Hasil Perikanan,Fishery Product Processing Expert
Kelautan dan Perikanan,Skema Okupasi Teknisi Budidaya Ikan Air Tawar,Freshwater Fish Culture Technician
Kelautan dan Perikanan,Skema Okupasi Teknisi Budidaya Udang,Shrimp Culture Technician
Kelautan dan Perikanan,Skema Okupasi Teknisi Budidaya Rumput Laut,Seaweed Culture Technician
Kelautan dan Perikanan,Skema Okupasi Penyuluh Perikanan,Fisheries Extension Officer
Kelautan dan Perikanan,Skema Okupasi Pengawas Mutu Hasil Perikanan,Fishery Product Quality Inspector
Kelautan dan Perikanan,Skema Okupasi Pembudidaya Akuakultur,Aquaculture Farmer
Minyak Gas dan Pertambangan,Skema Okupasi Operator K3 (Migas),Oil & Gas OHS Operator
Minyak Gas dan Pertambangan,Skema Okupasi Pengawas K3 (Migas),Oil & Gas OHS Supervisor
Minyak Gas dan Pertambangan,Skema Okupasi Pengawas Utama K3 (Migas),Oil & Gas Senior OHS Supervisor
Minyak Gas dan Pertambangan,Skema Okupasi Pengawas Laboratorium Pengujian Migas,Oil & Gas Testing Laboratory Supervisor
Minyak Gas dan Pertambangan,Skema Okupasi Authorized Gas Tester,Authorized Gas Tester
Minyak Gas dan Pertambangan,Skema Okupasi Welding Inspector Basic,Basic Welding Inspector
Minyak Gas dan Pertambangan,Skema Okupasi Welding Engineer,Welding Engineer
Minyak Gas dan Pertambangan,Skema Okupasi Petugas Penanganan Bahaya H2S,H2S Hazard Handling Officer
Minyak Gas dan Pertambangan,Skema Okupasi Pipeline Checker,Pipeline Checker
Minyak Gas dan Pertambangan,Skema Okupasi Teknisi Lapangan ILI,ILI Field Technician
Minyak Gas dan Pertambangan,Skema Okupasi Supervisor Operasi dan Pemeliharaan Pipa Penyalur,Pipeline Operations & Maintenance Supervisor
Minyak Gas dan Pertambangan,Skema Okupasi Pipeline Integrity Management System (PIMS) Auditor,PIMS Auditor
Minyak Gas dan Pertambangan,Skema Okupasi AIMS Engineer,Asset Integrity Management System Engineer
Minyak Gas dan Pertambangan,Skema Okupasi Penanggung Jawab Operasional Instalasi Pengendalian Pencemaran Udara (POPU),Person in Charge of Air Pollution Control Installation
Minyak Gas dan Pertambangan,Skema Okupasi Operasional Pengelolaan Limbah B3 (OPLB3),B3 Hazardous Waste Operational Management
Minyak Gas dan Pertambangan,Skema Okupasi Pengelolaan Bahan Peledak di Pengeboran dan Kerja Ulang,Explosives Management in Drilling & Workover
Minyak Gas dan Pertambangan,Skema Okupasi Leak Test Level II,Leak Test Level II
Minyak Gas dan Pertambangan,Skema Okupasi Leak Test Level III,Leak Test Level III
Minyak Gas dan Pertambangan,Skema Okupasi Ultrasonic Test Level I,UT Level I
Minyak Gas dan Pertambangan,Skema Okupasi Ultrasonic Test Level II,UT Level II
Minyak Gas dan Pertambangan,Skema Okupasi Ultrasonic Test Level III Advance,UT Level III Advance
Minyak Gas dan Pertambangan,Skema Okupasi Radiography Test Level I,RT Level I
Minyak Gas dan Pertambangan,Skema Okupasi Radiography Test Level II,RT Level II
Minyak Gas dan Pertambangan,Skema Okupasi Radiography Test Level III Advance,RT Level III Advance
Minyak Gas dan Pertambangan,Skema Okupasi Verifikator TKDN,Domestic Content (TKDN) Verifier
Minyak Gas dan Pertambangan,Skema Okupasi Auditor Energi Listrik,Electrical Energy Auditor
Minyak Gas dan Pertambangan,Skema Okupasi Auditor Sistem Manajemen Lingkungan,Environmental Management System Auditor
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Rendah,Low Voltage Utilization Installation Maintenance Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Menengah,Medium Voltage Utilization Installation Maintenance Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Tinggi,High Voltage Utilization Installation Maintenance Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pengoperasian Instalasi Pemanfaatan Tegangan Rendah,Low Voltage Utilization Installation Operations Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pengoperasian Instalasi Pemanfaatan Tegangan Menengah,Medium Voltage Utilization Installation Operations Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pengoperasian Instalasi Pemanfaatan Tegangan Tinggi,High Voltage Utilization Installation Operations Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Asisten Manajer Pemeliharaan Pemanfaatan Tegangan Menengah,Assistant Manager – Medium Voltage Utilization Maintenance
Ketenagalistrikan (SKTTK),Skema Okupasi Asisten Manajer Pengoperasian Pemanfaatan Tegangan Menengah,Assistant Manager – Medium Voltage Utilization Operations
Ketenagalistrikan (SKTTK),Skema Okupasi Teknisi Pembangunan dan Pemasangan Jaringan Tegangan Rendah,Low Voltage Network Construction & Installation Technician
Ketenagalistrikan (SKTTK),Skema Okupasi Manager Pengoperasian Instalasi Stasiun Pengisian Kendaraan Listrik Umum (SPKLU),Public EV Charging Station Operations Manager
Ketenagalistrikan (SKTTK),Skema Okupasi Pelaksana Madya Pembangunan dan Pemasangan Distribusi Tegangan Rendah,Middle Implementer – Low Voltage Distribution Construction & Installation
Energi Baru Terbarukan,Skema Okupasi Ahli Geologi Panas Bumi,Geothermal Geologist
Energi Baru Terbarukan,Skema Okupasi Geothermal Rotary Equipment Inspector,Geothermal Rotary Equipment Inspector
Energi Baru Terbarukan,Skema Okupasi Senior / Chief Engineer Perencanaan PLTS (KKNI Level 7),Solar Power Plant Planning Senior / Chief Engineer
Energi Baru Terbarukan,Skema Okupasi Operator Senior Pemasangan PLTS Atap,Senior Rooftop Solar PV Installer
Energi Baru Terbarukan,Skema Okupasi Inspektur Muda Pemeriksaan dan Pengujian PLTS,Junior PV Inspection & Testing Inspector
Energi Baru Terbarukan,Skema Okupasi Pelaksana Kelistrikan dan Pembangunan PLTS,Solar PV Electrical & Construction Implementer
Energi Baru Terbarukan,Skema Okupasi Teknisi PLTMH,Mini-Hydro Power Plant Technician
Energi Baru Terbarukan,Skema Okupasi Teknisi PLTB,Wind Power Plant Technician
Energi Baru Terbarukan,Skema Okupasi Teknisi PLTBg / PLTBm / PLTSa,Biogas / Biomass / Waste-to-Energy Power Plant Technician
Manufaktur Otomotif dan Industri,Skema Okupasi Engine Tune Up Konvensional,Conventional Engine Tune-Up
Manufaktur Otomotif dan Industri,Skema Okupasi Engine Tune Up Injeksi,Injection Engine Tune-Up
Manufaktur Otomotif dan Industri,Skema Okupasi Pemeliharaan Emisi Gas Buang,Exhaust Gas Emission Maintenance
Manufaktur Otomotif dan Industri,Skema Okupasi Pemeliharaan Four Wheel Alignment,Four Wheel Alignment Maintenance
Manufaktur Otomotif dan Industri,Skema Okupasi Pemeriksaan Kondisi Mobil,Vehicle Condition Inspection
Manufaktur Otomotif dan Industri,Skema Okupasi Pengecatan Panel Bodi Kendaraan,Vehicle Body Panel Painting
Manufaktur Otomotif dan Industri,Skema Okupasi Servis Sepeda Motor Sistem Karburator,Carburetor Motorcycle Service
Manufaktur Otomotif dan Industri,Skema Okupasi Servis Sepeda Motor Sistem Injeksi,Injection Motorcycle Service
Manufaktur Otomotif dan Industri,Skema Okupasi Chassis dan Suspension Junior Technician,Chassis & Suspension Junior Technician
Manufaktur Otomotif dan Industri,Skema Okupasi Power Train Junior Technician,Power Train Junior Technician
Manufaktur Otomotif dan Industri,Skema Okupasi Perencanaan dan Perbaikan Pak Baterai (EV),EV Battery Pack Planning & Repair
Manufaktur Otomotif dan Industri,Skema Okupasi Pemeliharaan Berkala Sepeda Motor Matic Injeksi,Periodic Maintenance of Automatic Injection Motorcycles
Manufaktur Otomotif dan Industri,Skema Okupasi Manajer Perencana Material MRO,MRO Material Planner Manager
Manufaktur Otomotif dan Industri,Skema Okupasi Manajer Pengadaan MRO,MRO Procurement Manager
Manufaktur Otomotif dan Industri,Skema Okupasi Manajer Logistik MRO,MRO Logistics Manager
Manufaktur Otomotif dan Industri,Skema Okupasi Manajer Gudang MRO,MRO Warehouse Manager
Manufaktur Otomotif dan Industri,Skema Okupasi Procurement Supervisor,Procurement Supervisor
Manufaktur Otomotif dan Industri,Skema Okupasi Warehouse Operation Officer,Warehouse Operation Officer
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Pemesinan,KKNI L2 Machining Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Pengelasan,KKNI L2 Welding Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Pengecoran Logam,KKNI L2 Metal Casting Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Mekanik Industri,KKNI L2 Industrial Mechanics
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Otomasi Industri,KKNI L2 Industrial Automation Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Pendingin dan Tata Udara,KKNI L2 Refrigeration & Air Conditioning
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Instalasi Tenaga Listrik,KKNI L2 Electrical Power Installation
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Tenaga Listrik,KKNI L2 Electrical Power Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level III Teknik Instrumentasi Logam,KKNI L3 Metal Instrumentation Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level III Teknik Penyempurnaan Tekstil,KKNI L3 Textile Finishing Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level III Teknik Mekatronika,KKNI L3 Mechatronics Engineering
Manufaktur Otomotif dan Industri,Skema KKNI Level II Aircraft Sheet Metal Forming,KKNI L2 Aircraft Sheet Metal Forming
Manufaktur Otomotif dan Industri,Skema KKNI Level II Airframe Mechanic,KKNI L2 Airframe Mechanic
Manufaktur Otomotif dan Industri,Skema KKNI Level II Teknik Pengelasan Kapal,KKNI L2 Ship Welding Engineering
Logistik dan Transportasi,Skema Okupasi Pengelolaan Logistik Transportasi,Transport Logistics Management
Logistik dan Transportasi,Skema Okupasi TKBM Barang-Barang Umum (General Cargo),General Cargo Loading-Unloading Worker
Logistik dan Transportasi,Skema Okupasi Pengemudi Angkutan Bermotor,Motorized Transport Driver
Logistik dan Transportasi,Skema Okupasi Pengurusan Pengangkutan Multimoda,Multimodal Transport Forwarder
Logistik dan Transportasi,Skema Okupasi Manajer Pergudangan,Warehouse Manager
Logistik dan Transportasi,Skema Okupasi Supply Chain Manager,Supply Chain Manager
Logistik dan Transportasi,Skema Okupasi Export Import Administrative Staff,Export-Import Administrative Staff
Logistik dan Transportasi,Skema Okupasi Customs Broker,Customs Broker
Kesehatan dan Farmasi,Skema Okupasi Asisten Tenaga Kefarmasian di Apotek,Pharmacy Assistant at Pharmacies
Kesehatan dan Farmasi,Skema Okupasi Asisten Tenaga Kefarmasian di Rumah Sakit,Pharmacy Assistant at Hospitals
Kesehatan dan Farmasi,Skema Okupasi Asisten Tenaga Kefarmasian di Industri Farmasi,Pharmacy Assistant at Pharmaceutical Industry
Kesehatan dan Farmasi,Skema Okupasi Asisten Tenaga Kefarmasian di Pelayanan Kefarmasian,Pharmacy Assistant at Pharmaceutical Services
Kesehatan dan Farmasi,Skema Sertifikat II Bidang Farmasi Klinis dan Komunitas,Certificate II Clinical & Community Pharmacy
Kesehatan dan Farmasi,Skema Sertifikat II Bidang Keperawatan,Certificate II Nursing
Kesehatan dan Farmasi,Skema Okupasi Baby Sitter,Baby Sitter
Kesehatan dan Farmasi,Skema Okupasi Asisten Caregiver Lansia,Elderly Caregiver Assistant
Kesehatan dan Farmasi,Skema Okupasi Pengelola HACCP,HACCP Manager
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Ahli K3 Umum,General OHS Expert
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Ahli K3 Muda,Junior OHS Expert
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Ahli K3 Madya,Middle OHS Expert
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Ahli K3 Utama,Senior OHS Expert
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Petugas K3,OHS Officer
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Operator K3,OHS Operator
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Petugas P3K,First Aid Officer
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Petugas K3 Kebakaran,Fire OHS Officer
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Teknisi K3 Listrik,Electrical OHS Technician
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Petugas Keselamatan Konstruksi,Construction Safety Officer
Keselamatan dan Kesehatan Kerja (K3),Skema Okupasi Penanggung Jawab Operasional Pengolahan Air Limbah (POPAL),Wastewater Treatment Operations Person-in-Charge
Lingkungan Hidup,Skema Okupasi Ketua Tim Penyusun AMDAL (KTPA),EIA Team Leader
Lingkungan Hidup,Skema Okupasi Anggota Tim Penyusun AMDAL (ATPA),EIA Team Member
Lingkungan Hidup,Skema Okupasi Penanggung Jawab Pengendalian Pencemaran Air (PPPA),Water Pollution Control Person-in-Charge
