job_id,total,kept
in-28e1088328efb0b9,18,4
in-29297963f83aa519,7,0
in-295808661ca43ed2,8,3
in-296a2a466bdd3115,6,2
in-2992068c573ddca2,14,2
in-29965ae38199717a,5,3
in-29a1bda90865db91,31,19
in-29f1b562daec0979,43,29
in-2a91d1d55a8f1a28,12,3
in-2a94a33a01c30b61,4,3
in-2ad60566c51dada8,5,2
in-2b02fd684cb6db34,9,3
in-2b158c1a04ec6c5a,11,6
in-2b60d045932e3174,13,2
in-2c0585b8f83b8a50,5,3
in-2c2310c2c4f07f3a,16,8
in-2c76e39b9b24e487,22,3
in-2c83eeb6d5507c81,10,5
in-2cedccbce8991c12,3,1
in-2d549fff9fff3940,25,25
in-2daf5182dc67e522,2,2
in-2decbd6890fc92b8,1,1
in-2e89d2ce781d346d,8,0
in-2ebda34d6df22271,9,3
in-2f0842e30fe65f92,24,9
in-2f92d629147b66d0,17,8
in-2fb22a4e9210f78b,66,16
in-3025370591fd2a0f,10,3
in-3040dd79f0846a3c,18,4
in-309696e1bf044d05,41,10
in-3105df240ea2fab3,25,18
in-3136b419585a0e5a,2,2
in-31bd784bc8c9ce32,4,3
in-324849a5b0e95146,18,1
in-326a2b641cd7b1ac,35,23
in-32ec0d0e5f45195b,13,4
in-3325982f90fe4786,4,4
in-333252562fabdac9,17,6
in-3341b691eb54a419,1,1
in-334d6f81f040ee02,12,2
in-3364e36afbc18373,21,2
in-3391e83efc10a072,9,4
in-33ecf8694e25a6c1,5,4
in-340683f4108c1297,6,4
in-34243d991e961f82,8,3
in-3435bbc4efa66b3c,9,2
in-343da5378d39894e,7,6
in-344392d5db21a549,3,3
in-34732de169befc74,10,3
in-34a2812d94225564,4,2
in-34a3cb87db620ebe,11,8
in-3504b66a6b8b7392,5,0
in-35a430641e81b2fa,24,4
in-35abb2063a9cc464,11,0
in-3708a4d496c8f8c6,14,6
in-37149c70e04e0002,21,4
in-3737fd211ced7b4b,11,5
in-37c8c6e2d43a298c,9,3
in-37f9e38e8e5f512e,4,4
in-37fb30521437429a,20,5
in-37fe4aa3a970b90e,31,18
in-386f6686a2d26139,20,19
in-389563a798e301be,23,2
in-38c99d9330b0ce91,16,2
in-38ee85823c57f865,8,2
in-38f808a64b69d86f,7,4
in-39f2b29f0f524fef,19,5
in-3a3e387acd240c3d,18,11
in-3a5bf74a083d7f70,8,0
in-3a7a95dccd46c43e,19,3
in-3acd976b1611a1e7,22,4
in-3b4507f84d39bac9,19,2
in-3b4ac96183a04433,28,14
in-3b5a19d578a18a18,38,14
in-3bbe36c76d95f63f,49,9
in-3bc4a4ab7f89dca9,3,3
in-3c16bab76cb0a54c,14,5
in-3c3daa62bd366ee4,9,2
in-3c96a0111e1a072f,14,8
in-3cb4b45e79a28a9e,20,8
in-3cf58c09a196a297,16,4
in-3ec3f8577480e061,6,4
in-3ec75c58bbf2cdaa,5,4
in-3ec9eba42d6b41eb,30,4
in-3ee9e1a1dc8f2fa8,1,0
in-3ef9752df5dfda1a,27,2
in-3f0be147dfb88780,28,26
in-3f0f58dfa88c507e,3,3
in-3f41569c97c3eb4d,55,33
in-3f6b4beed747b16e,23,17
in-3f8f7791aecaa69c,9,1
in-3fddf9f95e24ecde,5,5
in-400a15a541648094,11,0
in-4026aaf449f6cebd,26,4
in-4042dd256eab611b,9,1
in-40737dd49a979309,5,1
in-408272ea5c7a9311,9,2
in-40a909ed161ce1a9,7,1
in-40e8ce617bdfbc63,3,0
in-4194e0d70033904e,31,4
in-41ac6498f5b55201,16,11
in-41b799ab8b1df83a,12,7
in-41c56a8689bd0c9b,16,4
in-41cd94e7934045c2,2,2
in-41ce07a90006968a,5,3
in-425a1ab3b065a1d3,40,24
in-42a9441d8fc09ecc,18,4
in-431a4b0434c89c52,21,7
in-4323d05dd5487b73,18,3
in-4328d3668b2eff9a,7,3
in-440a3f63dd4b7d70,2,2
in-44258b83bafb58d5,11,1
in-4448486210162c50,65,46
in-4488625a3be5d377,12,6
in-45023f3eda4be44e,16,9
in-450d3c91c41ced10,19,12
in-453e12094f67cfc1,9,3
in-45ad1b70c836c0c3,11,6
in-45dc39663b9195f1,10,3
in-461e3271095f68b7,17,5
in-4645c52e4ddda85b,3,2
in-470a034ce7f4d204,18,5
in-4725c9cded51a8e0,9,7
in-47705d17cb978375,10,0
in-47c6eb5055a292ed,21,8
in-48324dcafc6acefb,15,7
in-48a04e5209862bb2,6,4
in-48bad581a2f99b0f,14,3
in-48cbba391fc632c9,12,5
in-48d9d6ab66e128db,7,0
in-4938a9b89f042e9b,14,1
in-4945d50ce6bf1014,17,5
in-49471b875b7e07f6,4,2
in-49bdf40118ece663,9,4
in-49d7c95eb757a3ff,2,2
in-4a0008b81291a84d,12,12
in-4a60ed90c89f6de5,11,2
in-4a6fd51354933497,30,7
in-4b0165cdf61f9887,6,3
in-4b2b5d95626247f3,9,7
in-4b4f01061b247012,22,3
in-4b6297a16c22c19f,3,3
in-4b948d5c7ab2ad35,29,8
in-4bb98ed55e5d97c9,15,4
in-4bca36c0621d5702,9,3
in-4bf1f781e3cc1102,10,4
in-4c9e071ea3bfb9b5,24,11
in-4caaf8f273f50cc5,23,12
in-4cba81718fbdf6cc,5,4
in-4cbdfbdd00e3cbf0,12,4
in-4ccf68be45504acd,5,2
in-4ceb121446df7ea8,1,1
in-4d5d67dbbadfc216,15,9
in-4d74e8fec763bfcb,4,3
in-4dac674e09041c12,16,4
in-4de1faed7d350a6d,20,9
in-4e3648e383c8b194,4,3
in-4e7fc15ef4d4a1b3,8,0
in-4ea116c0922e828e,27,22
in-4f6068480d696c9b,7,3
in-4f64ce8a06e6d54e,5,3
in-4f9cab0ed6d52316,24,11
in-4fb1f18725492a3c,7,4
in-4fc5ff8dd3e68fbc,9,3
in-50212cedaf4afa5a,21,8
in-502a0346cc51a457,9,5
in-50376eff0b75ac68,12,5
in-505444e251b2fcc5,15,3
in-507234fe2969143c,24,5
in-50955785af8e5915,4,2
in-50ed47e0a64de1d6,3,3
in-50ee7d08132c6cfd,35,7
in-50f125342579cf8d,23,15
in-513282220121e7c3,11,3
in-515fc446eb9b09b4,30,8
in-51b4f72bb4fa0683,8,4
in-51cc0e696403d8db,20,6
in-51e288787f49f0a9,17,1
in-5213663ad12b59a4,5,0
in-5222f56c6f2299c1,12,2
in-5280907c459891f1,21,5
in-5286c577842eb0ea,25,3
in-52908f5b7d4ae2ba,4,2
in-531bfae5f10e7233,22,5
in-536bb73b261ceefa,4,2
in-53de7fd1e4fd08bb,3,1
in-54032a6769d2a496,3,3
in-54ff3900d95215d6,20,8
in-5565cf9ead6442a8,14,0
in-557ff81fc8761c8a,18,5
in-558aa8d827b9c344,29,21
in-55a0e54ab9f16d62,16,10
in-55a9f34b41a0bf94,23,3
in-55b7fe13df57ed15,3,3
in-55e650421f0a2a19,6,6
in-5610b36fcdb19b2e,16,5
in-5660adf2a8f5ddc8,12,0
in-5669cfd1967d853c,12,0
in-5721c42f10be9202,36,12
in-5776a595ce391894,28,17
in-579b29e5ed9c948c,2,1
in-57d0e9b2fff9b11a,9,3
in-57df8225b122444a,10,2
in-581ddfcb23add670,45,21
in-582cae87b23907e8,19,4
in-58542431f8ade6d0,30,12
in-589451d43b076af0,11,5
in-589f8f5659e8a788,1,0
in-58b11e224f073c85,19,18
in-596e1216fbb0edde,11,5
in-597aa6df58552e06,12,6
in-598d55d35a94ddb4,4,4
in-59c0ff360e918d57,18,15
in-5a54965a6f6afdc4,15,4
in-5aa536e4dfbc5c77,20,0
in-5ab256873a8330ab,38,13
in-5b029f618c980eec,15,1
in-5b1493a5edc80fcf,4,3
in-5b1d45c528b1d1e3,9,2
in-5b27ef1f24ef06d8,14,3
in-5bb5b297683a01ce,22,0
in-5be2b9f1f8c8b667,9,0
in-5c3f0f8d0b0b2aa5,21,10
in-5c4eba308ad35cdd,14,1
in-5c50d6ba6b8a409e,17,7
in-5ddba2b859012654,10,3
in-5de91bbf9856fd8c,19,8
in-5e0b78b3549704dd,33,19
in-5e56908e71f3b891,9,4
in-5ea18e1d0b8830c4,34,23
in-5ede989017ff8ec0,12,7
in-5efd900e8545828c,24,11
in-5effd12af9dadb01,9,4
in-5f252bd90ae1f92f,11,4
in-5fd0a9fc77a8fa0d,7,4
in-611417bab5eabb9a,6,4
in-613a4fe2e0be5c6b,19,3
in-616b5e044ec95a1f,17,1
in-61a5c25efc2b2cc5,5,1
in-61ab8fbedb6cafaa,15,2
in-61d80a8b313233f9,2,0
in-620fa8b97a22efd8,12,6
in-62d172faca95bbe7,12,2
in-62d95500d24b513e,13,13
in-63094b14f76676db,26,2
in-63b16e6972faa721,14,14
in-64389c0421261d24,10,5
in-64835b59c0799bf5,16,10
in-648b64156e21c33d,7,3
in-6494e0d22b12e6d0,5,4
in-653781d9bb66c9e7,22,8
in-6539ada5fa2bbc19,16,5
in-6572f67294c3ce55,13,2
in-66103232ad8d81fb,1,1
in-670a485587810451,20,7
in-677cea95312992a9,12,6
in-67e62ba01c85a920,12,6
in-6828fec4143ae761,6,6
in-68a02479df3552b0,72,27
in-68a233b7b64c3e73,14,7
in-68a989aae163f3a3,11,9
in-68cdeb8d1b7f7e54,12,9
in-690c31e499d3200a,30,19
in-69592e7a30b3fae5,14,2
in-69e2125686e7c3a6,3,3
in-69e52a01d6146e52,5,2
in-6a00b495e0940871,7,1
in-6a1b866eb6864abb,19,4
in-6aa2cadf7a3564d4,16,5
in-6b04783cb9a7cd0b,24,14
in-6b26c91971a1bb2a,25,4
in-6b2996db275351fc,26,24
in-6b3c768b99599988,42,38
in-6b5b039029257d3d,1,1
in-6b6dacd44491023d,9,6
in-6bcf499887cfbb0a,7,1
in-6c2ad742e21259a2,30,1
in-6ccb856e0e00ac93,26,23
in-6cdd3ad192d06d21,10,3
in-6d0b0ab6c6ad2863,7,0
in-6d2b65f7e738e5fe,35,8
in-6d43ffce75490fc2,11,4
in-6d573cd5d8e7a1fe,10,2
in-6d63a27c9c510cc5,20,6
in-6e69f271b351ffe8,26,2
in-6eafd11aeb26c1f7,15,7
in-6ebce35f1ce79f29,7,1
in-6ee89b365f565bfa,14,6
in-6fa873b191a3f5c8,11,4
in-6fa8b8d600056f76,15,4
in-6fbb634807c0e5d5,1,0
in-7028cb0ca082abc0,8,3
in-70489964b446f807,10,2
in-7069d6c1b5e80d60,18,6
in-70a918bd1f46bf74,12,2
in-70d355e773ad60f9,6,0
in-70e02d21c3ae4b1c,4,0
in-70f5c319640a138a,12,2
in-7119a7833cc6bade,13,3
in-7265ffb330a0a461,3,2
in-729e3a10cbd63030,9,6
in-72bd4e174f356f71,8,2
in-732a14b454b4a953,7,4
in-73662ddd8eef7342,31,4
in-73685e11db6a7640,11,3
in-73799e68e1bb8a89,26,9
in-73adfbc6ec18adde,12,9
in-73d3ff06ca764a14,13,3
in-73dafc3b7f754a24,20,7
in-74183c4860f0ed27,19,16
in-7451d7440fd62236,11,7
in-745ce54f618e3df0,18,3
in-74793fbd2ad53e44,9,2
in-74a3d7835099d646,40,20
in-74a4e11116bcd5fa,6,1
in-75078641e5b6cc17,7,1
in-75cde2eb153d66c8,20,3
in-75e533140f1e4c5c,17,5
in-75eeabd1405a9bfd,5,3
in-760a513dd328d183,11,3
in-761c50fa877a06a4,11,3
in-7630e92044e923e4,4,1
in-76a048597efe2f2a,33,13
in-76ee1f0cbeb3bb7a,15,2
in-76eed3a5c9560240,11,2
in-77137db6b058d3b5,8,2
in-77e94556b0859a9d,11,3
in-78c3dc70c3021bf8,9,8
in-795c1321331e4239,12,6
in-798ab99eddf18b8e,3,1
in-79918b6259ac7ae9,1,1
in-79b1a44b8766f461,20,6
in-79e621ad641f2e49,22,0
in-7a6033d4b1937836,9,0
in-7a9a592526d58f5d,11,6
in-7af783ce695aeba6,7,6
in-7b3bad767d1eaf4d,36,3
in-7bfb0db7aca97a49,31,3
in-7c1a22612040de01,6,2
in-7c23ef82a475b28b,8,0
in-7c447905e24c8d6d,30,16
in-7c9474f3b536dcec,15,0
in-7d208dcfe1f5c2ec,7,5
in-7d22f441df6709ee,22,6
in-7d366dbee3d27742,3,1
in-7e074985ecd4a863,23,3
in-7e1468a9571ab41e,12,5
in-7e19a31111bfb192,6,4
in-7f12083a3becb230,27,24
in-7f191f0f3d844134,17,1
in-7f4d51492b692656,26,15
in-801d40e3c4a9a654,21,6
in-8095bd82dde25133,18,2
in-80a80af996e3d047,11,2
in-8122f0909333e9c8,14,2
in-8136cb0064dbec39,9,0
in-8140dcbb210a73af,22,14
in-81a621fed0bd872c,10,0
in-81acdb99e5cd5e85,13,2
in-825a8ea00a4830da,25,7
in-82b8933e76119dda,11,6
in-82c8eb152ffe17c1,10,1
in-833e52aa38faf62a,19,0
in-83b469e23f79f51c,8,7
in-83c092aa56db5010,11,2
in-83cfdb5aa4dee7db,4,4
in-83df0331222df30c,5,2
in-83fb838aa7360b41,19,4
in-848f4a1667d292a7,19,1
in-84a11244f8b4ce87,16,1
in-85374baa7698d206,17,3
in-85f8a4a3f1dd9d5a,28,4
in-85fbf31113925bbe,2,2
in-8605715f88ca0579,10,1
in-869327396d7f8899,25,3
in-870680034a82f0a3,13,5
in-8859cae4f7246118,11,10
in-8998202a481bb0b8,19,3
in-89ceea0bebfabe77,16,9
in-8a8e924d01d737a3,8,8
in-8aeb880918833e2b,2,2
in-8afbc925dcf2ea16,3,0
in-8b173b2bee7f1be6,17,10
in-8b48ccd67180e38c,4,0
in-8b670aeea68af2a6,5,5
in-8b9b89a9b5353642,6,1
in-8c7e8e1c852f2b0d,1,0
in-8cd5535692839bf9,10,4
in-8d2fe024f5ee5f14,15,8
in-8d3dce83589d5836,24,20
in-8dcc29cd89af8f01,27,23
in-8dd2ea498a78c709,6,2
in-8e59c7c6fb81d819,23,7
in-8e874fe41fdf1fe1,20,11
in-8e9f4517e155eed5,12,4
in-8f6fb38acd65f08e,16,3
in-8f7f6800a9d3e04d,27,18
in-90185803354bb528,6,1
in-90211a3c3e7b0d33,5,2
in-90295bc6ea9352a3,23,2
in-902aab6a926ef851,27,5
in-902f37f24c1b70f5,7,5
in-906bfee1a5c430ff,14,1
in-9077660505a1be3c,25,2
in-90a75f2afc40e937,9,5
in-90c0b971bf56b0db,11,4
in-9129734aae7cd26e,13,2
in-918de3f10295b4ec,17,15
in-91e4b301d0fac004,2,2
in-9227eafef4592c79,1,0
in-9277040ca5f684b7,37,17
in-931efeb34bda9c01,34,4
in-933b7b0cb6eb1470,5,3
in-934b574eb377fc0d,42,30
in-9393b77d540a249d,14,7
in-93b1a4988110cd71,12,7
in-93bc8d3fe13c4124,1,1
in-93fff35ab25e9644,5,3
in-9439ac0dc9747486,10,4
in-94b4461cad813923,17,7
in-94bbe22bed3d3a5f,1,1
in-957a9cd87929d935,12,11
in-95be860dfe2afe43,15,4
in-969133cfe2acbb9c,23,12
in-974366533ad74021,6,1
in-975c43753dd3c6fb,16,2
in-97b399dce8f66cd6,10,7
in-97f05d1ba88b8f53,13,3
in-980ea9e792a15159,6,1
in-981d44c429395bba,25,4
in-987188bd481997d9,19,2
in-98cec117a8890198,17,8
in-9918e2a728e8b333,8,8
in-994cd7988dddbfb3,11,1
in-99b58c2138a97f9b,5,0
in-9a3223efb566dbdd,42,8
in-9a361a64d7fcfc93,12,2
in-9a80bdc4047e0242,11,2
in-9a8e8494732553e7,30,2
in-9a959d23aecd7ba3,3,1
in-9b7d7ffa89ebbf26,15,4
in-9bf2b6f364aa8027,17,5
in-9c021334c26db4fa,17,8
in-9d072466327ef70f,10,5
in-9de203d66e556fb4,3,0
in-9de569c20c72aef9,19,15
in-9e47deb0902859c6,20,16
in-9e84c41b300bcc52,13,2
in-9e8afd0ddd80fcab,25,3
in-9efcf7cde3874508,4,3
in-9f46bd32d56ac451,11,2
in-9f5a2510094d97ba,3,3
in-9f5f94f00e63a51b,10,1
in-9f78125e63bdf920,18,11
in-9f95548d6f434457,26,20
in-9fddc1b1cd8aa252,1,1
in-a042d7d3aa0e374f,11,10
in-a0434a0f405c6949,18,1
in-a06487fa3b55d9d6,28,14
in-a0ee60387fb45ec2,10,3
in-a21b5ff10a201169,20,10
in-a234259430d1cfb8,7,5
in-a26e5b0f24b8ff7c,26,12
in-a2770afeb74715bd,5,0
in-a2a6895c041e1093,22,11
in-a3588ca4c4a6455c,10,3
in-a3f45ea181964784,7,6
in-a40df3ccb578359c,1,1
in-a4669fb3be0fc003,17,0
in-a51d34aaa1d70c0c,2,1
in-a545540608758ff1,11,5
in-a5b188e3a54fd34c,15,3
in-a6a273b73509c203,11,9
in-a70d80b0ad33e4f8,13,0
in-a750bf4c0103c001,9,5
in-a7b9f3bec2094686,6,2
in-a7c80e2086f0d108,63,43
in-a82cbae0871ea6f1,15,6
in-a851668837b360ca,16,5
in-a8f9c5519b206a1d,11,4
in-a939363cdf86a8f3,9,1
in-a9afed092c9e53dc,23,12
in-aa0c9baaaa37e1a0,12,6
in-aa417d133d2353ca,8,5
in-aa4f709214216624,6,1
in-aa54af51fa5cae34,30,19
in-aa652a26cc44323f,4,3
in-aa740f802bbbd979,1,0
in-aa7839d30e2cb2e6,11,5
in-aa9a04868c8ea2dd,19,8
in-ac2b4b34b2d134ea,19,5
in-ac393ab6f431eb49,9,3
in-acb4208c12131d36,21,7
in-acbd8eea8f1f5e59,8,0
in-ad078088d7919969,20,0
in-ad0f890c150609c7,19,9
in-ad7776401b50278f,8,5
in-adce195ba72fd3d8,9,8
in-ae3020d659627986,31,13
in-ae3d60f2c70e20be,18,12
in-ae5253085abc1ae7,6,0
in-ae55c9fd177e95b5,22,3
in-aed543cb523977cd,10,4
in-af452c66778846f7,10,4
in-afcf3d2737f138a6,4,4
in-affdef93fddb5b61,17,0
in-b046d10a603b5537,22,4
in-b11106a128225aa9,21,4
in-b11a141bc982013c,25,0
in-b254af74d06e329a,16,11
in-b2c26cfe1ad4b255,8,7
in-b2d9604fc3d0fed7,13,6
in-b300516a0c4db7a0,7,5
in-b42743e90a86dedf,14,0
in-b438629969d27fca,13,0
in-b4578ec584c110bd,15,14
in-b498bce97279c009,3,2
in-b51f80ade1de2d96,16,4
in-b56536dcc9c340a2,13,13
in-b5dea817f74744dc,10,6
in-b63d4f2b28b10801,16,1
in-b649e0487c55adc7,10,10
in-b659fb21f64a8a49,12,3
in-b6697efc79e6ecf1,12,3
in-b66ccf0b0ad3d4bd,39,6
in-b66d38412e149f0e,9,5
in-b67fac701e35cf16,13,5
in-b723e2ef1f6b2a3a,6,4
in-b74bd1cad4128fc4,10,7
in-b82c885e43b31bb9,5,4
in-b8e593038bb17ba2,16,3
in-b92e4f190ec38b6c,37,16
in-b9412cfba801f483,4,1
in-b99b4aa24ee9a93e,15,10
in-b99eba9178ad6152,14,3
in-ba093bf7b8c5850f,4,2
in-ba55b99774f435de,14,6
in-ba75a9b81eb40c86,3,0
in-bb1627b33932a12d,6,0
in-bb8659b166898904,5,4
in-bbe5e398c09a8b40,13,6
in-bc49df9bd9643cf9,18,2
in-bca5fa332f05bb1b,29,10
in-bd01238f17078c6a,25,7
in-bd38e6929aa1912e,2,2
in-bdcad1dcdcd57034,26,13
in-be57eb2d67758473,25,12
in-be60a844f56d41be,18,1
in-bea719b45ad94738,13,10
in-bec8cc5207b4ada1,12,6
in-bf016dca25e27438,19,5
in-bf6281b33cf4e275,4,3
in-bfad2889003c20f8,20,10
in-bfd825f380be735f,11,4
in-bff652f51f2bf6c2,1,0
in-c0a7fb16902e7564,10,5
in-c158b5c5c2af1f68,4,3
in-c1aa2666eccbbece,31,27
in-c1be6434c54a1678,19,9
in-c1d53cfc462f17f4,3,3
in-c1ea0762e70c054f,8,4
in-c255cc204cb2bbc2,15,8
in-c2cffb407edd5348,3,0
in-c2e3491c2ff6af4b,12,0
in-c2eb5e7e4fc1356c,19,14
in-c2f3994a433bae67,11,2
in-c31d90733c699a8d,12,4
in-c36db9ea598257bb,4,1
in-c39b0329d8469431,17,3
in-c3f2b715968d1e34,8,8
in-c424406573159d6e,11,0
in-c4edf4c314f44346,12,5
in-c5704f7cafd2a196,9,2
in-c593e4d4ed9ba8bf,2,1
in-c5c3480dc1f1b3f3,15,1
in-c5ca338de9e91ae3,11,2
in-c5d0009a2b4ade15,36,2
in-c648d7ad17162f3e,17,10
in-c6b9e11601546334,4,0
in-c73b790505f92335,21,6
in-c73cd9dbca3a70d4,21,4
in-c75cefb1d897e67e,14,1
in-c767922a02397a13,40,1
in-c780e98cad503826,30,12
in-c7f3655309ee2b15,15,1
in-c80c76bb82dd06c5,12,4
in-c8389e7622f3e537,23,7
in-c8c783753065c40f,4,0
in-c90fab9c57a045a4,11,0
in-c94dccd8bf9a36b0,15,9
in-c9e042562741830c,14,14
in-ca1bdb457997baac,15,7
in-ca26b1c068dc6a85,3,3
in-ca8cca25361cf279,5,4
in-ca910d8d69e07f43,2,0
in-cacfed0f888475aa,36,16
in-cb10b6c014e576b3,17,10
in-cb4166ae7f976e8a,26,7
in-cb5f6d617583b83e,2,0
in-cbb4b7e5ab9a534e,13,7
in-cbccdca248d7dcd3,9,6
in-cbd6e16131d915bc,6,0
in-cc770916c1af0ef5,25,3
in-cccf96715f01a63f,7,4
in-ccd9da25a6840259,8,4
in-ccede26325d30eab,13,1
in-cd65a77076bbe2c6,8,0
in-cd7eae0b3d29422f,14,6
in-cd9805ad3637e395,7,2
in-cd9d3346729a1579,24,3
in-ce00115bdc991072,22,10
in-ce41173928539668,4,3
in-ce8e26e93ba3bca1,10,4
in-ced075e718ea0dfd,12,5
in-ced47f6ff3bb6bed,16,3
in-cf225be85907383d,2,0
in-cf27cbab0dee1da5,3,0
in-cf7b9dc908a1e86f,9,8
in-cfdcbee7494f30c5,9,3
in-d019a41625638f3c,9,5
in-d07d69d0a77e30a6,10,3
in-d0c607a3fd41798d,18,3
in-d0e0f4ae2c29f9eb,22,18
in-d163b7dea28e8e4b,13,3
in-d181d455dba68caf,3,2
in-d19ab4d4d2695f83,12,7
in-d19c75494070659c,10,4
in-d1a4e8790ffbc0da,5,5
in-d1ae5f925dee409f,5,2
in-d1bbd6cbce4a6b40,25,24
in-d1bcf16678d05a6b,21,2
in-d1cb1a4047e35079,30,14
in-d25bb489239d1131,4,1
in-d2793c1a73b0c460,6,6
in-d2a4d470c77d6e8d,4,2
in-d31ff629441adf94,6,1
in-d3285b7c37063481,10,9
in-d334254d59ffde93,6,0
in-d35a0d6bcb590d9a,17,3
