job_id,job_date,sentence_id,sentence_raw,sentence_clean,sentence_en
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0004,"Our focus is on developing reference platforms based on Qualcomm's Snapdragon SoC, delivering a comprehensive solution that includes hardware, software, reference designs, user guides, SDKs, and more. **Position: Hardware Board Design Engineer** As an experienced Hardware Board Design Engineer (individual contributor), you will collaborate with the platform team and various cross\\-functional teams, including software, firmware, packaging, SIPI, product management, and component suppliers.","Our focus is on developing reference platforms based on Qualcomm's Snapdragon SoC, delivering a comprehensive solution that includes hardware, software, reference designs, user guides, SDKs, and more. Position: Hardware Board Design Engineer As an experienced Hardware Board Design Engineer (individual contributor), you will collaborate with the platform team and various cross -functional teams, including software, firmware, packaging, SIPI, product management, and component suppliers.","Our focus is on developing reference platforms based on Qualcomm's Snapdragon SoC, delivering a comprehensive solution that includes hardware, software, reference designs, user guides, SDKs, and more. Position: Hardware Board Design Engineer As an experienced Hardware Board Design Engineer (individual contributor), you will collaborate with the platform team and various cross -functional teams, including software, firmware, packaging, SIPI, product management, and component suppliers."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0005,"OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5\\+ years of Systems Engineering or related work experience.","OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience.","OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0006,"OR PhD in Engineering, Information Systems, Computer Science, or related field and 4\\+ years of Systems Engineering or related work experience.","OR PhD in Engineering, Information Systems, Computer Science, or related field and 4 + years of Systems Engineering or related work experience.","OR PhD in Engineering, Information Systems, Computer Science, or related field and 4 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0007,Qualcomm is an equal opportunity employer.,Qualcomm is an equal opportunity employer.,Qualcomm is an equal opportunity employer.
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0008,"If you are an individual with a disability and need an accommodation during the application/hiring process, rest assured that Qualcomm is committed to providing an accessible process.","If you are an individual with a disability and need an accommodation during the application/hiring process, rest assured that Qualcomm is committed to providing an accessible process.","If you are an individual with a disability and need an accommodation during the application/hiring process, rest assured that Qualcomm is committed to providing an accessible process."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0009,You may e\\-mail disability\\-accomodations@qualcomm.com or call Qualcomm's toll\\-free number found here .,You may e -mail disability -accomodations@qualcomm.com or call Qualcomm's toll -free number found here .,You may e -mail disability -accomodations@qualcomm.com or call Qualcomm's toll -free number found here .
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0010,"Upon request, Qualcomm will provide reasonable accommodations to support individuals with disabilities to be able participate in the hiring process.","Upon request, Qualcomm will provide reasonable accommodations to support individuals with disabilities to be able participate in the hiring process.","Upon request, Qualcomm will provide reasonable accommodations to support individuals with disabilities to be able participate in the hiring process."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0011,Qualcomm is also committed to making our workplace accessible for individuals with disabilities. (Keep in mind that this email address is used to provide reasonable accommodations for individuals with disabilities.,Qualcomm is also committed to making our workplace accessible for individuals with disabilities. (Keep in mind that this email address is used to provide reasonable accommodations for individuals with disabilities.,Qualcomm is also committed to making our workplace accessible for individuals with disabilities. (Keep in mind that this email address is used to provide reasonable accommodations for individuals with disabilities.
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0012,We will not respond here to requests for updates on applications or resume inquiries). **To all Staffing and Recruiting Agencies** : Our Careers Site is only for individuals seeking a job at Qualcomm.,We will not respond here to requests for updates on applications or resume inquiries). To all Staffing and Recruiting Agencies : Our Careers Site is only for individuals seeking a job at Qualcomm.,We will not respond here to requests for updates on applications or resume inquiries). To all Staffing and Recruiting Agencies : Our Careers Site is only for individuals seeking a job at Qualcomm.
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0013,"Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited.","Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited.","Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0014,Qualcomm does not accept unsolicited resumes or applications from agencies.,Qualcomm does not accept unsolicited resumes or applications from agencies.,Qualcomm does not accept unsolicited resumes or applications from agencies.
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0015,"Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location.","Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location.","Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0016,"Even more importantly, please note that salary is only one component of total compensation at Qualcomm.","Even more importantly, please note that salary is only one component of total compensation at Qualcomm.","Even more importantly, please note that salary is only one component of total compensation at Qualcomm."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0017,We also offer a competitive annual discretionary bonus program and opportunity for annual RSU grants (employees on sales\\-incentive plans are not eligible for our annual bonus).,We also offer a competitive annual discretionary bonus program and opportunity for annual RSU grants (employees on sales -incentive plans are not eligible for our annual bonus).,We also offer a competitive annual discretionary bonus program and opportunity for annual RSU grants (employees on sales -incentive plans are not eligible for our annual bonus).
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0018,"In addition, our highly competitive benefits package is designed to support your success at work, at home, and at play.","In addition, our highly competitive benefits package is designed to support your success at work, at home, and at play.","In addition, our highly competitive benefits package is designed to support your success at work, at home, and at play."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0019,Your recruiter will be happy to discuss all that Qualcomm has to offer – and you can review more details about our US benefits at this link .,Your recruiter will be happy to discuss all that Qualcomm has to offer – and you can review more details about our US benefits at this link .,Your recruiter will be happy to discuss all that Qualcomm has to offer – and you can review more details about our US benefits at this link .
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0020,"If you would like more information about this role, please contact Qualcomm Careers .","If you would like more information about this role, please contact Qualcomm Careers .","If you would like more information about this role, please contact Qualcomm Careers ."
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0001,We are looking for an experienced **Estimator** to join our QLD team.,We are looking for an experienced Estimator to join our QLD team.,We are looking for an experienced Estimator to join our QLD team.
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0002,This role will be based full time from our Office in Eagle Farm.,This role will be based full time from our Office in Eagle Farm.,This role will be based full time from our Office in Eagle Farm.
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0003,"At Glascott Landscape and Civil, we're passionate about creating beautiful spaces.","At Glascott Landscape and Civil, we're passionate about creating beautiful spaces.","At Glascott Landscape and Civil, we're passionate about creating beautiful spaces."
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0004,"We are looking to expand our team and would love to hear form YOU, apply now.","We are looking to expand our team and would love to hear form YOU, apply now.","We are looking to expand our team and would love to hear form YOU, apply now."
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0005,Glascott Civil and Landscape is an equal opportunity employer.,Glascott Civil and Landscape is an equal opportunity employer.,Glascott Civil and Landscape is an equal opportunity employer.
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0006,We celebrate diversity and are committed to creating an inclusive environment for all employees.,We celebrate diversity and are committed to creating an inclusive environment for all employees.,We celebrate diversity and are committed to creating an inclusive environment for all employees.
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0007,"To learn more about us please visit our website: https://glascott.com.au/ or our LinkedIn page https://www.linkedin.com/company/glascott\\-landscape\\-civil/ # **Company Overview** At Glascott, we’ve been shaping Australia’s urban landscapes since the 1980s, from iconic parks and public precincts to complex infrastructure and open space destinations.","To learn more about us please visit our website: https: glascott.com.au/ or our LinkedIn page https: www.linkedin.com/company/glascott -landscape -civil/ # Company Overview At Glascott, we’ve been shaping Australia’s urban landscapes since the 1980s, from iconic parks and public precincts to complex infrastructure and open space destinations.","To learn more about us please visit our website: https: glascott.com.au/ or our LinkedIn page https: www.linkedin.com/company/glascott -landscape -civil/ # Company Overview At Glascott, we’ve been shaping Australia’s urban landscapes since the 1980s, from iconic parks and public precincts to complex infrastructure and open space destinations."
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0008,What sets us apart isn’t just our capability.,What sets us apart isn’t just our capability.,What sets us apart isn’t just our capability.
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0009,It’s how we work.,It’s how we work.,It’s how we work.
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0010,"With every site, our teams bring the same hands\\-on experience, attention to detail, and down\\-to\\-earth professionalism we’ve built our name on.","With every site, our teams bring the same hands -on experience, attention to detail, and down -to -earth professionalism we’ve built our name on.","With every site, our teams bring the same hands -on experience, attention to detail, and down -to -earth professionalism we’ve built our name on."
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0011,"We listen first, collaborate openly, and make it easy to get the job done right.","We listen first, collaborate openly, and make it easy to get the job done right.","We listen first, collaborate openly, and make it easy to get the job done right."
in-0257bc3d652b6882,2026-02-20,in-0257bc3d652b6882_0012,"That’s The Glascott Way, delivering quality through partnership, trust, and long\\-term thinking.","That’s The Glascott Way, delivering quality through partnership, trust, and long -term thinking.","That’s The Glascott Way, delivering quality through partnership, trust, and long -term thinking."
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0001,"Inspirational, innovative and entrepreneurial \\- this is how we describe our empowered teams.","Inspirational, innovative and entrepreneurial - this is how we describe our empowered teams.","Inspirational, innovative and entrepreneurial - this is how we describe our empowered teams."
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0002,Combine your passion with purpose and join a culture that is thriving in the face of change.,Combine your passion with purpose and join a culture that is thriving in the face of change.,Combine your passion with purpose and join a culture that is thriving in the face of change.
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0003,Make an impact with our Technology \\- Development team as a Data Analyst.,Make an impact with our Technology - Development team as a Data Analyst.,Make an impact with our Technology - Development team as a Data Analyst.
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0004,"This diverse team of tech\\-savvy builders and problem solvers embraces digital transformation, and the possibilities technology brings to the future of our industry.","This diverse team of tech -savvy builders and problem solvers embraces digital transformation, and the possibilities technology brings to the future of our industry.","This diverse team of tech -savvy builders and problem solvers embraces digital transformation, and the possibilities technology brings to the future of our industry."
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0005,"We’re looking for team members who have a strong sense of ownership and drive, and who thrive on delivering high\\-quality solutions that are redefining the way MNP does business.","We’re looking for team members who have a strong sense of ownership and drive, and who thrive on delivering high -quality solutions that are redefining the way MNP does business.","We’re looking for team members who have a strong sense of ownership and drive, and who thrive on delivering high -quality solutions that are redefining the way MNP does business."
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0006,MNP is proudly Canadian.,MNP is proudly Canadian.,MNP is proudly Canadian.
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0007,"Providing business strategies and solutions, we are a leading national accounting, tax and business advisory firm in Canada.","Providing business strategies and solutions, we are a leading national accounting, tax and business advisory firm in Canada.","Providing business strategies and solutions, we are a leading national accounting, tax and business advisory firm in Canada."
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0008,"Entrepreneurial to our core, our talented team members transcend obstacles into opportunities and are successfully transforming mid\\-market business practices.","Entrepreneurial to our core, our talented team members transcend obstacles into opportunities and are successfully transforming mid -market business practices.","Entrepreneurial to our core, our talented team members transcend obstacles into opportunities and are successfully transforming mid -market business practices."
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0009,We believe each team member contributes unique gifts and amplifying their potential makes our business stronger.,We believe each team member contributes unique gifts and amplifying their potential makes our business stronger.,We believe each team member contributes unique gifts and amplifying their potential makes our business stronger.
in-8605715f88ca0579,2026-02-12,in-8605715f88ca0579_0010,We encourage people with disabilities to apply! \\#LI\\-Hybrid,We encourage people with disabilities to apply! #LI -Hybrid,We encourage people with disabilities to apply! #LI -Hybrid
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0001,**About the Company** **Affinidi** is a technology company dedicated to changing data ownership for good.,About the Company Affinidi is a technology company dedicated to changing data ownership for good.,About the Company Affinidi is a technology company dedicated to changing data ownership for good.
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0002,"We empower businesses and individuals with control and ownership of their data, with a comprehensive approach to managing their holistic identity – accounting for all aspects of their digital footprint while ensuring privacy and security.","We empower businesses and individuals with control and ownership of their data, with a comprehensive approach to managing their holistic identity – accounting for all aspects of their digital footprint while ensuring privacy and security.","We empower businesses and individuals with control and ownership of their data, with a comprehensive approach to managing their holistic identity – accounting for all aspects of their digital footprint while ensuring privacy and security."
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0003,Affinidi's technology enables users to benefit from decentralised digital identity solutions.,Affinidi's technology enables users to benefit from decentralised digital identity solutions.,Affinidi's technology enables users to benefit from decentralised digital identity solutions.
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0004,"We believe that everyone has the right to own and control their data, and we are committed to creating a trusted digital credentials ecosystem that empowers businesses and individuals to securely exchange data and services across borders and industries. **About the role:** We are in search of a solution\\-oriented Senior Software Engineer (Backend) with demonstrable experience in Rust, to help guide the development of secure, scalable, and high\\-performance backend systems for the Affinidi Elements platform.","We believe that everyone has the right to own and control their data, and we are committed to creating a trusted digital credentials ecosystem that empowers businesses and individuals to securely exchange data and services across borders and industries. About the role: We are in search of a solution -oriented Senior Software Engineer (Backend) with demonstrable experience in Rust, to help guide the development of secure, scalable, and high -performance backend systems for the Affinidi Elements platform.","We believe that everyone has the right to own and control their data, and we are committed to creating a trusted digital credentials ecosystem that empowers businesses and individuals to securely exchange data and services across borders and industries. About the role: We are in search of a solution -oriented Senior Software Engineer (Backend) with demonstrable experience in Rust, to help guide the development of secure, scalable, and high -performance backend systems for the Affinidi Elements platform."
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0005,"In this role, you will work with global peers on teams dedicated to areas of the product portfolio, from the product, design, infrastructure, architecture, and back/front\\-end engineering teams.","In this role, you will work with global peers on teams dedicated to areas of the product portfolio, from the product, design, infrastructure, architecture, and back/front -end engineering teams.","In this role, you will work with global peers on teams dedicated to areas of the product portfolio, from the product, design, infrastructure, architecture, and back/front -end engineering teams."
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0006,"Your responsibilities will include delivering a multi\\-component platform, leveraging your experience in helping to design and developing production\\-quality systems.","Your responsibilities will include delivering a multi -component platform, leveraging your experience in helping to design and developing production -quality systems.","Your responsibilities will include delivering a multi -component platform, leveraging your experience in helping to design and developing production -quality systems."
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0007,This role offers the opportunity for professional growth within a high\\-performing team culture.,This role offers the opportunity for professional growth within a high -performing team culture.,This role offers the opportunity for professional growth within a high -performing team culture.
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0008,"Apply now!** \\#LI\\-DS1 **Equal Opportunity** We believe in hiring different and diverse talent and providing a safe space where everyone can share their views without fear, where differences are celebrated, and where no one is left out.","Apply now! #LI -DS1 Equal Opportunity We believe in hiring different and diverse talent and providing a safe space where everyone can share their views without fear, where differences are celebrated, and where no one is left out.","Apply now! #LI -DS1 Equal Opportunity We believe in hiring different and diverse talent and providing a safe space where everyone can share their views without fear, where differences are celebrated, and where no one is left out."
in-26b5e64ecb5e6cb2,2025-12-19,in-26b5e64ecb5e6cb2_0009,"Inclusive cultures are the foundation for collaboration and innovation within our team. **Privacy Notice** By applying for this position, you confirm that you have read and understood Affinidi's Candidate Privacy Policy, and consent to the collection, use, and disclosure of your personal data for recruitment purposes, as described in the policy.","Inclusive cultures are the foundation for collaboration and innovation within our team. Privacy Notice By applying for this position, you confirm that you have read and understood Affinidi's Candidate Privacy Policy, and consent to the collection, use, and disclosure of your personal data for recruitment purposes, as described in the policy.","Inclusive cultures are the foundation for collaboration and innovation within our team. Privacy Notice By applying for this position, you confirm that you have read and understood Affinidi's Candidate Privacy Policy, and consent to the collection, use, and disclosure of your personal data for recruitment purposes, as described in the policy."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0001,"**About AiPrise** = AiPrise is a global compliance orchestration platform helping fintechs, marketplaces, and payment companies verify and onboard customers worldwide.","About AiPrise = AiPrise is a global compliance orchestration platform helping fintechs, marketplaces, and payment companies verify and onboard customers worldwide.","About AiPrise = AiPrise is a global compliance orchestration platform helping fintechs, marketplaces, and payment companies verify and onboard customers worldwide."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0002,We integrate with 80\\+ identity and compliance vendors to deliver a holistic view of risk.,We integrate with 80 + identity and compliance vendors to deliver a holistic view of risk.,We integrate with 80 + identity and compliance vendors to deliver a holistic view of risk.
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0003,"We're now building AI\\-powered compliance agents to revolutionize KYB, AML, sanctions screening, and risk scoring — enabling our customers to onboard faster, reduce manual reviews, and prevent financial crime. **Role Overview** - We’re hiring a Software Engineer II to help build and scale the core platform behind AiPrise’s compliance orchestration and AI agent systems.","We're now building AI -powered compliance agents to revolutionize KYB, AML, sanctions screening, and risk scoring — enabling our customers to onboard faster, reduce manual reviews, and prevent financial crime. Role Overview - We’re hiring a Software Engineer II to help build and scale the core platform behind AiPrise’s compliance orchestration and AI agent systems.","We're now building AI -powered compliance agents to revolutionize KYB, AML, sanctions screening, and risk scoring — enabling our customers to onboard faster, reduce manual reviews, and prevent financial crime. Role Overview - We’re hiring a Software Engineer II to help build and scale the core platform behind AiPrise’s compliance orchestration and AI agent systems."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0004,"This is a build it, ship it, own it role.","This is a build it, ship it, own it role.","This is a build it, ship it, own it role."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0005,"You’ll take features end to end, from design to code to deploy to iterate, across our case management product, vendor integrations, orchestration APIs, and customer facing tools.","You’ll take features end to end, from design to code to deploy to iterate, across our case management product, vendor integrations, orchestration APIs, and customer facing tools.","You’ll take features end to end, from design to code to deploy to iterate, across our case management product, vendor integrations, orchestration APIs, and customer facing tools."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0006,"You’ll be in the trenches with founders and a fast moving team, turning messy real world compliance problems into clean, reliable systems.","You’ll be in the trenches with founders and a fast moving team, turning messy real world compliance problems into clean, reliable systems.","You’ll be in the trenches with founders and a fast moving team, turning messy real world compliance problems into clean, reliable systems."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0007,"If you’re a hungry engineer who wants real ownership, high impact, and a product that gets used in production every day, you’ll love this.","If you’re a hungry engineer who wants real ownership, high impact, and a product that gets used in production every day, you’ll love this.","If you’re a hungry engineer who wants real ownership, high impact, and a product that gets used in production every day, you’ll love this."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0008,"This is an **in\\-person role based in our San Jose, CA office** (5 days/week).","This is an in -person role based in our San Jose, CA office (5 days/week).","This is an in -person role based in our San Jose, CA office (5 days/week)."
in-079fa62336e07385,2026-02-25,in-079fa62336e07385_0009,"You'll work directly with our product, and engineering teams to deliver high\\-quality features that help global fintechs fight financial crime.","You'll work directly with our product, and engineering teams to deliver high -quality features that help global fintechs fight financial crime.","You'll work directly with our product, and engineering teams to deliver high -quality features that help global fintechs fight financial crime."
