gold_id,job_id,knowledge,confidence_score,confidence_tier,source,is_overlap,is_correct,labeler_id,notes
gk_dd0054aefc4d,in-605bfb4bde918b24,high-frequency trading,0.75,Medium High,LLM,False,,,
gk_f3ce86bd27ec,in-1e86a23a3399136c,Image Generator,0.75,Medium High,LLM,True,,,
gk_5dcd88cfd5c8,in-12d7b4892b01fea1,scalable backend systems,0.75,Medium High,LLM,True,,,
gk_e34c9c6b7b2f,in-40505304948a5df2,AWS tagging,0.75,Medium High,LLM,False,,,
gk_b4b0160e4464,in-5dc3f4c9073c95e3,cloud platform,0.75,Medium High,LLM,True,,,
gk_c704846a97c6,in-f6345c964b57aea3,Genus Synthesis Solution,0.75,Medium High,LLM,False,,,
gk_4e252d4fd585,in-eabc02e4b24f54fc,conversational AI,0.75,Medium High,LLM,False,,,
gk_29e320d4dc5f,in-458349886b25645e,Databricks,0.75,Medium High,LLM,False,,,
gk_630b90719197,in-ac1b577e8ce83239,Web services,0.75,Medium High,LLM,False,,,
gk_912d193c344c,in-0dcfa263558eb715,DMABUF,0.75,Medium High,LLM,False,,,
gk_503eb031c964,in-cc0fcd43d2b79b49,sales strategy,0.75,Medium High,LLM,True,,,
gk_aa54d89671e8,in-717a5849232c26af,Facebook,0.75,Medium High,LLM,True,,,
gk_8a7bdfc36a7b,in-7d6cebe937a7f302,Revit,0.75,Medium High,LLM,False,,,
gk_9035b4b19a3f,in-9646e86507dc852d,payroll,0.75,Medium High,LLM,True,,,
gk_03626c7c33b0,in-e68bdace4a4b39f5,accessibility,0.75,Medium High,LLM,False,,,
gk_aeaa3b048c2b,in-b3702b787bdde8a8,federal laws,0.75,Medium High,LLM,True,,,
gk_01a5cdc1459d,in-dc25872c1e9f3ba8,decarbonization,0.75,Medium High,LLM,True,,,
gk_0dcb6f1b451f,in-11b4f657b72110b0,deployment processes,0.75,Medium High,LLM,False,,,
gk_d320d19ec1da,in-396a25817d23e418,metrics,0.75,Medium High,LLM,False,,,
gk_a9a86c87bdbc,in-74353072c999da2e,Git,0.75,Medium High,LLM,False,,,
gk_2d70ca555044,in-4b64eb284ec301c1,data platforms,0.75,Medium High,LLM,False,,,
gk_9da30ff36caa,in-78e1a1bd1a779ce1,regulatory reports,0.75,Medium High,LLM,False,,,
gk_510257525174,in-54763455cd0684d0,AWS,0.75,Medium High,LLM,False,,,
gk_aad481ae1264,in-b05e55f34b15115b,venting systems,0.75,Medium High,LLM,False,,,
gk_b1071bb5e42e,in-77e4649cfcc19871,team deployment,0.75,Medium High,LLM,True,,,
gk_55a6b2833cd4,in-c74c1360c6aa4af8,localizing,0.75,Medium High,LLM,False,,,
gk_1b8189abc6e0,in-4fb330654a5253ba,Electrical Engineering,0.75,Medium High,LLM,True,,,
gk_45c1041b8148,in-b27194904b19a3da,cross-dock facilities,0.75,Medium High,LLM,False,,,
gk_509c29c71f86,in-2a62d9081f9e5bd4,Audio,0.75,Medium High,LLM,False,,,
gk_7c0cda7f0fe3,in-a31180e55533fa2e,medical device industry,0.75,Medium High,LLM,False,,,
gk_b6c17e8ad756,in-9594ca94a4f08489,Python,0.75,Medium High,LLM,False,,,
gk_142208912695,in-d372aa6e90594bd8,system design,0.75,Medium High,LLM,False,,,
gk_27f31dc11943,in-9579c9370feee752,metadata,0.75,Medium High,LLM,False,,,
gk_cf7d68ea6d5b,in-7e7658c7de1216e7,Cloud Service Providers,0.75,Medium High,LLM,False,,,
gk_be81b1fd4d6c,in-6da4d8a7cd076358,NoSQL,0.75,Medium High,LLM,False,,,
gk_4391aab867d2,in-3433bad5f33d9e03,technology,0.75,Medium High,LLM,False,,,
gk_bfd639e30c22,in-16bf5de297c759da,component library,0.75,Medium High,LLM,False,,,
gk_a0474ddf4ba0,in-44371dea0013ac9c,Orchestration,0.75,Medium High,LLM,False,,,
gk_19023895ba58,in-fba0b27a663ac81e,ServiceNow,0.75,Medium High,LLM,False,,,
gk_f741cc10eaa8,in-f17ed7148923af73,Platform services,0.75,Medium High,LLM,False,,,
gk_9b68c5b44577,in-023b4733d693e4fe,Health and Safety at Work Act 1974,0.75,Medium High,LLM,True,,,
gk_9c88131700f4,in-365051d02a431bf7,microservices,0.75,Medium High,LLM,True,,,
gk_cf54cc8b142e,in-31b474a34ba73679,human behavioural data,0.75,Medium High,LLM,False,,,
gk_a70f0366698e,in-389a41a9076158ff,iOS,0.75,Medium High,LLM,True,,,
gk_fb6caffce971,in-6c75eb67bf842647,construction sites,0.75,Medium High,LLM,True,,,
gk_b5ffb9745808,in-5dc23f84ea10e884,daily stand-ups,0.75,Medium High,LLM,False,,,
gk_247fd09d9fe7,in-96bd5374490de670,ad tech,0.75,Medium High,LLM,False,,,
gk_2690185a6b6c,in-86189bea670843cc,renewable energy,0.75,Medium High,LLM,True,,,
gk_ba567b87dab6,in-95018658bd257ee1,ScotlandIS awards,0.75,Medium High,LLM,True,,,
gk_570204e3feb0,in-8f80b7e719e2d272,automation products and processes,0.75,Medium High,LLM,False,,,
gk_06787ddf43a5,in-3818b4d12e9e7a16,Microsoft business application platforms,0.75,Medium High,LLM,False,,,
gk_94ee66caa402,in-3f5ec4cec0877d67,mechanical engineering,0.75,Medium High,LLM,True,,,
gk_aa559c8b1af2,in-fa29c25a5efc2228,IT services,0.75,Medium High,LLM,False,,,
gk_fb5b773552ba,in-1c9876c1cfa35fe9,Cyber Security,0.75,Medium High,LLM,False,,,
gk_1b9ee9e8a755,in-335fd8a7860dba1c,reporting systems,0.75,Medium High,LLM,True,,,
gk_524fcd6b6d23,in-d269e710e59df773,ServiceNow,0.75,Medium High,LLM,False,,,
gk_c79fc665ad94,in-1417ca580d866981,National Security Vetting (NSV),0.75,Medium High,LLM,False,,,
gk_879481b47ac7,in-a0c2c0ac2c1c8f36,data governance,0.75,Medium High,LLM,False,,,
gk_32860438a4c8,in-fa19b44672874cbb,Specialized Assurance & Sustainability,0.75,Medium High,LLM,False,,,
gk_aa5dd144cc00,in-944da7de1a208b5f,Total Rewards package,0.75,Medium High,LLM,True,,,
gk_10ec373c3d3a,in-1c9876c1cfa35fe9,purple teaming,0.75,Medium High,LLM,False,,,
gk_c9b3c23dcc87,in-70bfd15a71c47dda,consumer software,0.75,Medium High,LLM,True,,,
gk_b7077ffa2579,in-94a431f67ff4dc53,Cherwell,0.75,Medium High,LLM,False,,,
gk_40dccd631bdb,in-74a3d7835099d646,Cybersecurity,0.75,Medium High,LLM,False,,,
gk_7f0f93b4e889,in-05bed7e000799460,VIZIO WatchFree+,0.75,Medium High,LLM,False,,,
gk_e621d81e5d0a,in-94fecf3d04d4ddab,Account planning,0.75,Medium High,LLM,False,,,
gk_db6b14f1af5f,in-5c9dba77baaa1502,real-time operating systems,0.75,Medium High,LLM,False,,,
gk_4f7d90007ad5,in-4e7908c265079379,Terraform,0.75,Medium High,LLM,True,,,
gk_01c10df0fbd4,in-e7ccc5ac74923c9f,university credentials,0.75,Medium High,LLM,False,,,
gk_3902f022ebc9,in-45023f3eda4be44e,backend systems,0.75,Medium High,LLM,False,,,
gk_7def41e2a491,in-8c3a075f4a0f1a4a,NoSQL databases,0.75,Medium High,LLM,False,,,
