gold_id,item_text,item_type,pipeline_domain,pipeline_similarity,notes,true_domain_id,labeler_id
gfs_77be81162cf3,maximize resource development,skill,Resilience & Adaptability,0.287,,unclear,labeler1
gfs_e4c4a05a1fc9,leverage collective knowledge of sustainable spaces,skill,Environmental & Sustainability Technology,0.35,,,
gfs_161c30a18648,construct platform and sub-systems,skill,Blockchain & Distributed Systems,0.314,,,
gfs_75d45ccb3ebd,track conversion metrics,skill,Environmental & Sustainability Technology,0.135,,,
gfs_92b298ee6a3a,own technology strategy,skill,Advanced Communication & Collaboration,0.277,,,
gfs_944356869b3a,manage databases,skill,Database & Systems Administration,0.541,,,
gfs_d061ea2e59f8,integrate the catalog with various data services,skill,Database & Systems Administration,0.379,,,
gfs_648cdcdd605b,analyze business and technical requirements,skill,Business Analysis & Requirements Engineering,0.654,,,
gfs_5e48a5692872,ensure seamless building,skill,Legacy Web Development,0.164,,,
gfs_17822692a5f3,participate in audits,skill,Business Analysis & Requirements Engineering,0.192,,,
gfs_8aac11b6d38c,execute ideas,skill,Critical Thinking & Problem Solving,0.244,,,
gfs_b2f222a7abb6,architect high-performance mobile applications,skill,Legacy Web Development,0.23,,,
gfs_9b8c872b9450,design dashboards,skill,UX/UI & Digital Design,0.393,,,
gfs_f4bf03c3dc8c,test products to destruction,skill,Quality Assurance & Testing,0.254,,,
gfs_ecc863b8481d,drive development of hardware products,skill,Business Analysis & Requirements Engineering,0.295,,,
gfs_4eec87850828,bring clarity through structured thinking,skill,Critical Thinking & Problem Solving,0.362,,,
gfs_aea49892444c,ensure secure integration architecture,skill,Cybersecurity,0.253,,,
gfs_f78aaaa8ba36,enable technology,skill,Technological Literacy & Digital Fluency,0.356,,,
gfs_a614eff28e9f,build creative features,skill,Routine Maintenance Coding,0.439,,,
gfs_879dae7203ef,deploy multicast market data delivery platforms,skill,Digital Platforms & E-commerce,0.323,,,
gfs_4cc9f28b8fc4,build innovative responses,skill,Advanced Communication & Collaboration,0.274,,,
gfs_6584eb0fba4b,deliver a first class service,skill,Routine Maintenance Coding,0.085,,,
gfs_13fe25d1e31c,"design packaging components to operate reliably in harsh, high-throughput environments",skill,Legacy Web Development,0.27,,,
gfs_b7e5ef15e4b3,transform raw data into meaningful insights,skill,Big Data & Analytics,0.259,,,
gfs_45c38e262548,teach data analytics,skill,Big Data & Analytics,0.522,,,
gfs_3736228d027b,promote mental health and resiliency,skill,Resilience & Adaptability,0.511,,,
gfs_5b6d445e9110,travel to client sites,skill,Digital Platforms & E-commerce,0.261,,,
gfs_e13439dcef55,maintain cybersecurity standards,skill,Cybersecurity,0.506,,,
gfs_5caa0f4b01c4,tackle big problems,skill,Critical Thinking & Problem Solving,0.309,,,
gfs_9d440db0df02,lead evolution of cloud-based platforms,skill,Cloud Computing & Infrastructure,0.46,,,
gfs_77f6b8344606,install audio systems,skill,Database & Systems Administration,0.167,,,
gfk_86a8a5a54080,DeltaLake,knowledge,Leadership & People Development,0.162,,,
gfk_a7d3ac56c2eb,Machine Learning (ML),knowledge,AI & Machine Learning,0.403,,,
gfk_e9d48bef5cf4,Light Gauge Steel (LGS) systems,knowledge,UX/UI & Digital Design,0.122,,,
gfk_76ee64740f75,UX research,knowledge,UX/UI & Digital Design,0.463,,,
gfk_967ef2eb3463,gaming,knowledge,Game Development & Interactive Media,0.458,,,
gfk_d564f06d1a04,environmental best practices,knowledge,Environmental & Sustainability Technology,0.328,,,
gfk_a6b397f34fcc,multicast market data delivery platforms,knowledge,Digital Platforms & E-commerce,0.357,,,
gfk_5fd73f0160bf,Automated Testing,knowledge,Quality Assurance & Testing,0.446,,,
gfk_52407ea0d2ca,Business Analysis,knowledge,Business Analysis & Requirements Engineering,0.53,,,
gfk_407432c64135,DevOps,knowledge,Cloud Computing & Infrastructure,0.45,,,
gfk_47df2b78ac4b,Data Center,knowledge,Database & Systems Administration,0.355,,,
gfk_83da0b83725e,resource block models,knowledge,Legacy Web Development,0.193,,,
gfk_2ce08f597d7e,WBCSD,knowledge,Database & Systems Administration,0.157,,,
gfk_1b5ccb54e2a7,software development,knowledge,Software Development & Engineering,0.543,,ONET01,alice
gfk_57a43f7d3549,FMCG,knowledge,Routine Maintenance Coding,0.139,,,
gfk_2d457b859f61,Windows 10,knowledge,Routine Maintenance Coding,0.122,,,
gfk_d84ce08d438d,Solution Architect,knowledge,Critical Thinking & Problem Solving,0.369,,,
gfk_136e7cbff56a,programme management,knowledge,Project Management & Agile Methodologies,0.394,,,
gfk_98ba8fee066b,Industry gateway,knowledge,Digital Platforms & E-commerce,0.302,,,
gfk_c98c19727b6a,Robotics,knowledge,Process Automation & RPA,0.353,,,
gfk_4d1bb1cfa65d,environmental analysis,knowledge,Environmental & Sustainability Technology,0.446,,,
gfk_8d931a154124,objection handling,knowledge,Business Analysis & Requirements Engineering,0.106,,,
gfk_4b03d3b6d178,data center design,knowledge,Database & Systems Administration,0.274,,,
gfk_a20116d4cfa0,geometallurgical block models,knowledge,Blockchain & Distributed Systems,0.151,,,
gfk_a143c76a1747,Faculty of Health Sciences,knowledge,Database & Systems Administration,0.258,,,
gfk_dcdb64c465b9,Solr,knowledge,Database & Systems Administration,0.226,,,
gfk_d22b46371835,Azure Repos,knowledge,Cloud Computing & Infrastructure,0.326,,,
gfk_20c4d88ef355,Human Computer Interaction,knowledge,Human-AI Collaboration,0.356,,,
gfk_68a998b8c1ed,railway infrastructure,knowledge,Cloud Computing & Infrastructure,0.25,,,
gfk_b7f8ccb7fb9b,secure infrastructure,knowledge,Cybersecurity,0.352,,,
gfk_aadd48a3b5f4,aerospace,knowledge,Game Development & Interactive Media,0.277,,,
gfk_643e9f529350,ToffeeX engineering design platform,knowledge,UX/UI & Digital Design,0.332,,,
gfk_76ee3eec4309,Industrial Automation,knowledge,Process Automation & RPA,0.501,,,
gfk_e7210de001f1,Business Continuity plan,knowledge,Business Analysis & Requirements Engineering,0.302,,,
gfk_128bae9ee89f,user centered thinking,knowledge,Critical Thinking & Problem Solving,0.341,,,
gfk_a07f39d6e877,CompTIA Security+ CE,knowledge,Cybersecurity,0.352,,,
gfk_8f2f2a4663a9,Software Delivery Knowledge Graph,knowledge,Software Development & Engineering,0.335,,,
gfk_4bc7d972de1c,retirement,knowledge,Resilience & Adaptability,0.327,,,
gfk_b9738d67b89d,Commerce,knowledge,Digital Platforms & E-commerce,0.451,,,
gfk_5c6e4f44044e,EXE,knowledge,Advanced Communication & Collaboration,0.239,,,
gfk_ef3b4ef34290,Document Object Model,knowledge,Routine Data Entry & Clerical,0.16,,,
gfk_7260bccd27c2,IA Control & Signaling,knowledge,Human-AI Collaboration,0.245,,,
gfk_8cde774d6f73,Spark,knowledge,Big Data & Analytics,0.202,,,
gfk_d768e9e2025e,distributed systems,knowledge,Blockchain & Distributed Systems,0.476,,,
gfk_d1c518457519,Agile methodologies,knowledge,Project Management & Agile Methodologies,0.642,,,
gfk_91e32a5fc05b,B2B,knowledge,Database & Systems Administration,0.136,,,
gfk_9b4fb6feba07,security screening technology,knowledge,Cybersecurity,0.355,,,
gfk_efc83384d0cd,first principles mindset,knowledge,Critical Thinking & Problem Solving,0.245,,,
gfk_303e96f80576,Terraform,knowledge,Cloud Computing & Infrastructure,0.431,,,
gfk_d98513b084ec,Life Sciences,knowledge,Database & Systems Administration,0.276,,,
